season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Kia'i Keone,Northern Colorado,2,7,4,-0.1595273314391984,0,1,1,0,0
2024,Kia'i Keone,Northern Colorado,1,10,2,-0.583582209593514,0,1,1,0,0
2024,Kia'i Keone,Northern Colorado,2,9,-12,-1.7701976497313756,0,1,1,0,0
2024,Kia'i Keone,Northern Colorado,1,10,6,0.3983464844048346,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,2,3,3,0.2303956489436487,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,1,10,0,-1.1527089917962545,0,1,0,0,0
2024,Kia'i Keone,Northern Colorado,3,11,0,-0.5391291525131665,0,1,1,0,0
2024,Kia'i Keone,Northern Colorado,2,11,0,-0.29427450685877776,0,1,0,0,0
2024,Kia'i Keone,Northern Colorado,3,11,3,-0.05985762423817764,0,1,1,0,0
2024,Kia'i Keone,Northern Colorado,1,10,7,0.6906032640622382,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,3,6,8,1.7924378379935648,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,2,7,-1,-1.0729927126824803,0,1,1,0,0
2024,Kia'i Keone,Northern Colorado,1,10,7,0.5734544152071602,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,2,3,4,0.3001332892526225,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,1,10,26,2.1477202457922733,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,4,5,4,-1.996562289628013,0,1,1,0,0
2024,Kia'i Keone,Northern Colorado,1,10,0,-0.6425305871127751,0,1,0,0,0
2024,Kia'i Keone,Northern Colorado,2,10,5,0.04123212076719618,1,1,0,0,0
2024,Kia'i Keone,Northern Colorado,2,5,12,1.3625344871400245,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,1,10,10,0.9154886720223024,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,3,9,-15,-2.5845599852300722,0,1,1,0,0
2024,Kia'i Keone,Northern Colorado,3,24,9,0.374386527814381,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,1,10,7,0.604642460086338,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,2,13,0,-0.49518198659140383,0,1,0,0,0
2024,Kia'i Keone,Northern Colorado,2,22,6,0.0149641246859664,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,3,16,7,0.03742252342861186,1,1,1,0,0
2024,Kia'i Keone,Northern Colorado,2,10,5,0.0610919348625973,1,1,1,0,0
