season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Kinkead Dent,UT Martin,1,10,2,-0.22662764690566295,0,1,1,0,0
2023,Kinkead Dent,UT Martin,2,15,0,-0.10782395428385258,0,1,0,0,0
2023,Kinkead Dent,UT Martin,3,3,2,-0.40437749643379656,0,1,1,0,0
2023,Kinkead Dent,UT Martin,2,9,0,-0.40831395320271024,0,1,0,0,0
2023,Kinkead Dent,UT Martin,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Kinkead Dent,UT Martin,1,10,-4,-1.607620828254406,0,1,1,0,0
2023,Kinkead Dent,UT Martin,2,14,6,0.2744218417152293,1,1,1,0,0
2023,Kinkead Dent,UT Martin,3,8,0,-1.0400641260054968,0,1,0,0,0
2023,Kinkead Dent,UT Martin,1,10,0,-0.3826565410356668,0,1,0,0,0
2023,Kinkead Dent,UT Martin,1,10,2,-0.45260367932203766,0,1,1,0,0
2023,Kinkead Dent,UT Martin,2,8,6,0.23301622469642863,1,1,1,0,0
2023,Kinkead Dent,UT Martin,1,10,0,-0.6135902757979226,0,1,0,0,0
2023,Kinkead Dent,UT Martin,2,10,9,0.6008998132349381,1,1,1,0,0
2023,Kinkead Dent,UT Martin,1,10,16,1.09030488910002,1,1,1,0,0
2023,Kinkead Dent,UT Martin,2,11,0,-1.014965213158341,0,1,0,0,0
2023,Kinkead Dent,UT Martin,3,11,0,-0.966011005946883,0,1,0,0,0
2023,Kinkead Dent,UT Martin,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Kinkead Dent,UT Martin,2,10,0,-0.34710487712173865,0,1,0,0,0
2023,Kinkead Dent,UT Martin,1,10,13,1.124751479041831,1,1,1,0,0
2023,Kinkead Dent,UT Martin,1,10,1,-0.8867433222723466,0,1,1,0,0
2023,Kinkead Dent,UT Martin,2,9,0,-0.7796739034661835,0,1,0,0,0
2023,Kinkead Dent,UT Martin,1,10,0,-0.7519361608312708,0,1,0,0,0
2023,Kinkead Dent,UT Martin,3,7,0,-0.7450790543892561,0,1,0,0,0
2023,Kinkead Dent,UT Martin,2,5,8,1.1142879058895472,1,1,1,0,0
2023,Kinkead Dent,UT Martin,2,6,10,1.0182280757441173,1,1,1,0,0
2023,Kinkead Dent,UT Martin,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Kinkead Dent,UT Martin,2,10,17,2.219021929725658,1,1,1,0,0
2023,Kinkead Dent,UT Martin,1,10,0,-1.1496266880203319,0,1,1,0,0
2023,Kinkead Dent,UT Martin,3,6,5,0.067008996457151,1,1,1,0,0
2023,Kinkead Dent,UT Martin,1,10,10,0.330578174446757,1,1,1,0,0
2023,Kinkead Dent,UT Martin,3,7,16,1.0722677944503085,1,1,1,0,0
2023,Kinkead Dent,UT Martin,1,9,9,2.424237823646468,1,1,1,0,1
2023,Kinkead Dent,UT Martin,1,10,0,-1.1612466882658818,0,1,0,0,0
2023,Kinkead Dent,UT Martin,2,10,0,-0.8812901257339192,0,1,0,0,0
2023,Kinkead Dent,UT Martin,1,10,14,0.530920997433693,1,1,1,0,0
2023,Kinkead Dent,UT Martin,1,10,0,-0.512081873784803,0,1,0,0,0
2023,Kinkead Dent,UT Martin,2,10,0,-0.7006450342354943,0,1,0,0,0
2023,Kinkead Dent,UT Martin,3,10,0,-0.9527802815229531,0,1,0,0,0
2023,Kinkead Dent,UT Martin,2,5,0,-0.383991364010555,0,1,0,0,0
2023,Kinkead Dent,UT Martin,3,5,2,-0.2248093229719285,0,1,1,0,0
2023,Kinkead Dent,UT Martin,1,10,0,-1.1590089706435955,0,1,0,0,0
2023,Kinkead Dent,UT Martin,2,5,0,-0.463932173439051,0,1,0,0,0
2023,Kinkead Dent,UT Martin,3,5,11,0.750699765112376,1,1,1,0,0
2023,Kinkead Dent,UT Martin,1,10,4,-0.1564365612469736,0,1,1,0,0
2023,Kinkead Dent,UT Martin,2,6,5,0.1058306214920854,1,1,1,0,0
2023,Kinkead Dent,UT Martin,1,10,7,0.559881404072259,1,1,1,0,0
2023,Kinkead Dent,UT Martin,2,3,0,-1.0745602988043075,0,1,0,0,0
2023,Kinkead Dent,UT Martin,3,3,6,1.2283239472350493,1,1,1,0,0
2023,Kinkead Dent,UT Martin,4,6,5,-2.259669760313278,0,1,1,0,0
2023,Kinkead Dent,UT Martin,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Kinkead Dent,UT Martin,2,10,8,0.4833825674180429,1,1,1,0,0
