season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Kyron Drones,Virginia Tech,2,7,0,-0.43583975606982506,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,1,10,0,-1.1077677360468863,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,2,10,5,0.0610919348625973,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,0,-0.362321296557512,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,3,9,0,-0.639420536387652,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,1,10,15,0.6015224095609284,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,0,-0.6135902757979226,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,3,3,0,-0.4420887229103867,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,2,4,1,-0.31293207361529607,0,1,1,0,0
2023,Kyron Drones,Virginia Tech,3,3,6,0.5379668171415366,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,7,0.4780938115215383,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,3,2,0,-0.4112996474074162,0,1,1,0,0
2023,Kyron Drones,Virginia Tech,2,11,0,-1.0478815328943512,0,1,1,0,0
2023,Kyron Drones,Virginia Tech,3,11,12,2.563789765344989,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,11,0.284848059937831,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,2,1,1,1.900352237473006,1,1,1,0,1
2023,Kyron Drones,Virginia Tech,1,10,0,-1.1247712359915258,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,1,10,19,0.3325902105431154,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,2,10,4,-0.0302043559556575,0,1,1,0,0
2023,Kyron Drones,Virginia Tech,2,9,10,2.752081811262061,1,1,1,0,1
2023,Kyron Drones,Virginia Tech,2,5,0,-0.5828736135343763,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,1,10,26,1.5794689453335433,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,0,-1.0146424556055624,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,2,10,6,0.2500587829109984,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,0,-0.908489395271188,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,2,10,0,-1.0526570825811008,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,3,10,0,-0.9347686073010077,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,4,10,0,-0.8091494432745794,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,3,4,4,1.3697703925857638,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,2,9,0,-0.6839286311037895,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,3,9,0,-0.35343126870322106,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,1,10,15,1.0007067849881197,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,0,-0.7828922522763084,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,4,8,10,2.747853638721681,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,13,1.2371082237357438,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,0,-1.1496266880203319,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,3,3,2,-0.6298981099641612,0,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,9,0.8612480847860534,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,8,0.489908565991971,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,3,-0.1055990016463056,0,1,1,0,0
2023,Kyron Drones,Virginia Tech,2,7,0,-0.3401724039956773,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,3,7,0,-0.4528101008787997,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,1,10,8,0.5501349137553087,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,3,2,12,1.072592124020054,1,1,1,0,0
2023,Kyron Drones,Virginia Tech,1,10,0,-0.8305196050291288,0,1,0,0,0
2023,Kyron Drones,Virginia Tech,3,17,0,-0.06126965591453805,0,1,0,0,0
