season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Lanorris Sellers,South Carolina,1,10,10,0.7720151801751867,1,1,1,0,0
2023,Lanorris Sellers,South Carolina,2,16,50,5.7081737370605925,1,1,1,0,1
2023,Lanorris Sellers,South Carolina,3,9,19,2.0535760708101765,1,1,1,0,0
2023,Lanorris Sellers,South Carolina,1,7,7,2.196754630327211,1,1,1,0,1
2024,Lanorris Sellers,South Carolina,1,10,-3,-1.391471762418458,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,10,0,-0.09125284434587756,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,10,0,-0.20870260143022978,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,9,0,-1.0260560859071228,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,8,7,0.5897118200313614,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,6,10,1.1536344763127868,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,21,10,0.9975147725476603,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,11,0,-0.9249174587559335,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,8,0,-0.7701289820414613,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,6,6,2.09100997352029,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,6,18,1.8925304633406648,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-1.1590089706435955,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.9690270974076257,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,41,3.103701538958978,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.6351269961541294,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,7,0,-0.9483272737564585,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,12,10,0.2517564078994017,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.585616097616759,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,10,7,0.5745507866568983,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,8,1.0340504913723672,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,3,0,-1.127472566196655,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,8,0.9766666141209867,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,8,0.9766666141209867,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,8,0.9766666141209867,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,7,2,-0.2335104867308714,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,7,3,-0.1374860288215611,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,5,0,-0.28240901081580017,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,5,0,-0.28240901081580017,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-1.0146424556055624,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,10,0.8350381090299867,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,10,0.8350381090299867,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,7,0.3376362038341565,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,7,0.3376362038341565,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,7,0,-0.4528101008787997,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,7,0,-0.4528101008787997,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,6,9,2.35963876761294,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,6,9,2.35963876761294,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-1.1430602484821704,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-1.1430602484821704,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,4,3,-0.2359116020761503,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,4,3,-0.2359116020761503,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.3301132067544156,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.3301132067544156,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,4,6,0.756949730813266,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,6,0.3949221212311402,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,6,0.3949221212311402,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,4,6,0.756949730813266,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,12,2,-0.4988523506637472,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,12,2,-0.4988523506637472,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,10,15,3.1402871335060096,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,10,15,3.1402871335060096,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.814236079442537,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.814236079442537,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,2,-0.262946006262057,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,2,-0.262946006262057,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,8,4,-0.058803236590336,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,8,4,-0.058803236590336,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,13,1.115724941663963,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.997770018980635,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,10,0,-1.067301371027259,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,10,9,0.9796244917564003,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,16,1.2667677404671915,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,4,-0.1399034934597019,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,15,60,4.20124536893927,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,4,13,1.493660164588904,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,6,6,2.528666992781938,1,1,1,0,1
2024,Lanorris Sellers,South Carolina,4,4,0,-3.941293190604286,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,8,4,-0.0452089684260387,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,4,24,2.2678662336016853,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,17,0.712499610928637,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,8,0,-0.3026442153335883,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,18,0,-0.08243614303196355,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,18,10,0.10196714081650703,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,21,1.665966892527525,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,-7,-1.1457661500935084,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,17,16,0.2235212698148299,1,1,0,1,0
2024,Lanorris Sellers,South Carolina,1,10,9,1.252308359788624,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,24,0,-0.04455142479516905,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,-1,-1.1949447420126127,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,14,32,3.6444173478102417,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.9391692565688832,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,17,6,0.2506597465423983,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,11,13,2.724660321132191,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,13,36,3.2782595134845582,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.5824837756999947,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,17,1.516051907682006,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,4,10,0.871047195133086,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,-1,-0.6692583470430705,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,11,0,-0.7863475730892037,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,11,0,-2.7560928952696138,0,1,0,1,0
2024,Lanorris Sellers,South Carolina,2,14,17,2.1411122311403927,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,9,7,0.5577456723073304,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,7,0,-0.3051840415958636,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,7,0,-0.3837503518444549,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,11,0.9305625119459905,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,9,39,3.6926458790460512,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.6918622905019662,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,10,0,-0.9144980156718301,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,15,1,-0.05590384967597561,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,3,-0.3204076759721195,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,17,1.516051907682006,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,5,4,-0.06449296258092385,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,5,0,-0.7537324720659102,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,3,0,-1.2969331832924542,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,3,16,2.2991863720145176,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,15,0,-0.9259981560426916,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,8,5,0.01721871765954842,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,6,0.3333748010525683,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-1.041155320344064,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,1,10,9,1.252308359788624,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,6,0.4029960638370333,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,11,0.3106937327477385,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,2,-0.2434763543774955,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,8,5,0.057374965390801,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,0,-0.5586693796725282,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,10,0,-0.2608138520764314,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,3,10,13,1.7764843582129135,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,3,12,17,3.4324923605566466,1,1,1,0,0
2024,Lanorris Sellers,South Carolina,1,10,2,-0.4549295700351248,0,1,1,0,0
2024,Lanorris Sellers,South Carolina,2,8,0,-0.9702680942571682,0,1,0,0,0
2024,Lanorris Sellers,South Carolina,2,7,5,0.088563743664535,1,1,1,0,0
