season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Logan Fife,Montana,3,9,11,2.6647638719966693,1,1,1,0,0
2024,Logan Fife,Montana,2,9,0,-0.6839286311037895,0,1,1,0,0
2024,Logan Fife,Montana,2,20,0,-0.29606549973540197,0,1,0,0,0
2024,Logan Fife,Montana,3,20,12,0.5551952916794365,1,1,1,0,0
2024,Logan Fife,Montana,2,7,0,-1.0166239242297335,0,1,0,0,0
2024,Logan Fife,Montana,1,10,33,1.861618849773258,1,1,1,0,0
2024,Logan Fife,Montana,1,10,0,-0.8457687366186873,0,1,0,0,0
2024,Logan Fife,Montana,3,2,0,-0.6013143962559822,0,1,0,0,0
2024,Logan Fife,Montana,1,10,12,0.1611551472202105,1,1,1,0,0
2024,Logan Fife,Montana,1,10,6,0.3370848727167229,1,1,1,0,0
2024,Logan Fife,Montana,2,4,0,-1.1134606721203877,0,1,0,0,0
2024,Logan Fife,Montana,3,4,0,-1.101368699378531,0,1,0,0,0
2024,Logan Fife,Montana,1,10,0,-0.2853930592519426,0,1,0,0,0
2024,Logan Fife,Montana,4,4,15,2.876060576281013,1,1,1,0,0
2024,Logan Fife,Montana,1,10,0,-0.9391692565688832,0,1,0,0,0
2024,Logan Fife,Montana,1,10,2,-0.686234543960909,0,1,1,0,0
2024,Logan Fife,Montana,2,7,8,1.4132294686393791,1,1,1,0,0
2024,Logan Fife,Montana,1,10,3,-0.367641675563645,0,1,1,0,0
2024,Logan Fife,Montana,1,10,11,0.4262764929737484,1,1,1,0,0
2024,Logan Fife,Montana,1,10,0,-0.557844891990525,0,1,0,0,0
2024,Logan Fife,Montana,2,10,0,-0.7638433871567597,0,1,0,0,0
2024,Logan Fife,Montana,3,10,15,1.5777323225049726,1,1,1,0,0
2024,Logan Fife,Montana,2,8,0,-0.9833047280384468,0,1,0,0,0
2024,Logan Fife,Montana,3,8,15,2.990722858142152,1,1,1,0,0
2024,Logan Fife,Montana,1,10,0,-0.6135902757979226,0,1,0,0,0
2024,Logan Fife,Montana,1,10,0,-1.1618692012952412,0,1,0,0,0
2024,Logan Fife,Montana,2,9,0,-0.415945299207808,0,1,0,0,0
2024,Logan Fife,Montana,3,18,14,1.8732018645755257,1,1,1,0,0
2024,Logan Fife,Montana,2,7,5,0.0951029329551697,1,1,1,0,0
2024,Logan Fife,Montana,2,6,8,1.1415329510824677,1,1,1,0,0
2024,Logan Fife,Montana,3,2,5,1.533974440789823,1,1,1,0,0
2024,Logan Fife,Montana,1,15,0,-0.7330699853410467,0,1,0,0,0
2024,Logan Fife,Montana,3,5,16,2.0930074245216654,1,1,1,0,0
2024,Logan Fife,Montana,2,15,-3,-1.5982954990033844,0,1,1,0,0
2024,Logan Fife,Montana,4,4,13,1.3136938593995846,1,1,1,0,0
2024,Logan Fife,Montana,1,10,55,3.562734327540937,1,1,1,0,0
2024,Logan Fife,Montana,1,10,0,-0.2853930592519426,0,1,0,0,0
2024,Logan Fife,Montana,3,12,0,-0.5426183460122757,0,1,0,0,0
2024,Logan Fife,Montana,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Logan Fife,Montana,2,10,4,-0.06222348980634162,0,1,1,0,0
2024,Logan Fife,Montana,3,6,20,2.9195814276783763,1,1,1,0,0
2024,Logan Fife,Montana,1,10,17,0.986641042979269,1,1,1,0,0
2024,Logan Fife,Montana,1,10,5,0.08067951505409,1,1,1,0,0
2024,Logan Fife,Montana,2,5,29,2.85604664585958,1,1,1,0,1
2024,Logan Fife,Montana,1,10,7,0.604642460086338,1,1,1,0,0
2024,Logan Fife,Montana,1,15,7,0.5563461065548285,1,1,1,0,0
2024,Logan Fife,Montana,2,8,13,1.6119551589638235,1,1,1,0,0
2024,Logan Fife,Montana,1,10,11,0.3314065090685627,1,1,1,0,0
2024,Logan Fife,Montana,1,10,11,0.1618030328430975,1,1,1,0,0
2024,Logan Fife,Montana,2,8,5,0.0559086745583244,1,1,1,0,0
2024,Logan Fife,Montana,3,3,7,1.35576793439067,1,1,1,0,0
2024,Logan Fife,Montana,2,8,0,-1.0302301559913971,0,1,0,0,0
2024,Logan Fife,Montana,3,8,7,0.4689235311646876,1,1,1,0,0
2024,Logan Fife,Montana,4,1,47,5.615521547546679,1,1,1,0,1
2024,Logan Fife,Montana,1,5,5,1.883780840558874,1,1,1,0,1
2024,Logan Fife,Montana,1,10,5,0.0872959704547682,1,1,1,0,0
2024,Logan Fife,Montana,2,5,0,-0.6340201501414757,0,1,0,0,0
2024,Logan Fife,Montana,3,5,13,2.0222429330389975,1,1,1,0,0
2024,Logan Fife,Montana,1,10,0,-1.1077677360468863,0,1,0,0,0
2024,Logan Fife,Montana,2,10,27,3.026057611598082,1,1,1,0,0
2024,Logan Fife,Montana,1,10,0,-0.6630222646782312,0,1,0,0,0
2024,Logan Fife,Montana,2,10,3,-0.2916591504294015,0,1,1,0,0
2024,Logan Fife,Montana,3,7,11,1.2734798469896036,1,1,1,0,0
2024,Logan Fife,Montana,2,7,0,-0.19259392906801498,0,1,0,0,0
2024,Logan Fife,Montana,3,7,17,0.9970063724772773,1,1,1,0,0
2024,Logan Fife,Montana,1,10,0,-0.6135902757979226,0,1,1,0,0
2024,Logan Fife,Montana,3,5,0,-0.3149969292534509,0,1,0,0,0
2024,Logan Fife,Montana,2,10,10,1.3319054412543496,1,1,1,0,0
