season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Maddux Madsen,Boise State,3,12,4,-0.0937655475939713,0,1,1,0,0
2022,Maddux Madsen,Boise State,2,16,4,-0.0851403292401613,0,1,1,0,0
2022,Maddux Madsen,Boise State,1,16,0,-0.4116107258033354,0,1,0,0,0
2022,Maddux Madsen,Boise State,1,10,35,1.1880298548312425,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,8,0.637524267916824,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,0,-0.534372502378378,0,1,0,0,0
2023,Maddux Madsen,Boise State,2,10,7,0.3100851861812687,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,3,0,-0.6477431808999617,0,1,0,0,0
2023,Maddux Madsen,Boise State,4,3,5,1.080428578910769,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,0,-0.340019558909725,0,1,0,0,0
2023,Maddux Madsen,Boise State,3,6,0,-0.4393198806226567,0,1,0,0,0
2023,Maddux Madsen,Boise State,2,10,4,-0.1599858227015077,0,1,1,0,0
2023,Maddux Madsen,Boise State,3,6,0,-0.8898142292343482,0,1,0,0,0
2023,Maddux Madsen,Boise State,2,10,13,1.3267602192807209,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,0,,0,1,0,0,0
2023,Maddux Madsen,Boise State,1,10,8,0.9104368550610653,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,6,14,2.6679249371251714,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,2,6,0.923674802716775,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,7,24,3.3891982822181337,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,19,1.7694193150114044,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,0,-1.1301991718133413,0,1,0,0,0
2023,Maddux Madsen,Boise State,3,10,0,-0.673481036981288,0,1,0,0,0
2023,Maddux Madsen,Boise State,2,6,14,1.5214862807268341,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,0,-1.087995077167328,0,1,0,0,0
2023,Maddux Madsen,Boise State,2,10,52,3.5271718755973764,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,8,0.9104368550610653,1,1,1,0,0
2023,Maddux Madsen,Boise State,2,2,6,0.3123022281953902,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,12,1.0926854848276177,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,5,0.1003706527461523,1,1,1,0,0
2023,Maddux Madsen,Boise State,2,5,32,1.1318653568551704,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,5,0.0748456356820665,1,1,1,0,0
2023,Maddux Madsen,Boise State,2,5,7,2.455248906353859,1,1,1,0,1
2023,Maddux Madsen,Boise State,3,11,83,7.259585833122516,1,1,1,0,1
2023,Maddux Madsen,Boise State,2,16,5,0.01078493118149027,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Maddux Madsen,Boise State,3,5,11,2.07793012545532,1,1,1,0,0
2023,Maddux Madsen,Boise State,2,8,11,1.7998799658596933,1,1,1,0,0
2023,Maddux Madsen,Boise State,2,1,6,-0.281934764266254,0,1,1,0,0
2023,Maddux Madsen,Boise State,3,6,0,-1.0284087656657714,0,1,0,0,0
2023,Maddux Madsen,Boise State,4,6,7,2.9035037352085435,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,0,-0.7519361608312708,0,1,0,0,0
2023,Maddux Madsen,Boise State,2,10,18,1.198897163670491,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,0,-0.362321296557512,0,1,0,0,0
2023,Maddux Madsen,Boise State,2,9,7,0.5854299078301767,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,0,-1.0742999147475647,0,1,0,0,0
2023,Maddux Madsen,Boise State,3,17,7,0.0329963473286741,1,1,1,0,0
2023,Maddux Madsen,Boise State,2,15,0,-0.10782395428385258,0,1,0,0,0
2023,Maddux Madsen,Boise State,3,8,10,2.5886258940329956,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,3,23,2.444479822861447,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,3,3,0.254934011202523,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,9,22,3.4597340439724533,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,7,0,-0.128168753760054,0,1,0,0,0
2023,Maddux Madsen,Boise State,1,20,0,-0.9652046367533629,0,1,0,0,0
2023,Maddux Madsen,Boise State,2,20,5,0.0407094204911083,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,15,0,-0.691099916812073,0,1,0,0,0
2023,Maddux Madsen,Boise State,3,11,6,0.245448956568179,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,11,0.8112240741752963,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,4,-0.1488498506411844,0,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,7,0.6703928066087635,1,1,1,0,0
2023,Maddux Madsen,Boise State,2,3,19,0.8855468418477715,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,0,-0.557844891990525,0,1,0,0,0
2023,Maddux Madsen,Boise State,3,12,0,-0.5426183460122757,0,1,0,0,0
2023,Maddux Madsen,Boise State,3,6,0,-0.3146897268978579,0,1,0,0,0
2023,Maddux Madsen,Boise State,2,12,12,1.0464847810185596,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,8,0,-0.613121328858574,0,1,0,0,0
2023,Maddux Madsen,Boise State,3,2,11,1.84731499916425,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,0,-1.1496266880203319,0,1,0,0,0
2023,Maddux Madsen,Boise State,1,10,12,0.57343931156508,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,17,0.763841926089586,1,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,2,-0.5100717857614772,0,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,8,1.0316758541779354,1,1,1,0,0
2023,Maddux Madsen,Boise State,2,9,36,1.9157657938495336,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,7,22,3.301563818227571,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,4,6,2.7205500389158495,1,1,1,0,1
2023,Maddux Madsen,Boise State,1,10,-4,-1.3298786742391595,0,1,1,0,0
2023,Maddux Madsen,Boise State,1,10,13,1.196620362467625,1,1,1,0,0
2023,Maddux Madsen,Boise State,3,14,12,1.5150488540440161,1,1,1,0,0
