season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Marqui Adams,Delaware State,2,8,0,-0.7734170183439133,0,1,0,0,0
2022,Marqui Adams,Delaware State,3,4,0,-0.5118806205372062,0,1,1,0,0
2022,Marqui Adams,Delaware State,2,10,12,0.5859884443049932,1,1,0,0,0
2022,Marqui Adams,Delaware State,1,10,0,-0.2977696357406735,0,1,0,0,0
2022,Marqui Adams,Delaware State,3,4,0,-0.3110685547647857,0,1,0,0,0
2022,Marqui Adams,Delaware State,1,10,13,0.3699706828697682,1,1,1,0,0
2022,Marqui Adams,Delaware State,2,2,0,-1.360863301114897,0,1,0,0,0
2022,Marqui Adams,Delaware State,1,20,18,3.100601145108742,1,1,1,0,0
2022,Marqui Adams,Delaware State,1,10,5,0.075070788233958,1,1,1,0,0
2022,Marqui Adams,Delaware State,3,21,-6,-0.43292577914109565,0,1,1,0,0
2022,Marqui Adams,Delaware State,2,14,-7,-0.27611310525483557,0,1,1,0,0
2022,Marqui Adams,Delaware State,3,12,-1,-0.0632194368739647,0,1,1,0,0
2022,Marqui Adams,Delaware State,1,10,47,3.4590153642281933,1,1,1,0,0
2022,Marqui Adams,Delaware State,3,6,0,-0.877204714623737,0,1,0,0,0
2022,Marqui Adams,Delaware State,3,6,9,2.0706424259686536,1,1,1,0,0
2022,Marqui Adams,Delaware State,2,8,0,-0.8845928617448975,0,1,0,0,0
2022,Marqui Adams,Delaware State,2,11,4,-0.0347904021273616,0,1,1,0,0
2022,Marqui Adams,Delaware State,3,7,5,0.0347699526114416,1,1,0,0,0
2022,Marqui Adams,Delaware State,1,5,0,-0.554796850971046,0,1,0,0,0
2022,Marqui Adams,Delaware State,2,10,5,0.0703475885513392,1,1,0,0,0
2023,Marqui Adams,Delaware State,2,7,6,0.2855736704455776,1,1,1,0,0
2023,Marqui Adams,Delaware State,2,18,0,-0.0882905068208002,0,1,0,0,0
2023,Marqui Adams,Delaware State,2,18,0,-0.0882905068208002,0,1,0,0,0
2023,Marqui Adams,Delaware State,3,3,0,-0.22788880408259882,0,1,0,0,0
2023,Marqui Adams,Delaware State,3,16,25,2.942665686027575,1,1,1,0,0
2023,Marqui Adams,Delaware State,2,9,16,2.1588434081296235,1,1,1,0,0
2023,Marqui Adams,Delaware State,1,15,13,1.4960993210612195,1,1,1,0,0
2023,Marqui Adams,Delaware State,1,10,17,1.533990366508901,1,1,1,0,0
2023,Marqui Adams,Delaware State,1,10,21,0.8932001188582495,1,1,1,0,0
2023,Marqui Adams,Delaware State,1,10,0,-0.4710467974920665,0,1,0,0,0
2023,Marqui Adams,Delaware State,2,10,19,0.994294289573036,1,1,1,0,0
2023,Marqui Adams,Delaware State,1,7,0,-0.410393837690526,0,1,0,0,0
2023,Marqui Adams,Delaware State,2,7,0,-0.277446160702615,0,1,0,0,0
2023,Marqui Adams,Delaware State,2,1,0,-1.2753422217375716,0,1,1,0,0
2023,Marqui Adams,Delaware State,3,8,8,1.5587674082296514,1,1,1,0,0
2023,Marqui Adams,Delaware State,1,10,5,0.1087719603915716,1,1,1,0,0
2023,Marqui Adams,Delaware State,2,5,7,0.848528463477713,1,1,1,0,0
2023,Marqui Adams,Delaware State,1,15,9,0.9246127703713255,1,1,1,0,0
2023,Marqui Adams,Delaware State,2,6,0,-1.0164008224593708,0,1,0,0,0
2023,Marqui Adams,Delaware State,3,6,12,1.7761387558506938,1,1,1,0,0
2023,Marqui Adams,Delaware State,1,10,0,-0.512081873784803,0,1,0,0,0
2023,Marqui Adams,Delaware State,2,10,0,-0.7006450342354943,0,1,0,0,0
2023,Marqui Adams,Delaware State,1,10,0,-0.350740748439042,0,1,0,0,0
2023,Marqui Adams,Delaware State,3,6,0,-0.4632482499979864,0,1,0,0,0
2023,Marqui Adams,Delaware State,3,6,6,0.4809667320681683,1,1,1,0,0
2023,Marqui Adams,Delaware State,1,10,7,0.39388160618102847,1,1,1,0,0
2023,Marqui Adams,Delaware State,1,10,0,-1.1387859939569847,0,1,0,0,0
2023,Marqui Adams,Delaware State,2,8,11,0.4134661746076275,1,1,1,0,0
2023,Marqui Adams,Delaware State,3,17,0,-0.9064851613757908,0,1,0,0,0
2023,Marqui Adams,Delaware State,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Marqui Adams,Delaware State,2,10,6,0.16823773848787482,1,1,1,0,0
2023,Marqui Adams,Delaware State,3,4,0,-0.43770162015070735,0,1,0,0,0
2023,Marqui Adams,Delaware State,2,4,0,-1.2163632926376238,0,1,0,0,0
