season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Matt Morrissey,Eastern Kentucky,1,10,2,-0.3623882030735057,0,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,3,3,2,-0.2608287337993236,0,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,3,3,5,1.6345192945407554,1,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,1,10,0,-1.15714755134967,0,1,0,0,0
2024,Matt Morrissey,Eastern Kentucky,3,6,0,-0.7987440892990438,0,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,1,10,0,-0.48436415563340685,0,1,0,0,0
2024,Matt Morrissey,Eastern Kentucky,1,10,0,-0.7982008475508557,0,1,0,0,0
2024,Matt Morrissey,Eastern Kentucky,3,3,0,-0.5955568593275284,0,1,0,0,0
2024,Matt Morrissey,Eastern Kentucky,3,10,21,2.942932481201504,1,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,2,7,1,-0.9005861089858948,0,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,3,6,5,0.0716533138462694,1,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,1,10,6,0.3333748010525683,1,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,1,10,11,1.0578194730061268,1,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,2,7,0,-1.1193582859534654,0,1,0,0,0
2024,Matt Morrissey,Eastern Kentucky,3,7,10,2.4821448821013625,1,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,1,10,0,-0.8772679222659558,0,1,0,0,0
2024,Matt Morrissey,Eastern Kentucky,2,10,16,1.4177031858964178,1,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,1,10,0,-0.4522778946200265,0,1,0,0,0
2024,Matt Morrissey,Eastern Kentucky,2,10,0,-0.6084005148647674,0,1,0,0,0
2024,Matt Morrissey,Eastern Kentucky,3,10,13,1.2306682297149258,1,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,1,10,3,-0.0966670992271315,0,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,2,7,0,-0.295190850214729,0,1,0,0,0
2024,Matt Morrissey,Eastern Kentucky,3,7,9,2.921952491477786,1,1,1,0,1
2024,Matt Morrissey,Eastern Kentucky,1,10,19,1.7075723383420156,1,1,1,0,0
2024,Matt Morrissey,Eastern Kentucky,2,2,5,0.0577401433350068,1,1,1,0,0
