season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Matthew Downing,Elon,2,9,0,-0.40831395320271024,0,1,0,0,0
2023,Matthew Downing,Elon,3,9,0,-0.18876768235831598,0,1,0,0,0
2023,Matthew Downing,Elon,2,13,5,0.024872193618479702,1,1,1,0,0
2023,Matthew Downing,Elon,3,15,0,-0.06143113097036768,0,1,0,0,0
2023,Matthew Downing,Elon,2,14,7,0.17010373651261723,1,1,1,0,0
2023,Matthew Downing,Elon,3,7,5,0.03541256812685755,1,1,1,0,0
2023,Matthew Downing,Elon,1,10,0,-0.5080208698531008,0,1,0,0,0
2023,Matthew Downing,Elon,3,6,0,-0.13386378151650558,0,1,0,0,0
2023,Matthew Downing,Elon,1,10,7,0.423978038879877,1,1,1,0,0
2023,Matthew Downing,Elon,4,3,4,1.625071067542331,1,1,1,0,0
2023,Matthew Downing,Elon,1,10,1,-0.3748730062798895,0,1,1,0,0
2023,Matthew Downing,Elon,2,9,26,3.1161538476713755,1,1,1,0,1
2023,Matthew Downing,Elon,3,5,1,-0.5314659188877775,0,1,1,0,0
2023,Matthew Downing,Elon,3,11,0,-0.4816897557515212,0,1,0,0,0
2023,Matthew Downing,Elon,1,10,14,0.318798431881971,1,1,1,0,0
2023,Matthew Downing,Elon,1,10,0,-0.374805786232315,0,1,0,0,0
2023,Matthew Downing,Elon,2,10,0,-0.4710097256430323,0,1,0,0,0
2023,Matthew Downing,Elon,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Matthew Downing,Elon,2,8,5,0.0841226860701579,1,1,1,0,0
2023,Matthew Downing,Elon,3,3,0,-0.9078767371915273,0,1,0,0,0
2023,Matthew Downing,Elon,3,11,0,-0.485959022955045,0,1,0,0,0
2023,Matthew Downing,Elon,1,10,3,-0.24791478712197265,0,1,1,0,0
2023,Matthew Downing,Elon,1,10,0,-1.1387859939569847,0,1,0,0,0
2023,Matthew Downing,Elon,1,5,0,-1.322775154641457,0,1,0,0,0
2023,Matthew Downing,Elon,1,10,0,-1.1143038065675126,0,1,0,0,0
2023,Matthew Downing,Elon,2,10,11,1.8152771837573347,1,1,1,0,0
2023,Matthew Downing,Elon,2,5,4,-0.083244705164349,0,1,1,0,0
2023,Matthew Downing,Elon,2,10,0,-1.0411051963664768,0,1,0,0,0
2023,Matthew Downing,Elon,2,10,0,-0.6693725505407375,0,1,0,0,0
2023,Matthew Downing,Elon,1,10,0,-0.3826565410356668,0,1,0,0,0
2023,Matthew Downing,Elon,2,7,0,-0.6460344760456005,0,1,0,0,0
2023,Matthew Downing,Elon,3,7,16,2.7389924373885046,1,1,1,0,0
2023,Matthew Downing,Elon,1,10,0,-1.1527089917962545,0,1,0,0,0
2023,Matthew Downing,Elon,1,10,11,0.8112240741752963,1,1,1,0,0
2023,Matthew Downing,Elon,2,6,12,1.1982377236318662,1,1,1,0,0
2023,Matthew Downing,Elon,2,5,0,-0.773059138019652,0,1,0,0,0
2023,Matthew Downing,Elon,4,3,5,1.5768882138059688,1,1,1,0,0
2023,Matthew Downing,Elon,1,10,26,1.550779176466333,1,1,1,0,0
2023,Matthew Downing,Elon,3,11,10,0.5993515982670203,1,1,1,0,0
2023,Matthew Downing,Elon,1,10,0,-0.9864556271674072,0,1,0,0,0
2023,Matthew Downing,Elon,2,5,17,1.9023958704680395,1,1,1,0,0
2023,Matthew Downing,Elon,3,7,6,0.05408243129249615,1,1,1,0,0
2023,Matthew Downing,Elon,3,18,11,0.8118054451054846,1,1,1,0,0
2023,Matthew Downing,Elon,1,10,4,-0.1248442803913914,0,1,1,0,0
2023,Matthew Downing,Elon,2,12,0,-0.8164924833490277,0,1,0,0,0
2023,Matthew Downing,Elon,3,12,0,-0.4725840390703073,0,1,0,0,0
2023,Matthew Downing,Elon,1,10,14,1.0492884058754886,1,1,1,0,0
2023,Matthew Downing,Elon,1,10,11,0.734318059955598,1,1,1,0,0
2023,Matthew Downing,Elon,1,10,4,-0.019365161227934,0,1,1,0,0
2023,Matthew Downing,Elon,3,16,0,-0.9269033682131147,0,1,0,0,0
2023,Matthew Downing,Elon,3,9,0,-0.09281302057629047,0,1,0,0,0
2023,Matthew Downing,Elon,1,10,0,-0.557844891990525,0,1,0,0,0
2023,Matthew Downing,Elon,2,10,3,-0.2434425949994115,0,1,1,0,0
2023,Matthew Downing,Elon,3,7,4,-0.1112393799867845,0,1,1,0,0
2023,Matthew Downing,Elon,4,3,6,1.146866897115078,1,1,1,0,0
2023,Matthew Downing,Elon,3,9,16,3.2208683399727818,1,1,1,0,1
