season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Maverick McIvor,Abilene Christian,2,10.0,0,-0.34710487712173865,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,3,10.0,13,2.1748263782072215,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,1,10.0,0,-1.1301991718133413,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,2,10.0,4,-0.1656124976871656,0,1,1,0,0
2022,Maverick McIvor,Abilene Christian,3,6.0,7,2.030129729456105,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,2,15.0,0,-0.07462656566141404,0,1,1,0,0
2022,Maverick McIvor,Abilene Christian,1,15.0,0,-0.17144938410316432,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,2,10.0,0,-0.6084005148647674,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,3,10.0,0,-0.8807199941665136,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,2,7.0,0,-0.30847303980734697,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,2,4.0,27,2.2682234423878764,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,2,4.0,6,0.1058830859438375,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,3,7.0,14,1.480948013830015,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,3,6.0,0,-0.7351396050304411,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,2,13.0,13,1.85975818834134,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,2,10.0,30,3.372088024913296,1,1,1,0,1
2022,Maverick McIvor,Abilene Christian,2,6.0,0,-1.1126244541815051,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,1,10.0,16,1.4187427699228943,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,1,10.0,3,-0.4238622892911614,0,1,1,0,0
2022,Maverick McIvor,Abilene Christian,1,10.0,7,0.5149869636577264,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,2,3.0,0,-0.9810709523362336,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,1,10.0,0,-1.087995077167328,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,1,10.0,0,-1.0507069190375147,0,1,0,0,0
2022,Maverick McIvor,Abilene Christian,2,10.0,3,-0.2959444094187394,0,1,1,0,0
2022,Maverick McIvor,Abilene Christian,3,7.0,12,2.723740885999128,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,2,10.0,9,1.023629574312059,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,3,4.0,26,3.2601173153462444,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,1,15.0,19,1.5687468959605666,1,1,1,0,0
2022,Maverick McIvor,Abilene Christian,1,10.0,0,-0.9690270974076257,0,1,0,0,0
