season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Max Brosmer,Minnesota,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,7,0,-0.26587881160037785,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,3,1,-0.5728404058309069,0,1,1,0,0
2024,Max Brosmer,Minnesota,3,19,19,3.3256563982751706,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,6,6,0.3622656117053662,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,8,0,-0.5525750221841075,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,9,0,-0.315798379566314,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,6,1,-0.386087920464643,0,1,1,0,0
2024,Max Brosmer,Minnesota,2,7,6,0.3536163797662902,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,6,20,1.4613451705104974,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,9,0,-0.18876768235831598,0,1,0,0,0
2024,Max Brosmer,Minnesota,2,15,7,0.13566239698099647,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,11,0.27838668203309513,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,15,20,2.3879281080173094,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.2853930592519426,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,12,0,-0.5426183460122757,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,20,1.5678514602063345,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,8,0.637524267916824,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,12,9,0.8862588361660767,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.534372502378378,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.36548578366266504,0,1,0,0,0
2024,Max Brosmer,Minnesota,2,10,5,0.03010655635635295,1,1,1,0,0
2024,Max Brosmer,Minnesota,3,5,0,-0.17792559316120207,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,15,0,-0.733599810487368,0,1,0,0,0
2024,Max Brosmer,Minnesota,2,6,26,0.8014109394745664,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,9,-1,-0.3749820778549166,0,1,1,0,0
2024,Max Brosmer,Minnesota,2,10,0,-0.2792458253567104,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.5586693796725282,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,8,35,2.779505571615473,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,9,1.3846699650971743,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,1,20,0.8472689505803646,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,4,-0.0714896390997507,0,1,1,0,0
2024,Max Brosmer,Minnesota,2,6,0,-0.7728792342011417,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,8,12,3.039310969007893,1,1,1,0,1
2024,Max Brosmer,Minnesota,1,10,6,0.3957205453341055,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,4,10,0.871047195133086,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.908489395271188,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.4181180581276075,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,3,-0.2957674139440157,0,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,13,1.223825403882392,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-1.1301991718133413,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,26,1.5119358844613924,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,9,10,1.872311311265877,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,7,0.5149869636577264,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,7,-3,-1.1970531299948457,0,1,1,0,0
2024,Max Brosmer,Minnesota,3,10,9,0.7553523274731087,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.374805786232315,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,8,17,0.16453927532732315,1,1,0,1,0
2024,Max Brosmer,Minnesota,4,1,20,2.578248263609021,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-1.1612466882658818,0,1,1,0,0
2024,Max Brosmer,Minnesota,2,10,20,2.5206513746313917,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,18,5,0.00957870926853134,1,1,1,0,0
2024,Max Brosmer,Minnesota,3,13,0,-0.09376798712265356,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,5,0.0803248403226124,1,1,1,0,0
2024,Max Brosmer,Minnesota,3,4,12,1.6569317175053904,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-1.0146424556055624,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,9,11,2.6647638719966693,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,13,0.9062502896359667,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.8457687366186873,0,1,0,0,0
2024,Max Brosmer,Minnesota,2,10,14,1.314815758147848,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,5,0.0757087852917575,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,5,18,1.179841604385086,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,15,0.9281750309708663,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.8627910327708888,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,9,1.1787223367393838,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,5,3,-0.2995337799194873,0,1,1,0,0
2024,Max Brosmer,Minnesota,1,15,16,0.8558447115031472,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,9,0.624840338247342,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,14,0,-0.6461720144825005,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,7,0.7113806413121412,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,3,16,1.150081008328268,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,6,0.265204892676964,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,14,0.2455204116303966,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,6,6,2.052489771065277,1,1,1,0,1
2024,Max Brosmer,Minnesota,1,10,0,-0.585616097616759,0,1,0,0,0
2024,Max Brosmer,Minnesota,2,10,16,1.8656400938561646,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,9,1.150899831387264,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,13,0.447768302545855,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,12,29,3.4862709027491867,1,1,1,0,1
2024,Max Brosmer,Minnesota,1,10,29,2.4806814011828404,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,14,11,1.3814244069544959,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,10,8,0.22396750341330662,1,1,1,0,0
2024,Max Brosmer,Minnesota,3,4,1,-0.2203736230258005,0,1,1,0,0
2024,Max Brosmer,Minnesota,2,4,0,-0.362082681028621,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,6,2,-0.2814004693826835,0,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,39,1.424024314001791,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,10,0.800099152249297,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.6723571521309859,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,7,0,-0.2505847629772697,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,13,1.1906730890422423,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,5,0,-4.375278742156514,0,1,0,1,0
2024,Max Brosmer,Minnesota,2,5,19,0.9618755366250386,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,6,0.1820990038493714,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,4,10,2.386623717443003,1,1,1,0,1
2024,Max Brosmer,Minnesota,1,10,11,1.0455877930757342,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,14,1.1488208545292942,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,6,0,-1.0164008224593708,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,6,22,1.9483605209185337,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,4,0,-0.6456997217339855,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,14,0,-0.1582096946547038,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,-2,-1.094424619858389,0,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-1.1590089706435955,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.5586693796725282,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,9,-2,-0.1712749154917654,0,1,1,0,0
2024,Max Brosmer,Minnesota,2,13,0,-0.9610792087880667,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.585616097616759,0,1,0,0,0
2024,Max Brosmer,Minnesota,2,10,5,0.03889191793005154,1,1,1,0,0
2024,Max Brosmer,Minnesota,3,5,11,1.826748175926113,1,1,1,0,0
2024,Max Brosmer,Minnesota,3,5,0,-0.69319973884107,0,1,0,0,0
2024,Max Brosmer,Minnesota,2,7,2,-0.5835114834288575,0,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-1.7572829893086652,0,1,0,1,0
2024,Max Brosmer,Minnesota,1,10,20,1.378244539183875,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,7,2,-0.36341994158841023,0,1,1,0,0
2024,Max Brosmer,Minnesota,3,5,0,-0.3716239049161505,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,4,7,1.1504364622436736,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-1.1527089917962545,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,13,0,-0.4116137645045024,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,4,0,-0.2604211052555696,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,16,1.460958771495374,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,15,9,1.0111998635141486,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,6,7,0.766762611977791,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,1,-0.5726354907928038,0,1,1,0,0
2024,Max Brosmer,Minnesota,2,9,5,0.065883406206847,1,1,1,0,0
2024,Max Brosmer,Minnesota,3,4,28,2.093708983331363,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,3,3,1.464451732731337,1,1,1,0,1
2024,Max Brosmer,Minnesota,1,10,6,0.3855228600463665,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,6,0,-0.711882124036327,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,4,-0.063267952570744,0,1,1,0,0
2024,Max Brosmer,Minnesota,2,4,28,2.197061694681823,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.3048472994988835,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,8,11,3.0134978409696753,1,1,1,0,1
2024,Max Brosmer,Minnesota,3,9,0,-0.3756863864160813,0,1,0,0,0
2024,Max Brosmer,Minnesota,2,15,6,0.1306815029894084,1,1,1,0,0
2024,Max Brosmer,Minnesota,2,7,0,-0.4583337173228852,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,7,0,-0.2101480918630232,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,0,-0.585616097616759,0,1,0,0,0
2024,Max Brosmer,Minnesota,2,10,0,-0.2760618997483206,0,1,0,0,0
2024,Max Brosmer,Minnesota,1,10,8,0.7756370382176572,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,2,-0.5660789348414365,0,1,1,0,0
2024,Max Brosmer,Minnesota,2,8,15,2.165315651246055,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,13,0.86761573377888,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,15,-3.859561445068449,0,1,0,1,0
2024,Max Brosmer,Minnesota,3,7,-5,-0.39080785982690003,0,1,1,0,0
2024,Max Brosmer,Minnesota,2,9,13,1.5181163035573455,1,1,1,0,0
2024,Max Brosmer,Minnesota,1,10,14,1.328715101019183,1,1,1,0,0
2024,Max Brosmer,Minnesota,3,8,-3,-1.6388530752757564,0,1,1,0,0
2024,Max Brosmer,Minnesota,2,11,0,-0.1477733164510031,0,1,0,0,0
2024,Max Brosmer,Minnesota,3,11,8,0.10423559585856612,1,1,1,0,0
2024,Max Brosmer,Minnesota,3,5,0,-0.3716239049161505,0,1,0,0,0
