season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,6,13,2.047136742567471,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,8,9,2.4358251143639755,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,4,-0.1674744380827829,0,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,11,0,-1.0445121505311779,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,10,12,1.303532600241608,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,0,-0.8627910327708888,0,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,21,1.8928575820361135,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,0,-1.1590089706435955,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,10,14,2.1548573643914626,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,9,0,-1.0021401723725314,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,9,0,-1.013792814087953,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,12,0,-0.20503297841532842,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,20,0,-0.1023173280767757,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,20,0,-0.045084194487659,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,7,0.6589805148257657,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,0,-0.6918622905019662,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,4,16,0,-0.4080252371356732,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,5,6,0.6306662277367803,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,6,0,-0.7751757096233421,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,23,1.4885429808929818,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,6,0.181437359303738,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,4,9,2.376761730261345,1,1,1,0,1
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,17,0,-0.0374240997482431,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,13,0,-0.17369587209725787,0,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,11,4,-0.06532449475170221,0,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,7,12,2.368975173450486,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,4,8,0.3597059110651522,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,7,0.6816920045798367,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,4,0,-1.028516912619878,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,5,0,-1.1024752538315123,0,1,0,1,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,11,0,-0.3313550324854706,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,11,0,-0.15195969483901184,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,9,-5,-2.037402146095676,0,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,3,37,3.2886758018673987,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,0,-0.4181180581276075,0,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,3,6,0.5058834585105263,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,11,0,-0.5821953428262194,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,10,0,-0.48647765014911126,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,10,23,3.445262713576418,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,7,0,-1.0117773993157453,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,15,0,-0.4436224732057036,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,6,0.1981539364012105,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,-7,-1.0071312971289943,0,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,2,11,0,-0.246325283895513,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,4,0,-0.5118806205372062,0,1,0,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,3,6,5,0.0529553271616807,1,1,1,0,0
2023,Mekhi Hagens,Arkansas-Pine Bluff,1,10,0,-0.5824837756999947,0,1,0,0,0
2024,Mekhi Hagens,Arkansas-Pine Bluff,2,8,0,-0.4788075161366292,0,1,0,0,0
2024,Mekhi Hagens,Arkansas-Pine Bluff,1,10,11,0.9305625119459905,1,1,1,0,0
2024,Mekhi Hagens,Arkansas-Pine Bluff,2,8,0,-0.8054878366661029,0,1,0,0,0
2024,Mekhi Hagens,Arkansas-Pine Bluff,3,8,0,-0.4362142328462131,0,1,0,0,0
2024,Mekhi Hagens,Arkansas-Pine Bluff,2,12,8,0.7665388836661933,1,1,1,0,0
2024,Mekhi Hagens,Arkansas-Pine Bluff,1,18,17,2.9036163943306796,1,1,1,0,0
