season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2020,Michael Pratt,Tulane,2,7.0,0,-0.18567144317009013,0,1,0,0,0
2020,Michael Pratt,Tulane,3,7.0,-1,0.17373453273435846,1,1,0,1,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.6082596672078662,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2020,Michael Pratt,Tulane,3,6.0,0,-0.3146897268978579,0,1,0,0,0
2020,Michael Pratt,Tulane,3,4.0,0,-1.1044169240675856,0,1,0,0,0
2020,Michael Pratt,Tulane,4,4.0,41,5.455329004477349,1,1,1,0,1
2020,Michael Pratt,Tulane,4,4.0,17,-3.9683814063193648,0,1,0,1,0
2020,Michael Pratt,Tulane,3,4.0,0,-0.3110685547647857,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,13,1.1436983628772455,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,22,0.9131178790003724,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,6,0.1956069877394565,1,1,1,0,0
2020,Michael Pratt,Tulane,2,4.0,7,-0.0256171675093245,0,1,1,0,0
2020,Michael Pratt,Tulane,2,2.0,0,-1.1300243096866742,0,1,0,0,0
2020,Michael Pratt,Tulane,2,8.0,17,1.402066952109959,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,9,0.957003546754157,1,1,1,0,0
2020,Michael Pratt,Tulane,2,1.0,6,-0.29473259460986,0,1,1,0,0
2020,Michael Pratt,Tulane,2,8.0,28,3.1114410689000156,1,1,1,0,1
2020,Michael Pratt,Tulane,1,10.0,32,-2.0469963593205094,0,1,0,1,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.9262377870973815,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,9,1.20588179851595,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.6723571521309859,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,1,-0.9288647615840891,0,1,1,0,0
2020,Michael Pratt,Tulane,3,18.0,0,-0.1438935777750654,0,1,0,0,0
2020,Michael Pratt,Tulane,2,10.0,9,0.652806380134729,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,23,2.079584277637913,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.7215426143188567,0,1,0,0,0
2020,Michael Pratt,Tulane,2,7.0,23,2.602768368018545,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.908489395271188,0,1,0,0,0
2020,Michael Pratt,Tulane,2,10.0,0,-1.0526570825811008,0,1,0,0,0
2020,Michael Pratt,Tulane,3,10.0,0,-0.9347686073010077,0,1,0,0,0
2020,Michael Pratt,Tulane,3,7.0,0,-0.16737384700578772,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.6918622905019662,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,16,2.5687227212923744,1,1,1,0,1
2020,Michael Pratt,Tulane,1,10.0,0,-0.512081873784803,0,1,0,0,0
2020,Michael Pratt,Tulane,3,4.0,4,1.7509064941305077,1,1,1,0,0
2020,Michael Pratt,Tulane,3,6.0,0,-0.7539828282362944,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,15,0.9566456572336878,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.6351269961541294,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,11,0.9305625119459905,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,8,1.0378360233616295,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,42,3.294935471572124,1,1,1,0,1
2020,Michael Pratt,Tulane,1,10.0,0,-1.0507069190375147,0,1,0,0,0
2020,Michael Pratt,Tulane,3,3.0,0,-0.5139435334013278,0,1,0,0,0
2020,Michael Pratt,Tulane,2,11.0,8,0.41233520970055876,1,1,1,0,0
2020,Michael Pratt,Tulane,2,8.0,7,0.6300564755985045,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,10,0.652362788184032,1,1,1,0,0
2020,Michael Pratt,Tulane,2,12.0,16,1.7352924869451254,1,1,1,0,0
2020,Michael Pratt,Tulane,3,9.0,14,1.149994469607197,1,1,1,0,0
2020,Michael Pratt,Tulane,3,12.0,0,-0.28636740445553865,0,1,0,0,0
2020,Michael Pratt,Tulane,1,15.0,4,-0.06007137256606221,0,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.7215426143188567,0,1,0,0,0
2020,Michael Pratt,Tulane,2,11.0,40,3.8684663755232354,1,1,1,0,0
2020,Michael Pratt,Tulane,2,10.0,12,1.0508827607256777,1,1,1,0,0
2020,Michael Pratt,Tulane,2,8.0,8,2.676770954733065,1,1,1,0,1
2020,Michael Pratt,Tulane,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2020,Michael Pratt,Tulane,3,16.0,0,-0.05507996837621664,0,1,0,0,0
2020,Michael Pratt,Tulane,2,17.0,0,-0.27421103339296504,0,1,0,0,0
2020,Michael Pratt,Tulane,3,17.0,0,-0.12688790500278024,0,1,0,0,0
2020,Michael Pratt,Tulane,3,8.0,0,-0.7069380729933937,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,13,0.653504871862995,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2020,Michael Pratt,Tulane,2,4.0,9,1.0430188365482547,1,1,1,0,0
2020,Michael Pratt,Tulane,4,12.0,0,-1.3603636471772305,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.9690270974076257,0,1,0,0,0
2020,Michael Pratt,Tulane,1,5.0,0,-0.6513662892659134,0,1,0,0,0
2020,Michael Pratt,Tulane,2,5.0,0,-0.6068318328336488,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,2,-0.548127712470997,0,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,31,2.841946170072948,1,1,1,0,1
2020,Michael Pratt,Tulane,2,8.0,7,0.528621378215453,1,1,1,0,0
2020,Michael Pratt,Tulane,2,18.0,0,-0.6259516193138221,0,1,0,0,0
2020,Michael Pratt,Tulane,2,6.0,26,2.71552965959315,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2020,Michael Pratt,Tulane,2,10.0,0,-0.6310378338259923,0,1,0,0,0
2020,Michael Pratt,Tulane,2,10.0,13,1.705695073526841,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.7519361608312708,0,1,0,0,0
2020,Michael Pratt,Tulane,2,16.0,19,2.477429471866098,1,1,1,0,0
2020,Michael Pratt,Tulane,2,10.0,8,0.8042521100473597,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.8627910327708888,0,1,0,0,0
2020,Michael Pratt,Tulane,3,8.0,6,0.1750859045924251,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.7519361608312708,0,1,0,0,0
2020,Michael Pratt,Tulane,2,8.0,0,-0.501678537573664,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.5327945515514214,0,1,0,0,0
2020,Michael Pratt,Tulane,3,6.0,0,-0.22398022422976105,0,1,0,0,0
2020,Michael Pratt,Tulane,2,10.0,0,-0.41175635476850303,0,1,0,0,0
2020,Michael Pratt,Tulane,3,10.0,0,-0.19252985967911143,0,1,0,0,0
2020,Michael Pratt,Tulane,2,14.0,0,-0.772382777945856,0,1,0,0,0
2020,Michael Pratt,Tulane,3,39.0,42,4.793150463282606,1,1,1,0,0
2020,Michael Pratt,Tulane,2,6.0,6,1.1196362213214004,1,1,1,0,0
2020,Michael Pratt,Tulane,3,8.0,0,-0.3972581304738693,0,1,0,0,0
2020,Michael Pratt,Tulane,2,10.0,12,1.7302143481872232,1,1,1,0,0
2020,Michael Pratt,Tulane,3,9.0,20,1.6630900359771257,1,1,1,0,0
2020,Michael Pratt,Tulane,2,15.0,0,-0.9605387170985145,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-1.1077677360468863,0,1,0,0,0
2020,Michael Pratt,Tulane,1,15.0,0,-1.0198033924746657,0,1,0,0,0
2020,Michael Pratt,Tulane,3,16.0,13,-2.0997534100789927,0,1,0,1,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.8947814664467213,0,1,0,0,0
2020,Michael Pratt,Tulane,3,5.0,18,2.9062121652260657,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-1.0250974847844603,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,28,2.764014474138431,1,1,1,0,1
2020,Michael Pratt,Tulane,1,10.0,18,1.4755187533522898,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,18,1.5026459485340118,1,1,1,0,0
2020,Michael Pratt,Tulane,2,11.0,12,0.908918682582678,1,1,1,0,0
2020,Michael Pratt,Tulane,2,11.0,20,3.050233499920962,1,1,1,0,1
2020,Michael Pratt,Tulane,1,10.0,0,-1.0146424556055624,0,1,0,0,0
2020,Michael Pratt,Tulane,3,9.0,0,-0.35343126870322106,0,1,0,0,0
2020,Michael Pratt,Tulane,2,4.0,4,0.5016633079774184,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,16,1.4803864590540865,1,1,1,0,0
2020,Michael Pratt,Tulane,2,9.0,0,-1.0781399173633872,0,1,0,0,0
2020,Michael Pratt,Tulane,2,6.0,12,1.4739425233020853,1,1,1,0,0
2020,Michael Pratt,Tulane,3,4.0,0,-0.388682602539534,0,1,0,0,0
2020,Michael Pratt,Tulane,4,4.0,7,1.499265162517203,1,1,1,0,0
2020,Michael Pratt,Tulane,2,10.0,13,1.8277215010854828,1,1,1,0,0
2020,Michael Pratt,Tulane,2,8.0,8,2.676770954733065,1,1,1,0,1
2020,Michael Pratt,Tulane,1,10.0,26,1.9422255456656945,1,1,1,0,0
2020,Michael Pratt,Tulane,3,6.0,0,-0.3146897268978579,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-1.852807392224669,0,1,0,1,0
2020,Michael Pratt,Tulane,3,10.0,15,2.0450201794069045,1,1,1,0,0
2020,Michael Pratt,Tulane,2,10.0,0,-0.2760618997483206,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.585616097616759,0,1,0,0,0
2020,Michael Pratt,Tulane,2,10.0,0,-0.13220699495240051,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.3062456358083505,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,9,0.853883381356602,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,9,1.3649000856171405,1,1,1,0,0
2020,Michael Pratt,Tulane,2,1.0,0,-1.4077884997833667,0,1,0,0,0
2020,Michael Pratt,Tulane,2,6.0,0,-2.9303632927791394,0,1,0,1,0
2020,Michael Pratt,Tulane,3,5.0,6,2.053871071544487,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,18,1.275590132794118,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.4710467974920665,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,52,3.67405511637008,1,1,1,0,0
2020,Michael Pratt,Tulane,2,11.0,0,-1.0445121505311779,0,1,0,0,0
2020,Michael Pratt,Tulane,3,8.0,0,-0.4114761869190806,0,1,0,0,0
2020,Michael Pratt,Tulane,2,8.0,0,-0.7734170183439133,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,13,1.1906730890422423,1,1,1,0,0
2020,Michael Pratt,Tulane,1,15.0,10,0.6581470362927972,1,1,1,0,0
2020,Michael Pratt,Tulane,3,5.0,15,1.9953147505979465,1,1,1,0,0
2020,Michael Pratt,Tulane,2,1.0,0,-1.4372843166189264,0,1,0,0,0
2020,Michael Pratt,Tulane,2,6.0,31,3.0398709028211677,1,1,1,0,1
2020,Michael Pratt,Tulane,3,4.0,5,2.707849502111889,1,1,1,0,1
2020,Michael Pratt,Tulane,2,17.0,26,2.062312889378946,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,11,0.400747959339229,1,1,1,0,0
2020,Michael Pratt,Tulane,2,4.0,7,0.7226117271887471,1,1,1,0,0
2020,Michael Pratt,Tulane,2,2.0,3,0.0206307566117248,1,1,1,0,0
2020,Michael Pratt,Tulane,2,5.0,35,3.1017834439734298,1,1,1,0,1
2020,Michael Pratt,Tulane,1,10.0,6,0.3066560644610403,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,8,1.037188716394402,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-1.1590089706435955,0,1,0,0,0
2020,Michael Pratt,Tulane,3,13.0,17,3.49765866116055,1,1,1,0,0
2020,Michael Pratt,Tulane,3,7.0,0,-0.8995343697285872,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,5,0.0945451165334843,1,1,1,0,0
2020,Michael Pratt,Tulane,2,5.0,6,0.8360173954125062,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,13,1.223825403882392,1,1,1,0,0
2020,Michael Pratt,Tulane,2,7.0,0,-1.1303938669231302,0,1,0,0,0
2020,Michael Pratt,Tulane,3,17.0,0,-0.5226919184154983,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,5,0.1100844824489312,1,1,1,0,0
2020,Michael Pratt,Tulane,2,17.0,0,-0.8488879133826863,0,1,0,0,0
2020,Michael Pratt,Tulane,3,13.0,0,-0.04146130037309084,0,1,0,0,0
2020,Michael Pratt,Tulane,2,5.0,0,-0.32302193763867,0,1,0,0,0
2020,Michael Pratt,Tulane,3,5.0,5,2.76159962916859,1,1,1,0,1
2020,Michael Pratt,Tulane,2,5.0,5,2.43857769152992,1,1,1,0,1
2020,Michael Pratt,Tulane,1,10.0,10,0.180209804991055,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,12,0.329340146406821,1,1,1,0,0
2020,Michael Pratt,Tulane,2,9.0,0,-0.5359237345216901,0,1,0,0,0
2020,Michael Pratt,Tulane,3,9.0,6,0.1758352043138931,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.766047035673644,0,1,0,0,0
2020,Michael Pratt,Tulane,3,3.0,15,2.43348786159718,1,1,1,0,0
2020,Michael Pratt,Tulane,3,4.0,11,2.321066847105942,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,10,0.9449493519690596,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,20,0.3414248835530369,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.2977696357406735,0,1,0,0,0
2020,Michael Pratt,Tulane,3,31.0,8,0.4816646547664156,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.6139422043948972,0,1,0,1,0
2020,Michael Pratt,Tulane,1,10.0,3,-0.4309799951978805,0,1,1,0,0
2020,Michael Pratt,Tulane,2,7.0,6,0.2077272144937863,1,1,1,0,0
2020,Michael Pratt,Tulane,3,6.0,0,-1.0426462604369071,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.6918622905019662,0,1,0,0,0
2020,Michael Pratt,Tulane,2,10.0,-1,-1.1306585850107937,0,1,1,0,0
2020,Michael Pratt,Tulane,3,4.0,4,2.6959729214765815,1,1,1,0,1
2020,Michael Pratt,Tulane,3,11.0,14,2.147486892641256,1,1,1,0,0
2020,Michael Pratt,Tulane,3,6.0,0,-0.6094006658069526,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,9,1.3755540761931897,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,10,0.8822046406441864,1,1,1,0,0
2020,Michael Pratt,Tulane,3,2.0,0,-0.3579347671488744,0,1,0,0,0
2020,Michael Pratt,Tulane,2,11.0,9,0.3582695452383664,1,1,1,0,0
2020,Michael Pratt,Tulane,3,3.0,0,-0.5139435334013278,0,1,0,0,0
2020,Michael Pratt,Tulane,3,10.0,8,0.13830001417302729,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.4404078956667625,0,1,0,0,0
2020,Michael Pratt,Tulane,1,10.0,6,0.3333748010525683,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,8,0.795102575020074,1,1,1,0,0
2020,Michael Pratt,Tulane,2,2.0,3,-0.1602773702168602,0,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,26,0.5296692181088182,1,1,1,0,0
2020,Michael Pratt,Tulane,1,20.0,21,3.154324218568785,1,1,1,0,1
2020,Michael Pratt,Tulane,2,10.0,4,-0.0302043559556575,0,1,1,0,0
2020,Michael Pratt,Tulane,3,6.0,0,-0.355186088092285,0,1,0,0,0
2020,Michael Pratt,Tulane,1,20.0,13,1.6734106699388587,1,1,1,0,0
2020,Michael Pratt,Tulane,2,7.0,23,0.8600656791455497,1,1,1,0,0
2020,Michael Pratt,Tulane,1,10.0,0,-0.3048472994988835,0,1,0,0,0
2020,Michael Pratt,Tulane,2,11.0,16,2.429401526514326,1,1,1,0,0
2020,Michael Pratt,Tulane,2,11.0,0,-0.3515213419470049,0,1,0,0,0
2020,Michael Pratt,Tulane,3,4.0,9,1.1395788578899015,1,1,1,0,0
2020,Michael Pratt,Tulane,4,1.0,5,2.121735951579625,1,1,1,0,0
2020,Michael Pratt,Tulane,2,14.0,10,0.26632736028378545,1,1,1,0,0
2020,Michael Pratt,Tulane,2,8.0,0,-0.3680210874717833,0,1,0,0,0
2020,Michael Pratt,Tulane,3,8.0,0,-0.16596300296032848,0,1,0,0,0
2020,Michael Pratt,Tulane,2,11.0,7,0.2799365510185208,1,1,1,0,0
