season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2016,Mike White,Western Kentucky,2018,,,-5,pass,-1.9585156440734863,False,85.0
2016,Mike White,Western Kentucky,2018,,,9,pass,0.22488975524902344,False,94.0
2016,Mike White,Western Kentucky,2018,,,12,pass,-0.8965961933135986,False,41.0
2016,Mike White,Western Kentucky,2018,,,10,pass,-0.8830211162567139,False,51.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-2.33450984954834,False,70.0
2016,Mike White,Western Kentucky,2018,,,-1,pass,-2.2716047763824463,False,69.0
2016,Mike White,Western Kentucky,2018,,,10,pass,-0.4553172290325165,False,82.0
2016,Mike White,Western Kentucky,2018,,,8,pass,-0.3253427743911743,False,91.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-1.7495365142822266,False,73.0
2016,Mike White,Western Kentucky,2018,,,55,pass,-6.824517726898193,True,68.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-4.134096622467041,False,48.0
2016,Mike White,Western Kentucky,2018,,,8,pass,-2.6940505504608154,False,56.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-3.086233139038086,False,65.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-7.562024116516113,False,8.0
2016,Mike White,Western Kentucky,2018,,,59,pass,-1.2387497425079346,False,79.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-3.571249485015869,False,66.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-3.5705971717834473,False,66.0
2016,Mike White,Western Kentucky,2018,,,3,pass,-3.0569112300872803,False,69.0
2016,Mike White,Western Kentucky,2018,,,-13,pass,-4.206157684326172,False,70.0
2016,Mike White,Western Kentucky,2018,,,6,pass,-2.215336322784424,False,76.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-2.654876947402954,False,76.0
2016,Mike White,Western Kentucky,2018,,,17,pass,0.9078179597854614,False,25.0
2016,Mike White,Western Kentucky,2018,,,8,pass,4.675566673278809,True,8.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.9087420701980591,False,80.0
2016,Mike White,Western Kentucky,2018,,,19,pass,0.2751508951187134,False,80.0
2016,Mike White,Western Kentucky,2018,,,10,pass,1.2740681171417236,False,58.0
2016,Mike White,Western Kentucky,2018,,,14,pass,0.8162972927093506,False,48.0
2016,Mike White,Western Kentucky,2018,,,9,pass,0.696540355682373,False,39.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.8465933799743652,False,30.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.5629363059997559,False,20.0
2016,Mike White,Western Kentucky,2018,,,8,pass,0.7927567958831787,False,75.0
2016,Mike White,Western Kentucky,2018,,,15,pass,0.9888973236083984,False,66.0
2016,Mike White,Western Kentucky,2018,,,5,pass,1.4722942113876343,False,51.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.5693225860595703,False,28.0
2016,Mike White,Western Kentucky,2018,,,9,pass,0.7248539924621582,False,28.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.9446408748626709,False,19.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.7918157577514648,False,11.0
2016,Mike White,Western Kentucky,2018,,,1,pass,-3.113445520401001,False,11.0
2016,Mike White,Western Kentucky,2018,,,11,pass,1.2381376028060913,False,84.0
2016,Mike White,Western Kentucky,2018,,,15,pass,0.7374098300933838,False,62.0
2016,Mike White,Western Kentucky,2018,,,2,pass,-0.560396671295166,False,47.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.5661051273345947,False,35.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.8672003746032715,False,35.0
2016,Mike White,Western Kentucky,2018,,,12,pass,-4.126714706420898,False,29.0
2016,Mike White,Western Kentucky,2018,,,4,pass,-0.27345991134643555,False,53.0
2016,Mike White,Western Kentucky,2018,,,-1,pass,-1.0186978578567505,False,54.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-1.3165570497512817,False,55.0
2016,Mike White,Western Kentucky,2018,,,2,pass,-0.2760738134384155,False,66.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.6720064878463745,False,64.0
2016,Mike White,Western Kentucky,2018,,,4,pass,-0.47287774085998535,False,64.0
2016,Mike White,Western Kentucky,2018,,,10,pass,2.0253987312316895,False,60.0
2016,Mike White,Western Kentucky,2018,,,12,pass,0.819866418838501,False,50.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.6604785919189453,False,38.0
2016,Mike White,Western Kentucky,2018,,,15,pass,1.4170200824737549,False,38.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.6230370998382568,False,23.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.7804183959960938,False,23.0
2016,Mike White,Western Kentucky,2018,,,9,pass,0.5775642395019531,False,23.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-5.785888671875,False,4.0
2016,Mike White,Western Kentucky,2018,,,-2,pass,-1.1907371282577515,False,79.0
2016,Mike White,Western Kentucky,2018,,,36,pass,2.6684036254882812,True,36.0
2016,Mike White,Western Kentucky,2018,,,16,pass,1.3035109043121338,False,52.0
2016,Mike White,Western Kentucky,2018,,,-2,pass,-1.0773422718048096,False,74.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.9350508451461792,False,61.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-1.4843907356262207,False,61.0
2016,Mike White,Western Kentucky,2018,,,53,pass,2.656219482421875,True,53.0
2016,Mike White,Western Kentucky,2018,,,5,pass,0.0011873245239257812,False,58.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.669109582901001,False,40.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-1.0050289630889893,False,40.0
2016,Mike White,Western Kentucky,2018,,,-6,pass,-2.2513651847839355,False,40.0
2016,Mike White,Western Kentucky,2018,,,10,pass,1.575918197631836,False,13.0
2016,Mike White,Western Kentucky,2018,,,1,pass,-0.5856101512908936,False,22.0
2016,Mike White,Western Kentucky,2018,,,-6,pass,-1.056746006011963,False,21.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.5316264629364014,False,27.0
2016,Mike White,Western Kentucky,2018,,,15,pass,1.2355058193206787,False,27.0
2016,Mike White,Western Kentucky,2018,,,3,pass,-0.7039229869842529,False,37.0
2016,Mike White,Western Kentucky,2018,,,32,pass,4.458024501800537,False,34.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-1.745112657546997,False,62.0
2016,Mike White,Western Kentucky,2018,,,11,pass,2.3729732036590576,False,50.0
2016,Mike White,Western Kentucky,2018,,,9,pass,0.8089978694915771,False,39.0
2016,Mike White,Western Kentucky,2018,,,12,pass,0.6633672714233398,False,23.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-1.4230358600616455,False,75.0
2016,Mike White,Western Kentucky,2018,,,1,pass,-0.8456993103027344,False,79.0
2016,Mike White,Western Kentucky,2018,,,18,pass,-2.9309237003326416,False,44.0
2016,Mike White,Western Kentucky,2018,,,0,pass,-0.8415409922599792,False,92.0
2016,Mike White,Western Kentucky,2018,,,41,pass,3.6620864868164062,False,92.0
2016,Mike White,Western Kentucky,2018,,,-1,pass,-1.1025665998458862,False,51.0
2016,Mike White,Western Kentucky,2018,,,2,pass,-4.6428608894348145,False,52.0
