season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Mikey Keene,Fresno State,1,10,8,0.9420759997342945,1,1,1,0,0
2023,Mikey Keene,Fresno State,3,2,0,-1.1445519741373325,0,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Mikey Keene,Fresno State,2,10,8,0.4833825674180429,1,1,1,0,0
2023,Mikey Keene,Fresno State,3,2,0,-0.6013143962559822,0,1,0,0,0
2023,Mikey Keene,Fresno State,1,10,6,0.38118862332173,1,1,1,0,0
2023,Mikey Keene,Fresno State,2,4,5,0.4825422564846137,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,0,-0.9690270974076257,0,1,0,0,0
2023,Mikey Keene,Fresno State,3,7,12,1.9829156313762595,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,29,2.788301184598112,1,1,1,0,1
2023,Mikey Keene,Fresno State,2,8,-3,-0.37737000744475857,0,1,1,0,0
2023,Mikey Keene,Fresno State,2,3,49,2.8686650309974606,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,8,0.45535034140422,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,8,8,2.319599568699692,1,1,1,0,1
2023,Mikey Keene,Fresno State,2,10,7,0.3138158809285007,1,1,1,0,0
2023,Mikey Keene,Fresno State,3,3,8,1.7100086566927972,1,1,1,0,0
2023,Mikey Keene,Fresno State,2,9,8,0.8542424183568968,1,1,1,0,0
2023,Mikey Keene,Fresno State,3,13,14,3.325944561621122,1,1,1,0,0
2023,Mikey Keene,Fresno State,3,10,19,2.345624983012467,1,1,1,0,0
2023,Mikey Keene,Fresno State,2,5,2,-0.185984708249071,0,1,1,0,0
2023,Mikey Keene,Fresno State,3,3,0,-0.291784144723391,0,1,0,0,0
2023,Mikey Keene,Fresno State,1,10,0,-1.1143038065675126,0,1,0,0,0
2023,Mikey Keene,Fresno State,2,10,7,0.5711788490243421,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,15,1.0007067849881197,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,0,-0.7828922522763084,0,1,0,0,0
2023,Mikey Keene,Fresno State,2,8,0,-0.4788075161366292,0,1,0,0,0
2023,Mikey Keene,Fresno State,3,8,0,-0.22421028645399854,0,1,0,0,0
2023,Mikey Keene,Fresno State,1,10,14,1.1129466095804723,1,1,1,0,0
2023,Mikey Keene,Fresno State,2,10,0,-1.060943078602227,0,1,0,0,0
2023,Mikey Keene,Fresno State,3,10,24,2.7480347944644414,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,0,-0.362321296557512,0,1,0,0,0
2023,Mikey Keene,Fresno State,2,7,12,1.1140008616093828,1,1,1,0,0
2023,Mikey Keene,Fresno State,2,10,5,0.05100859460227445,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,0,-0.6082596672078662,0,1,0,0,0
2023,Mikey Keene,Fresno State,1,10,0,-0.374805786232315,0,1,0,0,0
2023,Mikey Keene,Fresno State,2,9,16,1.8686629482820445,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,8,1.0316758541779354,1,1,1,0,0
2023,Mikey Keene,Fresno State,3,3,6,1.7721880524532772,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,14,0.7897417678602923,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,10,0.2725044215108985,1,1,1,0,0
2023,Mikey Keene,Fresno State,2,7,22,2.840974209403445,1,1,1,0,1
2023,Mikey Keene,Fresno State,2,8,39,2.910870488648964,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,14,1.2227390832564555,1,1,1,0,0
2023,Mikey Keene,Fresno State,3,3,-1,-0.5398846940511164,0,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,5,0.0872656999639112,1,1,1,0,0
2023,Mikey Keene,Fresno State,3,10,14,2.3412620670696516,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,26,2.7200021224081805,1,1,1,0,1
2023,Mikey Keene,Fresno State,3,3,-1,-0.6773956933710394,0,1,1,0,0
2023,Mikey Keene,Fresno State,2,9,6,0.2228795957604275,1,1,1,0,0
2023,Mikey Keene,Fresno State,2,7,8,0.9277622732018189,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,7,0.6599378983160946,1,1,1,0,0
2023,Mikey Keene,Fresno State,3,2,13,2.1956663003624657,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,17,0.938337158619385,1,1,1,0,0
2023,Mikey Keene,Fresno State,1,10,23,2.6639776780712285,1,1,1,0,1
2023,Mikey Keene,Fresno State,2,8,0,-4.323229045266935,0,1,0,1,0
2023,Mikey Keene,Fresno State,1,10,-4,-1.4496214602694606,0,1,1,0,0
2023,Mikey Keene,Fresno State,2,14,34,2.5384294034875428,1,1,1,0,0
2023,Mikey Keene,Fresno State,2,10,0,-1.067301371027259,0,1,0,0,0
2023,Mikey Keene,Fresno State,1,10,-2,-1.431509275302468,0,1,1,0,0
2023,Mikey Keene,Fresno State,3,10,35,3.02775863282552,1,1,1,0,0
2023,Mikey Keene,Fresno State,3,7,0,-0.325035760733144,0,1,0,0,0
2023,Mikey Keene,Fresno State,1,10,0,-0.7029700220436519,0,1,1,0,0
2023,Mikey Keene,Fresno State,2,10,0,-0.34710487712173865,0,1,0,0,0
2023,Mikey Keene,Fresno State,3,10,26,3.365499467249464,1,1,1,0,0
2023,Mikey Keene,Fresno State,2,7,0,-0.277446160702615,0,1,0,0,0
