season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Myles Crawley,Grambling,1,10,0,-0.48436415563340685,0,1,0,0,0
2023,Myles Crawley,Grambling,2,10,34,3.257216186547816,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,3,-0.375732386813203,0,1,1,0,0
2023,Myles Crawley,Grambling,1,10,15,0.2400180094190305,1,1,1,0,0
2023,Myles Crawley,Grambling,2,9,13,2.793636364795914,1,1,1,0,1
2023,Myles Crawley,Grambling,2,6,8,0.715182485438147,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.7342478781140684,0,1,0,0,0
2023,Myles Crawley,Grambling,2,10,0,-0.3675373383433538,0,1,0,0,0
2023,Myles Crawley,Grambling,2,4,16,0.283634307163352,1,1,1,0,0
2023,Myles Crawley,Grambling,3,8,2,-0.1815350510416746,0,1,1,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,25,1.7843118203667194,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.6918622905019662,0,1,0,0,0
2023,Myles Crawley,Grambling,2,10,0,-0.9144980156718301,0,1,0,0,0
2023,Myles Crawley,Grambling,2,5,0,-0.32302193763867,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,5,0.090922002905697,1,1,1,0,0
2023,Myles Crawley,Grambling,3,17,11,0.15127198336424194,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.7029700220436519,0,1,1,0,0
2023,Myles Crawley,Grambling,1,10,0,-1.087995077167328,0,1,0,0,0
2023,Myles Crawley,Grambling,3,10,0,-0.36514774325411636,0,1,0,0,0
2023,Myles Crawley,Grambling,2,12,12,1.7202956223005321,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,6,0.3983464844048346,1,1,1,0,0
2023,Myles Crawley,Grambling,2,4,0,-1.1629301570993986,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,2,-0.45260367932203766,0,1,1,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.291297448934314,0,1,0,0,0
2023,Myles Crawley,Grambling,2,10,-2,-0.4594869539004927,0,1,1,0,0
2023,Myles Crawley,Grambling,1,10,13,0.250153461002357,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,6,0.295635896925372,1,1,1,0,0
2023,Myles Crawley,Grambling,2,4,8,0.6884665274256234,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,7,0.6896384238174758,1,1,1,0,0
2023,Myles Crawley,Grambling,1,7,0,-0.4818026501759123,0,1,0,0,0
2023,Myles Crawley,Grambling,3,18,0,-0.04140722900561756,0,1,0,0,0
2023,Myles Crawley,Grambling,3,12,22,,0,1,1,0,0
2023,Myles Crawley,Grambling,3,10,0,-1.012804565906361,0,1,0,0,0
2023,Myles Crawley,Grambling,4,10,15,2.739097665420448,1,1,1,0,0
2023,Myles Crawley,Grambling,4,10,15,2.739097665420448,1,1,1,0,0
2023,Myles Crawley,Grambling,3,10,0,-1.012804565906361,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.42008778911877176,0,1,0,0,0
2023,Myles Crawley,Grambling,2,10,8,0.30262337347162127,1,1,1,0,0
2023,Myles Crawley,Grambling,3,3,18,0.9342731908298296,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,4,-0.1055620972164722,0,1,1,0,0
2023,Myles Crawley,Grambling,2,6,0,-1.1495421661725853,0,1,0,0,0
2023,Myles Crawley,Grambling,3,6,0,-0.9689555597926596,0,1,1,0,0
2023,Myles Crawley,Grambling,4,6,30,3.6082313304016913,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.6425305871127751,0,1,0,0,0
2023,Myles Crawley,Grambling,3,8,0,-0.15651254264732373,0,1,0,0,0
2023,Myles Crawley,Grambling,2,8,10,1.4743146465032257,1,1,1,0,0
2023,Myles Crawley,Grambling,2,2,0,-1.0982813042056385,0,1,0,0,0
2023,Myles Crawley,Grambling,3,8,12,7.242827768916369,1,1,1,0,1
2023,Myles Crawley,Grambling,1,10,0,-1.1590089706435955,0,1,0,0,0
2023,Myles Crawley,Grambling,3,12,0,-0.5595020517787095,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,0,-1.1590089706435955,0,1,0,0,0
2023,Myles Crawley,Grambling,3,12,0,-0.5595020517787095,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,4,-0.0951556089752721,0,1,1,0,0
2023,Myles Crawley,Grambling,3,4,0,-1.0551802473396048,0,1,0,0,0
2023,Myles Crawley,Grambling,3,4,0,-1.0551802473396048,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,8,0.672809139285251,1,1,1,0,0
2023,Myles Crawley,Grambling,2,13,0,-0.2704194999143468,0,1,0,0,0
2023,Myles Crawley,Grambling,3,13,10,0.3318349012033277,1,1,1,0,0
2023,Myles Crawley,Grambling,1,2,0,-0.9605647100742685,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,37,,0,1,1,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.766047035673644,0,1,1,0,0
2023,Myles Crawley,Grambling,2,10,16,2.233445772384254,1,1,1,0,0
2023,Myles Crawley,Grambling,2,4,-1,-1.007154437973556,0,1,1,0,0
2023,Myles Crawley,Grambling,3,10,0,-0.9309073614805355,0,1,1,0,0
2023,Myles Crawley,Grambling,3,8,9,1.290954986909219,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,1,-0.8564651345494897,0,1,1,0,0
2023,Myles Crawley,Grambling,3,1,0,-0.6419024302387282,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,5,0.0945451165334843,1,1,1,0,0
2023,Myles Crawley,Grambling,3,7,2,-0.22238952812182777,0,1,1,0,0
2023,Myles Crawley,Grambling,1,10,15,1.143340784913768,1,1,1,0,0
2023,Myles Crawley,Grambling,3,10,11,2.6729225278463042,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,0,-1.1590089706435955,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,13,0.5709361874370733,1,1,1,0,0
2023,Myles Crawley,Grambling,3,10,8,0.1765154413509773,1,1,1,0,0
2023,Myles Crawley,Grambling,3,13,47,4.402216727436192,1,1,1,0,0
2023,Myles Crawley,Grambling,1,15,-20,-3.6921783133665853,0,1,1,0,0
2023,Myles Crawley,Grambling,1,35,15,1.5584538421610334,1,1,1,0,0
2023,Myles Crawley,Grambling,2,20,16,2.091729146390172,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,10,0.110557400427568,1,1,0,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.291297448934314,0,1,0,0,0
2023,Myles Crawley,Grambling,3,19,18,2.5932658468743464,1,1,1,0,0
2023,Myles Crawley,Grambling,1,13,13,2.720755919034913,1,1,1,0,1
2023,Myles Crawley,Grambling,2,16,7,0.28225927587675675,1,1,1,0,0
2023,Myles Crawley,Grambling,3,9,0,-0.5035452221631562,0,1,0,0,0
2023,Myles Crawley,Grambling,2,4,7,0.7226117271887471,1,1,0,0,0
2023,Myles Crawley,Grambling,1,10,10,0.9661037733749698,1,1,1,0,0
2023,Myles Crawley,Grambling,2,11,0,-0.17419343656084776,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.766047035673644,0,1,0,0,0
2023,Myles Crawley,Grambling,3,9,10,2.073714739195312,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.24120998460901966,0,1,0,0,0
2023,Myles Crawley,Grambling,3,5,0,-0.11696526814373875,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,34,2.93672616091367,1,1,1,0,1
2023,Myles Crawley,Grambling,2,1,0,-1.358542151054889,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,9,1.3023640826924845,1,1,1,0,0
2023,Myles Crawley,Grambling,2,8,15,1.9686555870040436,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,0,-0.9391692565688832,0,1,0,0,0
2023,Myles Crawley,Grambling,2,10,23,1.6736116154680385,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,7,0.312961885301428,1,1,1,0,0
2023,Myles Crawley,Grambling,1,9,5,0.0903475831985075,1,1,1,0,0
2023,Myles Crawley,Grambling,3,8,7,0.5135296415913437,1,1,1,0,0
2023,Myles Crawley,Grambling,2,8,0,-1.0923917928310267,0,1,0,0,0
2023,Myles Crawley,Grambling,2,2,9,0.588964500532299,1,1,1,0,0
2023,Myles Crawley,Grambling,2,8,3,-3.422889820266672,0,1,0,1,0
2023,Myles Crawley,Grambling,3,8,11,1.9457276762262448,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,11,0.184111371354017,1,1,1,0,0
2023,Myles Crawley,Grambling,2,14,6,0.1235370046361996,1,1,1,0,0
2023,Myles Crawley,Grambling,3,8,0,-0.5247481898046596,0,1,0,0,0
2023,Myles Crawley,Grambling,1,10,9,1.352349268401042,1,1,1,0,0
2023,Myles Crawley,Grambling,2,11,18,1.439938078488469,1,1,1,0,0
2023,Myles Crawley,Grambling,1,10,17,0.944106295081518,1,1,1,0,0
2023,Myles Crawley,Grambling,1,3,0,-0.746972881228756,0,1,0,0,0
2023,Myles Crawley,Grambling,3,3,-1,-0.358219312899271,0,1,1,0,0
2023,Myles Crawley,Grambling,3,11,0,-0.17342070072335858,0,1,0,0,0
2023,Myles Crawley,Grambling,2,4,0,-1.139858124496952,0,1,0,0,0
2023,Myles Crawley,Grambling,3,4,16,2.6688230354854046,1,1,1,0,0
2023,Myles Crawley,Grambling,2,10,6,0.16823773848787482,1,1,1,0,0
