season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Nick Evers,UConn,2,9,0,-0.7476681406305525,0,1,0,0,0
2024,Nick Evers,UConn,3,9,0,-0.39906977707034574,0,1,0,0,0
2024,Nick Evers,UConn,2,9,0,-0.7156844087137806,0,1,0,0,0
2024,Nick Evers,UConn,3,9,0,-0.3756863864160813,0,1,0,0,0
2024,Nick Evers,UConn,3,2,8,0.6134922543381247,1,1,1,0,0
2024,Nick Evers,UConn,3,16,10,0.1150021373679131,1,1,1,0,0
2024,Nick Evers,UConn,1,10,8,0.6039486313732949,1,1,1,0,0
2024,Nick Evers,UConn,1,10,5,0.0945451165334843,1,1,1,0,0
2024,Nick Evers,UConn,2,5,37,3.0801352296858493,1,1,1,0,0
2024,Nick Evers,UConn,1,10,5,0.079824986683601,1,1,1,0,0
2024,Nick Evers,UConn,3,2,0,-0.732272140603719,0,1,0,0,0
2024,Nick Evers,UConn,1,10,0,-0.9222448802786785,0,1,0,1,0
2024,Nick Evers,UConn,2,4,-10,-1.526824346282348,0,1,0,0,0
2024,Nick Evers,UConn,3,14,0,-0.07856677894290696,0,1,0,0,0
2024,Nick Evers,UConn,2,10,0,-1.038925163719686,0,1,0,0,0
2024,Nick Evers,UConn,3,10,0,-0.736912945019438,0,1,0,0,0
2024,Nick Evers,UConn,1,10,0,-1.0955888671820908,0,1,0,0,0
2024,Nick Evers,UConn,2,15,0,-0.10782395428385258,0,1,0,0,0
2024,Nick Evers,UConn,3,6,0,-0.3038593850582816,0,1,0,0,0
2024,Nick Evers,UConn,1,10,6,0.3608772046980507,1,1,1,0,0
2024,Nick Evers,UConn,3,3,-3,-1.6849267121180471,0,1,1,0,0
2024,Nick Evers,UConn,2,12,15,1.3784297569884405,1,1,1,0,0
2024,Nick Evers,UConn,3,4,7,0.5330627450555188,1,1,1,0,0
2024,Nick Evers,UConn,2,5,0,-0.4843998177690336,0,1,0,0,0
2024,Nick Evers,UConn,3,5,5,0.9505287368623305,1,1,1,0,0
2024,Nick Evers,UConn,3,6,0,-0.6714995032976647,0,1,0,0,0
2024,Nick Evers,UConn,1,10,0,-1.1496266880203319,0,1,0,0,0
2024,Nick Evers,UConn,2,8,0,-0.4788075161366292,0,1,0,0,0
2024,Nick Evers,UConn,3,8,0,-0.22421028645399854,0,1,0,0,0
2024,Nick Evers,UConn,1,10,1,-0.5874795431016855,0,1,1,0,0
2024,Nick Evers,UConn,3,3,4,1.3197166530611417,1,1,1,0,0
2024,Nick Evers,UConn,1,10,0,-1.041155320344064,0,1,0,0,0
2024,Nick Evers,UConn,2,15,0,-0.30747238328081306,0,1,0,0,0
2024,Nick Evers,UConn,1,10,6,0.3855228600463665,1,1,1,0,0
2024,Nick Evers,UConn,2,4,0,-1.087427766848994,0,1,0,0,0
2024,Nick Evers,UConn,2,9,4,-0.1466794683823504,0,1,1,0,0
2024,Nick Evers,UConn,3,5,22,1.6524690346560238,1,1,1,0,0
2024,Nick Evers,UConn,1,10,11,0.6849418807335004,1,1,1,0,0
2024,Nick Evers,UConn,1,10,26,0.7724669851464402,1,1,1,0,0
2024,Nick Evers,UConn,2,6,13,2.6016383669451795,1,1,1,0,1
2024,Nick Evers,UConn,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Nick Evers,UConn,3,8,0,0.009166315179988338,1,1,0,1,0
2024,Nick Evers,UConn,2,8,0,-0.9567994826811052,0,1,0,0,0
2024,Nick Evers,UConn,3,8,0,-0.5753756750205063,0,1,0,0,0
2024,Nick Evers,UConn,1,10,0,-1.041155320344064,0,1,1,0,0
2024,Nick Evers,UConn,3,13,18,3.2884005210807343,1,1,1,0,0
2024,Nick Evers,UConn,2,7,0,-0.7170623106570665,0,1,0,0,0
2024,Nick Evers,UConn,3,7,0,-0.9483272737564585,0,1,0,0,0
2024,Nick Evers,UConn,1,10,5,0.079824986683601,1,1,1,0,0
2024,Nick Evers,UConn,1,10,0,-0.402662020534962,0,1,0,0,0
2024,Nick Evers,UConn,1,10,0,-0.766047035673644,0,1,0,0,0
2024,Nick Evers,UConn,2,10,11,1.74575882921609,1,1,1,0,0
2024,Nick Evers,UConn,2,8,43,3.7758572149016527,1,1,1,0,0
2024,Nick Evers,UConn,2,6,3,-0.12479403449349,0,1,1,0,0
2024,Nick Evers,UConn,2,5,5,2.43857769152992,1,1,1,0,1
2024,Nick Evers,UConn,1,13,0,-0.251639580797439,0,1,0,0,0
2024,Nick Evers,UConn,1,10,4,-0.1037214304952529,0,1,1,0,0
2024,Nick Evers,UConn,2,6,5,0.0750492458523875,1,1,1,0,0
2024,Nick Evers,UConn,1,10,0,-1.1527089917962545,0,1,0,0,0
2024,Nick Evers,UConn,1,10,-2,-1.3862523018398782,0,1,1,0,0
2024,Nick Evers,UConn,1,10,0,-1.041155320344064,0,1,0,0,0
2024,Nick Evers,UConn,2,5,2,-0.645681736562203,0,1,1,0,0
2024,Nick Evers,UConn,2,6,9,0.6069480599636772,1,1,1,0,0
2024,Nick Evers,UConn,2,6,16,0.410175833243436,1,1,1,0,0
2024,Nick Evers,UConn,2,8,0,-0.26931522945819,0,1,0,0,0
2024,Nick Evers,UConn,3,8,0,-0.354205173792517,0,1,0,0,0
2024,Nick Evers,UConn,1,20,5,0.03433572434812236,1,1,1,0,0
2024,Nick Evers,UConn,2,6,0,-0.44623440258286706,0,1,0,0,0
2024,Nick Evers,UConn,3,6,0,-0.200720728608224,0,1,0,0,0
2024,Nick Evers,UConn,1,10,7,0.590106702773282,1,1,1,0,0
2024,Nick Evers,UConn,1,10,5,0.0836657996975912,1,1,1,0,0
2024,Nick Evers,UConn,3,6,0,-0.6597019236135397,0,1,0,0,0
2024,Nick Evers,UConn,1,10,7,0.6465727155045757,1,1,1,0,0
2024,Nick Evers,UConn,1,10,0,-0.7029700220436519,0,1,1,0,0
2024,Nick Evers,UConn,1,10,2,-0.63079683335922,0,1,1,0,0
2024,Nick Evers,UConn,2,8,8,-1.1264861559494452,0,1,0,1,0
2024,Nick Evers,UConn,3,7,6,0.05702807190735992,1,1,1,0,0
2024,Nick Evers,UConn,1,10,19,1.7075723383420156,1,1,1,0,0
2024,Nick Evers,UConn,1,10,0,-1.1612466882658818,0,1,0,0,0
2024,Nick Evers,UConn,2,10,11,2.05491538457812,1,1,1,0,0
2024,Nick Evers,UConn,1,10,16,0.688212900468956,1,1,1,0,0
2024,Nick Evers,UConn,1,10,0,-0.534372502378378,0,1,0,0,0
2024,Nick Evers,UConn,3,6,8,0.828813458629506,1,1,1,0,0
2024,Nick Evers,UConn,1,10,-3,-0.5801312955165103,0,1,1,0,0
2024,Nick Evers,UConn,2,10,18,2.315408444253647,1,1,1,0,0
2024,Nick Evers,UConn,3,14,0,-0.9623854039710311,0,1,0,0,0
