season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2021,Nick Vattiato,Middle Tennessee,3,7,3,-0.1674059672398549,0,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,-1,-1.0285266263514474,0,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,3,12,0,-0.2345867459755775,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,2,7,0,-0.477546833427642,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,0,-1.0507069190375147,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,0,-0.956890163923906,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,2,1,4,-0.1557404563639206,0,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,3,6,6,2.823761850174648,1,1,1,0,1
2021,Nick Vattiato,Middle Tennessee,2,10,23,1.9824712116969696,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,0,-0.6630222646782312,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,17,0.986641042979269,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,24,2.1543879158283823,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,2,12,17,2.1091517270398974,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,2,15,23,1.9703963050165143,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,11,0.7787667904900532,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,3,-0.4315308590496248,0,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,1,-0.5874795431016855,0,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,2,7,18,2.047992908261749,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,2,6,0,-0.4646330382023505,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,4,-0.0334632336053265,0,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,2,9,14,1.9083340586793316,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,2,11,19,2.8049162505623113,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,2,9,0,-1.084471532153902,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,3,9,0,-0.8699475122976805,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,4,4,0,-2.4141396033359683,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,3,4,0,-0.9617891472502117,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,2,4,0,-0.781180687607332,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,6,0.2517020867787,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,1,10,-3,-1.7400757003895964,0,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,2,13,0,-0.9152290921524396,0,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,3,13,10,1.0389269282135158,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,4,3,4,2.218802010581154,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,2,10,0,-0.34710487712173865,0,1,0,0,0
2021,Nick Vattiato,Middle Tennessee,3,4,8,1.4721263736484662,1,1,1,0,0
2021,Nick Vattiato,Middle Tennessee,2,10,59,5.797798343755412,1,1,1,0,1
