season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Noah Bodden,Southern,1,10,0,-0.3301132067544156,0,1,1,0,0
2022,Noah Bodden,Southern,3,17,23,4.2713976862269245,1,1,1,0,1
2022,Noah Bodden,Southern,2,10,22,1.308762179569122,1,1,1,0,0
2022,Noah Bodden,Southern,2,10,25,2.483993951231131,1,1,1,0,0
2023,Noah Bodden,Southern,3,10,0,-0.956206077295109,0,1,0,0,0
2023,Noah Bodden,Southern,2,10,0,-1.0411051963664768,0,1,0,0,0
2023,Noah Bodden,Southern,1,10,0,-0.8772679222659558,0,1,0,0,0
2023,Noah Bodden,Southern,3,11,12,2.2694991726058475,1,1,1,0,0
2023,Noah Bodden,Southern,1,10,9,1.366372861038295,1,1,1,0,0
2023,Noah Bodden,Southern,1,10,10,0.8350381090299867,1,1,1,0,0
2023,Noah Bodden,Southern,2,9,-5,-1.0515716928641634,0,1,0,0,0
2023,Noah Bodden,Southern,2,14,4,-0.06688178979644822,0,1,1,0,0
2023,Noah Bodden,Southern,1,10,13,0.169989820230132,1,1,1,0,0
2023,Noah Bodden,Southern,1,10,35,2.7201977351273876,1,1,1,0,0
2023,Noah Bodden,Southern,1,10,6,0.233934295436585,1,1,1,0,0
2023,Noah Bodden,Southern,2,10,0,-0.41175635476850303,0,1,0,0,0
2023,Noah Bodden,Southern,1,10,45,3.2635119867985507,1,1,1,0,0
2023,Noah Bodden,Southern,2,14,15,2.76328537051148,1,1,1,0,0
2023,Noah Bodden,Southern,1,10,26,0.6823205363314364,1,1,1,0,0
2023,Noah Bodden,Southern,3,8,40,3.7737465688470784,1,1,1,0,0
2023,Noah Bodden,Southern,1,10,-10,-1.523108781400253,0,1,1,0,0
2023,Noah Bodden,Southern,1,20,0,-0.68568696969146,0,1,0,0,0
2023,Noah Bodden,Southern,2,20,20,1.795301921771152,1,1,1,0,0
2023,Noah Bodden,Southern,1,8,0,-0.357171386033373,0,1,0,0,0
2023,Noah Bodden,Southern,2,8,8,2.676770954733065,1,1,1,0,1
2023,Noah Bodden,Southern,2,9,14,1.2984567915571246,1,1,1,0,0
2023,Noah Bodden,Southern,1,15,8,0.5740509654853936,1,1,1,0,0
2023,Noah Bodden,Southern,2,7,8,1.4132294686393791,1,1,1,0,0
2023,Noah Bodden,Southern,2,10,53,3.8275490595007735,1,1,1,0,0
2023,Noah Bodden,Southern,1,10,6,0.2977036772411737,1,1,1,0,0
2023,Noah Bodden,Southern,1,10,4,-0.1595952673507188,0,1,1,0,0
2023,Noah Bodden,Southern,1,10,17,0.7278888684862599,1,1,1,0,0
2023,Noah Bodden,Southern,1,10,5,0.0927395188594593,1,1,1,0,0
2023,Noah Bodden,Southern,1,10,22,1.0410607485149743,1,1,1,0,0
2024,Noah Bodden,Southern,1,10,0,-1.1077677360468863,0,1,0,0,0
2024,Noah Bodden,Southern,3,4,10,2.20405937022778,1,1,1,0,0
2024,Noah Bodden,Southern,3,8,2,-0.12368904148323256,0,1,1,0,0
2024,Noah Bodden,Southern,2,5,0,-0.6063758180006475,0,1,0,0,0
2024,Noah Bodden,Southern,3,5,10,1.6642098272703771,1,1,1,0,0
2024,Noah Bodden,Southern,2,16,0,-0.245858487766756,0,1,0,0,0
2024,Noah Bodden,Southern,1,10,23,1.121076588026062,1,1,1,0,0
2024,Noah Bodden,Southern,2,9,9,1.6109747099389933,1,1,1,0,0
2024,Noah Bodden,Southern,2,9,0,-0.8114739719044,0,1,0,0,0
2024,Noah Bodden,Southern,3,9,0,-0.44917989514863876,0,1,0,0,0
2024,Noah Bodden,Southern,1,10,0,-0.6082596672078662,0,1,0,0,0
2024,Noah Bodden,Southern,3,8,11,1.318804172067189,1,1,1,0,0
2024,Noah Bodden,Southern,2,10,12,0.770014294867824,1,1,1,0,0
2024,Noah Bodden,Southern,1,7,4,-0.014669983632882,0,1,1,0,0
2024,Noah Bodden,Southern,3,8,0,-3.763032533687131,0,1,0,1,0
2024,Noah Bodden,Southern,2,8,0,-0.413744932811472,0,1,0,0,0
2024,Noah Bodden,Southern,1,10,2,-0.205294804469698,0,1,1,0,0
2024,Noah Bodden,Southern,2,9,12,1.425829024145811,1,1,1,0,0
2024,Noah Bodden,Southern,3,9,0,-0.31228340882362904,0,1,0,0,0
