season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Parker Awad,New Mexico State,2,9,-5,-0.6059700021280943,0,1,1,0,0
2024,Parker Awad,New Mexico State,3,14,0,-0.07856677894290696,0,1,0,0,0
2024,Parker Awad,New Mexico State,3,8,0,-0.14770021702486427,0,1,0,0,0
2024,Parker Awad,New Mexico State,3,14,0,-0.45699393645965714,0,1,0,0,0
2024,Parker Awad,New Mexico State,3,7,16,2.983368272103455,1,1,1,0,0
2024,Parker Awad,New Mexico State,2,2,0,-0.526950216053992,0,1,0,0,0
2024,Parker Awad,New Mexico State,1,10,8,0.464651193572722,1,1,1,0,0
2024,Parker Awad,New Mexico State,1,10,0,-0.490975886965904,0,1,0,0,0
2024,Parker Awad,New Mexico State,1,10,0,-0.291297448934314,0,1,0,0,0
2024,Parker Awad,New Mexico State,2,10,0,-0.293579166082473,0,1,0,0,0
2024,Parker Awad,New Mexico State,1,10,0,-0.6135902757979226,0,1,0,0,0
2024,Parker Awad,New Mexico State,2,7,0,-0.8037766190400663,0,1,0,0,0
2024,Parker Awad,New Mexico State,3,7,0,-0.4258865412543571,0,1,0,0,0
2024,Parker Awad,New Mexico State,2,20,5,0.0481904631555548,1,1,1,0,0
2024,Parker Awad,New Mexico State,1,10,0,-0.6630222646782312,0,1,0,0,0
2024,Parker Awad,New Mexico State,3,10,13,1.853741462493389,1,1,1,0,0
2024,Parker Awad,New Mexico State,2,3,0,-1.2941979966519932,0,1,0,0,0
2024,Parker Awad,New Mexico State,3,3,18,2.319281982072649,1,1,1,0,0
2024,Parker Awad,New Mexico State,2,5,10,0.251599017222057,1,1,1,0,0
2024,Parker Awad,New Mexico State,1,10,64,5.147192607775331,1,1,1,0,1
2024,Parker Awad,New Mexico State,3,8,12,1.8942446858214534,1,1,1,0,0
2024,Parker Awad,New Mexico State,1,5,5,1.883780840558874,1,1,1,0,1
2024,Parker Awad,New Mexico State,1,10,0,-1.1077677360468863,0,1,0,0,0
2024,Parker Awad,New Mexico State,2,10,7,0.5192589484774999,1,1,1,0,0
2024,Parker Awad,New Mexico State,2,8,0,-0.6166151306782144,0,1,0,0,0
2024,Parker Awad,New Mexico State,3,6,0,-0.14725795095980668,0,1,0,0,0
2024,Parker Awad,New Mexico State,2,9,0,-1.005776819037436,0,1,0,0,0
2024,Parker Awad,New Mexico State,3,9,0,-0.6542406523621773,0,1,0,0,0
2024,Parker Awad,New Mexico State,1,10,0,-0.766047035673644,0,1,0,0,0
2024,Parker Awad,New Mexico State,1,10,0,-1.087995077167328,0,1,0,0,0
2024,Parker Awad,New Mexico State,3,9,0,-0.9459898924641718,0,1,0,0,0
2024,Parker Awad,New Mexico State,1,10,22,1.8903469227604806,1,1,1,0,0
2024,Parker Awad,New Mexico State,1,10,18,0.6522857256647967,1,1,1,0,0
2024,Parker Awad,New Mexico State,3,5,2,-0.6093895483709826,0,1,1,0,0
2024,Parker Awad,New Mexico State,2,25,0,-0.02554079612430815,0,1,0,0,0
2024,Parker Awad,New Mexico State,3,25,0,-0.01103716979896418,0,1,0,0,0
2024,Parker Awad,New Mexico State,4,25,0,0.40154087854690523,1,1,0,0,0
