season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Pat McQuaide,Nicholls,1,10,12,0.4083952114881759,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,0,-1.15714755134967,0,1,0,0,0
2023,Pat McQuaide,Nicholls,2,10,-2,-1.0982940440165976,0,1,1,0,0
2023,Pat McQuaide,Nicholls,3,8,-15,-0.8365563421291737,0,1,1,0,0
2023,Pat McQuaide,Nicholls,3,23,1,-0.033199036323178,0,1,1,0,0
2023,Pat McQuaide,Nicholls,2,9,15,2.0062223130245798,1,1,0,0,0
2023,Pat McQuaide,Nicholls,1,10,-15,-2.599705107501628,0,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,6,0.4024109850387187,1,1,1,0,0
2023,Pat McQuaide,Nicholls,3,7,20,2.0568315425798076,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,17,1.153475996300362,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,84,6.579369327203675,1,1,1,0,1
2023,Pat McQuaide,Nicholls,2,2,4,-0.1296225200157437,0,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,8,1.0359877217814513,1,1,1,0,0
2023,Pat McQuaide,Nicholls,2,2,0,-1.360863301114897,0,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,5,0.1057711896973057,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,8,1.0359877217814513,1,1,1,0,0
2023,Pat McQuaide,Nicholls,2,9,-15,-2.6421085371027124,0,1,1,0,0
2023,Pat McQuaide,Nicholls,3,3,-1,-0.8562230401080306,0,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,0,-0.3826565410356668,0,1,0,0,0
2023,Pat McQuaide,Nicholls,1,10,-1,-0.3779970644674062,0,1,1,0,0
2023,Pat McQuaide,Nicholls,2,11,10,0.39941950910177226,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,4,-0.0884321258012219,0,1,1,0,0
2023,Pat McQuaide,Nicholls,2,6,34,3.1795544498342005,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,6,0.2888240217992033,1,1,1,0,0
2023,Pat McQuaide,Nicholls,2,4,5,0.4899427686908498,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,5,0.1043573190685727,1,1,1,0,0
2023,Pat McQuaide,Nicholls,3,4,0,-0.5955832425633734,0,1,1,0,0
2023,Pat McQuaide,Nicholls,2,6,9,0.8311935344960615,1,1,1,0,0
2023,Pat McQuaide,Nicholls,2,21,3,-0.02961537451861318,0,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,45,3.2635119867985507,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,0,-0.557844891990525,0,1,0,0,0
2023,Pat McQuaide,Nicholls,2,6,13,1.6303405326209024,1,1,1,0,0
2023,Pat McQuaide,Nicholls,2,8,8,1.5617039197202676,1,1,1,0,0
2023,Pat McQuaide,Nicholls,3,16,15,1.2845770052701955,1,1,1,0,0
2023,Pat McQuaide,Nicholls,2,2,32,2.1947294808833,1,1,1,0,0
2023,Pat McQuaide,Nicholls,3,15,6,0.2549934122211379,1,1,1,0,0
2023,Pat McQuaide,Nicholls,4,4,5,1.6293144230025227,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,0,-0.4346450377339437,0,1,0,0,0
2023,Pat McQuaide,Nicholls,2,10,11,0.5771537712950717,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,13,2.538929215045847,1,1,1,0,1
2023,Pat McQuaide,Nicholls,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Pat McQuaide,Nicholls,3,11,14,2.2205153367163186,1,1,1,0,0
2023,Pat McQuaide,Nicholls,3,21,3,-0.0277014820499577,0,1,1,0,0
2023,Pat McQuaide,Nicholls,1,15,0,-0.32565561419001554,0,1,0,0,0
2023,Pat McQuaide,Nicholls,2,8,0,-1.0965479630049713,0,1,0,0,0
2023,Pat McQuaide,Nicholls,3,8,11,2.356606252951245,1,1,1,0,0
2023,Pat McQuaide,Nicholls,2,5,20,0.431808822213112,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,9,0,-0.315798379566314,0,1,0,0,0
2023,Pat McQuaide,Nicholls,1,10,0,-1.1301991718133413,0,1,0,0,0
2023,Pat McQuaide,Nicholls,3,8,7,0.5216405568046464,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,11,1.0601561524132492,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,0,-1.1618692012952412,0,1,0,0,0
2023,Pat McQuaide,Nicholls,2,10,9,1.1101702472292312,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,1,-0.7658255968233298,0,1,1,0,0
2023,Pat McQuaide,Nicholls,2,9,23,2.872253954955168,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,26,0.8210896484394303,1,1,1,0,0
2023,Pat McQuaide,Nicholls,2,9,1,-0.3439316523569813,0,1,1,0,0
2023,Pat McQuaide,Nicholls,2,11,4,-0.1251170406134374,0,1,1,0,0
2023,Pat McQuaide,Nicholls,3,7,0,-0.6217208272072918,0,1,0,0,0
2023,Pat McQuaide,Nicholls,2,6,4,-0.1264105056138609,0,1,1,0,0
2023,Pat McQuaide,Nicholls,3,7,11,2.3315300698661483,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,14,1.1129466095804723,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,0,-0.9391692565688832,0,1,1,0,0
2023,Pat McQuaide,Nicholls,3,17,7,0.3138758621403532,1,1,1,0,0
2023,Pat McQuaide,Nicholls,1,10,0,-0.7519361608312708,0,1,0,0,0
2023,Pat McQuaide,Nicholls,2,9,25,3.080171417820365,1,1,1,0,1
2023,Pat McQuaide,Nicholls,2,7,0,-1.062005649082046,0,1,0,0,0
2023,Pat McQuaide,Nicholls,3,7,15,2.1271983373657726,1,1,0,0,0
2023,Pat McQuaide,Nicholls,2,6,5,0.0767094340414435,1,1,1,0,0
2023,Pat McQuaide,Nicholls,3,1,7,0.183384607173075,1,1,1,0,0
2023,Pat McQuaide,Nicholls,2,7,0,-0.2859591845252985,0,1,0,0,0
2023,Pat McQuaide,Nicholls,3,7,0,-0.3434794652370955,0,1,0,0,0
2023,Pat McQuaide,Nicholls,2,6,0,-0.7432529556768595,0,1,0,0,0
2023,Pat McQuaide,Nicholls,3,6,0,-0.3737068023046843,0,1,0,0,0
