season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Paxton DeLaurent,Southeast Missouri State,3,1.0,0,-1.0389089316491162,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,5,0.0945451165334843,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,6,0.187709370950086,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,5.0,11,1.2334038216184702,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,6,0.295635896925372,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,9,0.73596654934212,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-1.065701080215459,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,12,1.0272443261435713,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,10.0,7,0.4928878258942424,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,3.0,0,-0.876818998566419,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,30,2.4398831489783497,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,9.0,0,-1.0260560859071228,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,9.0,0,-1.0560204971413256,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,14.0,0,-0.6354391048692198,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,12.0,7,0.2048951497985625,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,10.0,0,-0.550474767221999,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-0.4181180581276075,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,10.0,0,-0.8238981172019636,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,5.0,29,3.4592854726041216,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,41,1.486314875342506,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-0.291297448934314,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,10.0,11,2.813036862302239,1,1,1,0,1
2022,Paxton DeLaurent,Southeast Missouri State,1,7.0,0,-0.410393837690526,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,5.0,0,-0.290992528642002,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,10.0,6,0.1611713248304829,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-0.6723571521309859,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,12.0,0,-0.41941505197513074,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,25.0,6,0.10033944979230823,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,10,0.8350381090299867,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,9,1.3846699650971743,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,5.0,0,-0.3716239049161505,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,5.0,0,-0.7537324720659102,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,5,0.0945451165334843,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,10.0,0,-0.34710487712173865,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,10.0,11,1.9806374111113811,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,12.0,1,-0.19875011956051658,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,14.0,0,-0.09656130354074043,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,9,0.883641454107563,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,1.0,7,-0.3087081049436195,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,4.0,-2,-0.4898716097266875,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,6.0,6,2.823761850174648,1,1,1,0,1
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,33,2.7828196481491974,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,2,-0.45260367932203766,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,6.0,5,0.0709581658037592,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,4.0,12,0.202248617307278,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,8.0,4,-0.0142906717482685,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,4.0,1,-0.2906721593310305,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,-5,-2.137175482869276,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,7,0.6599378983160946,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,2.0,9,1.8521806947986306,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,15.0,17,2.1164384521912734,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,6,0.1981539364012105,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,4,-0.1162027181056828,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,6.0,-10,-2.973141987246266,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,10.0,0,-0.9411560090170408,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,9.0,7,0.3979133755444417,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,21.0,11,1.122751741953377,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,21.0,15,2.039340814217274,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,3,-0.4238622892911614,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,-11,-2.7490454446572237,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,7.0,11,1.6983194433623297,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,7.0,8,1.287593169097505,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,10.0,0,-0.7576599502448165,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,10.0,33,3.8980509489885318,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,42,3.237768310412441,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,10.0,15,1.0465233452472231,1,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,11.0,20,2.142199209534638,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,11,0.9029013327244559,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,4,2.0,0,-4.131095037342412,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,4,9.0,12,1.746835953555143,1,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,9,1.3846699650971743,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,28,1.2593895258217105,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-1.1247712359915258,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,7.0,0,-0.410393837690526,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,29,1.20911511832588,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,4.0,4,2.6959729214765815,1,1,1,0,1
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-0.5080208698531008,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,7.0,17,2.1445678831402564,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,8,1.0316758541779354,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-0.814236079442537,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,10.0,0,-3.045325365625912,0,1,0,1,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,18,1.4184927239019078,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,5.0,0,-0.8978390125055055,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,22,0.41770834642648,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,6.0,14,1.6294395706543343,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-0.490975886965904,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,10.0,7,0.286988842962041,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,42,3.1746803462193336,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,18,2.591792709070591,1,1,1,0,1
2022,Paxton DeLaurent,Southeast Missouri State,2,11.0,16,1.1076874601330764,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,6.0,0,-0.2368142460140934,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,4,-0.0884321258012219,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,6.0,0,-0.5148523715626974,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,1,-0.8334176637748527,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,9.0,0,-0.6839286311037895,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,9.0,13,2.8366961016770382,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,3.0,20,0.183475669984668,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,7.0,3,-0.11723476155044565,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,8.0,1,-0.8234272039748749,0,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,6.0,11,2.9138649179789144,1,1,1,0,1
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,7,0.304923286072843,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,7.0,15,2.4676375643660338,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,7.0,39,3.416737804270397,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,3.0,23,1.1080503140834086,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-0.5080208698531008,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,8.0,17,0.6134498399439253,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,6.0,0,-0.29509485739271,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,4.0,19,1.6654686235784588,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,2,9.0,7,0.5854299078301767,1,1,1,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-0.9690270974076257,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,3,9.0,0,-0.9459898924641718,0,1,0,0,0
2022,Paxton DeLaurent,Southeast Missouri State,1,10.0,0,-0.374805786232315,0,1,0,0,0
