season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Reggie Graff,Utah Tech,1,10,-1,-0.8014893508157099,0,1,1,0,0
2024,Reggie Graff,Utah Tech,1,10,0,-0.7029700220436519,0,1,1,0,0
2024,Reggie Graff,Utah Tech,2,5,24,2.439922595053373,1,1,1,0,0
2024,Reggie Graff,Utah Tech,1,10,-2,-1.1376140216478048,0,1,1,0,0
2024,Reggie Graff,Utah Tech,2,6,16,1.915430507343853,1,1,1,0,0
2024,Reggie Graff,Utah Tech,1,10,0,-0.4404078956667625,0,1,0,0,0
2024,Reggie Graff,Utah Tech,3,3,20,-0.14237911566467876,0,1,0,1,0
2024,Reggie Graff,Utah Tech,3,4,0,-0.3735846695161653,0,1,0,0,0
2024,Reggie Graff,Utah Tech,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Reggie Graff,Utah Tech,2,8,2,-0.512829710639612,0,1,1,0,0
2024,Reggie Graff,Utah Tech,3,6,0,-0.5793220541179895,0,1,0,0,0
2024,Reggie Graff,Utah Tech,3,6,0,-0.14032471464475726,0,1,0,0,0
2024,Reggie Graff,Utah Tech,1,10,15,1.320854515577646,1,1,1,0,0
2024,Reggie Graff,Utah Tech,2,24,0,0.24359664218264676,1,1,0,1,0
2024,Reggie Graff,Utah Tech,2,3,0,-0.5038916089586278,0,1,0,0,0
2024,Reggie Graff,Utah Tech,2,6,-1,-0.7409105172171424,0,1,1,0,0
2024,Reggie Graff,Utah Tech,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Reggie Graff,Utah Tech,2,10,17,2.219021929725658,1,1,1,0,0
2024,Reggie Graff,Utah Tech,1,10,3,-0.42807362159939,0,1,1,0,0
2024,Reggie Graff,Utah Tech,3,4,0,-0.9905673562071531,0,1,0,0,0
2024,Reggie Graff,Utah Tech,1,10,0,-0.8305196050291288,0,1,0,0,0
2024,Reggie Graff,Utah Tech,2,9,0,-0.873448258672486,0,1,0,0,0
2024,Reggie Graff,Utah Tech,3,9,0,-0.5035452221631562,0,1,0,0,0
2024,Reggie Graff,Utah Tech,3,12,0,-0.9944406148573164,0,1,0,0,0
2024,Reggie Graff,Utah Tech,1,10,11,0.9727785135184703,1,1,1,0,0
2024,Reggie Graff,Utah Tech,1,10,48,3.686233836279957,1,1,1,0,1
2024,Reggie Graff,Utah Tech,1,10,0,-0.7029700220436519,0,1,1,0,0
2024,Reggie Graff,Utah Tech,2,10,16,2.121712791966546,1,1,1,0,0
2024,Reggie Graff,Utah Tech,1,10,24,1.4986633557903437,1,1,1,0,0
2024,Reggie Graff,Utah Tech,1,10,32,2.8715194255889624,1,1,1,0,1
2024,Reggie Graff,Utah Tech,1,15,-10,-0.5457898146526636,0,1,1,0,0
2024,Reggie Graff,Utah Tech,2,17,0,-0.1052159632619274,0,1,0,0,0
2024,Reggie Graff,Utah Tech,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Reggie Graff,Utah Tech,3,7,26,3.389666853742896,1,1,1,0,0
2024,Reggie Graff,Utah Tech,1,10,9,0.698477649783843,1,1,1,0,0
