season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2008,Rhett Bomar,Sam Houston State,2009,,,0,pass,-1.6313228607177734,False,27.0
2008,Rhett Bomar,Sam Houston State,2009,,,0,pass,-1.9821202754974365,False,22.0
2008,Rhett Bomar,Sam Houston State,2009,,,0,pass,-0.5941452980041504,False,22.0
2008,Rhett Bomar,Sam Houston State,2009,,,14,pass,0.842914342880249,False,36.0
2008,Rhett Bomar,Sam Houston State,2009,,,17,pass,1.7192307710647583,False,70.0
2008,Rhett Bomar,Sam Houston State,2009,,,4,pass,-0.31274014711380005,False,74.0
2008,Rhett Bomar,Sam Houston State,2009,,,14,pass,1.7832014560699463,False,59.0
2008,Rhett Bomar,Sam Houston State,2009,,,13,pass,2.5836150646209717,False,72.0
2008,Rhett Bomar,Sam Houston State,2009,,,4,pass,-0.38173508644104004,False,76.0
2008,Rhett Bomar,Sam Houston State,2009,,,46,pass,4.938014030456543,True,46.0
2008,Rhett Bomar,Sam Houston State,2009,,,33,pass,3.5722970962524414,False,79.0
2008,Rhett Bomar,Sam Houston State,2009,,,28,pass,2.6335697174072266,False,36.0
2008,Rhett Bomar,Sam Houston State,2009,,,0,pass,-0.5098705291748047,False,37.0
2008,Rhett Bomar,Sam Houston State,2009,,,17,pass,1.8168506622314453,False,54.0
2008,Rhett Bomar,Sam Houston State,2009,,,2,pass,-0.3894706964492798,False,56.0
2008,Rhett Bomar,Sam Houston State,2009,,,15,pass,1.1169767379760742,False,71.0
2008,Rhett Bomar,Sam Houston State,2009,,,9,pass,0.8400850296020508,False,38.0
2008,Rhett Bomar,Sam Houston State,2009,,,11,pass,0.48929524421691895,False,49.0
2008,Rhett Bomar,Sam Houston State,2009,,,13,pass,0.6689375638961792,False,62.0
2008,Rhett Bomar,Sam Houston State,2009,,,9,pass,0.8959730863571167,False,71.0
2008,Rhett Bomar,Sam Houston State,2009,,,0,pass,-1.4334444999694824,False,91.0
2008,Rhett Bomar,Sam Houston State,2009,,,0,pass,-1.4104344844818115,False,21.0
2008,Rhett Bomar,Sam Houston State,2009,,,5,pass,0.21840476989746094,False,26.0
2008,Rhett Bomar,Sam Houston State,2009,,,25,pass,2.4322874546051025,False,51.0
2008,Rhett Bomar,Sam Houston State,2009,,,10,pass,0.47959113121032715,False,69.0
2008,Rhett Bomar,Sam Houston State,2009,,,9,pass,-0.47959113121032715,False,93.0
2008,Rhett Bomar,Sam Houston State,2009,,,10,pass,-0.45921164751052856,False,67.0
2008,Rhett Bomar,Sam Houston State,2009,,,7,pass,-0.4098871648311615,False,74.0
2008,Rhett Bomar,Sam Houston State,2009,,,10,pass,0.43758901953697205,False,64.0
2008,Rhett Bomar,Sam Houston State,2009,,,0,pass,-0.9450615644454956,False,64.0
2008,Rhett Bomar,Sam Houston State,2009,,,4,pass,-0.09269213676452637,False,63.0
2008,Rhett Bomar,Sam Houston State,2009,,,11,pass,0.9514554738998413,False,74.0
