season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Richie Munoz,Weber State,2,10,8,0.8384539710247372,1,1,1,0,0
2023,Richie Munoz,Weber State,3,1,1,0.4029904831069755,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,15,2.558199089565083,1,1,1,0,1
2023,Richie Munoz,Weber State,2,10,21,2.8426594249305905,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,8,0.9916447666850381,1,1,1,0,0
2023,Richie Munoz,Weber State,2,13,0,-0.775263928810027,0,1,0,0,0
2023,Richie Munoz,Weber State,1,10,-2,-1.1000424809387441,0,1,1,0,0
2023,Richie Munoz,Weber State,2,12,13,2.1338166500446603,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,0,-1.1387859939569847,0,1,0,0,0
2023,Richie Munoz,Weber State,3,7,5,0.0571307478018373,1,1,1,0,0
2023,Richie Munoz,Weber State,3,10,9,0.7276102157595741,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,27,2.3627345152449433,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,11,0.209795504285248,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,6,0.184964409309442,1,1,1,0,0
2023,Richie Munoz,Weber State,3,8,4,-0.067315127008106,0,1,1,0,0
2023,Richie Munoz,Weber State,1,10,3,-0.4238622892911614,0,1,1,0,0
2023,Richie Munoz,Weber State,2,5,9,1.072080664967032,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,0,-0.997770018980635,0,1,0,0,0
2023,Richie Munoz,Weber State,4,10,0,-0.6005169549700131,0,1,0,0,0
2023,Richie Munoz,Weber State,2,12,4,-0.04306939678802113,0,1,1,0,0
2023,Richie Munoz,Weber State,3,16,7,0.04750970588313396,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,2,-0.6861929923492786,0,1,1,0,0
2023,Richie Munoz,Weber State,2,8,0,-1.0078767954001808,0,1,0,0,0
2023,Richie Munoz,Weber State,3,8,25,3.345143352338015,1,1,1,0,0
2023,Richie Munoz,Weber State,2,12,23,2.838053622115411,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,9,1.1787223367393838,1,1,1,0,0
2023,Richie Munoz,Weber State,2,1,0,-1.2256788565205634,0,1,0,0,0
2023,Richie Munoz,Weber State,1,10,0,-0.8772679222659558,0,1,0,0,0
2023,Richie Munoz,Weber State,3,4,26,1.4163991305569805,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,6,0.4012419719961234,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,10,0.6218919967056973,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,3,-0.2585563392598456,0,1,1,0,0
2023,Richie Munoz,Weber State,2,7,8,0.6349804200529656,1,1,1,0,0
2023,Richie Munoz,Weber State,2,20,5,0.048385242650383,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,0,-0.340019558909725,0,1,0,0,0
2023,Richie Munoz,Weber State,2,10,0,-0.4016550456030307,0,1,0,0,0
2023,Richie Munoz,Weber State,1,10,21,1.8690051060994257,1,1,1,0,0
2023,Richie Munoz,Weber State,2,22,0,-0.18824686759802134,0,1,0,0,0
2023,Richie Munoz,Weber State,3,22,13,0.44883118592868065,1,1,1,0,0
2023,Richie Munoz,Weber State,2,6,0,-0.9350286481952503,0,1,0,0,0
2023,Richie Munoz,Weber State,3,6,0,-0.5216957411521719,0,1,0,0,0
2023,Richie Munoz,Weber State,1,10,2,-0.2434763543774955,0,1,1,0,0
2023,Richie Munoz,Weber State,1,10,7,0.6896384238174758,1,1,1,0,0
2023,Richie Munoz,Weber State,3,8,0,-0.5828681949717056,0,1,0,0,0
2023,Richie Munoz,Weber State,1,10,0,-0.5327945515514214,0,1,0,0,0
2023,Richie Munoz,Weber State,2,10,47,4.034687911640548,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,3,-0.2066800678483923,0,1,1,0,0
2023,Richie Munoz,Weber State,2,7,0,-0.7480013472592404,0,1,0,0,0
2023,Richie Munoz,Weber State,2,8,0,-0.376706650922749,0,1,0,0,0
2023,Richie Munoz,Weber State,3,8,0,-0.553372477964512,0,1,0,0,0
2023,Richie Munoz,Weber State,4,8,0,-3.284454837830726,0,1,0,0,0
2023,Richie Munoz,Weber State,2,6,5,0.0866607914072527,1,1,1,0,0
2023,Richie Munoz,Weber State,4,1,0,-3.0555399740216966,0,1,0,0,0
2023,Richie Munoz,Weber State,1,10,0,-0.5586693796725282,0,1,0,0,0
2023,Richie Munoz,Weber State,2,10,5,0.03780033731591903,1,1,1,0,0
2023,Richie Munoz,Weber State,3,5,0,-0.28240901081580017,0,1,0,0,0
2023,Richie Munoz,Weber State,1,10,2,-0.6439997383019928,0,1,1,0,0
2023,Richie Munoz,Weber State,2,11,3,-0.0672976389542832,0,1,1,0,0
2023,Richie Munoz,Weber State,3,14,7,0.03949205125287136,1,1,1,0,0
2023,Richie Munoz,Weber State,2,6,10,1.1377205316767105,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,18,1.6505355534496573,1,1,1,0,0
2023,Richie Munoz,Weber State,1,10,2,-0.6002320779981093,0,1,1,0,0
2023,Richie Munoz,Weber State,2,8,6,0.2417800205112695,1,1,1,0,0
2023,Richie Munoz,Weber State,3,2,4,0.5109588613254505,1,1,1,0,0
2023,Richie Munoz,Weber State,2,15,23,3.3983789750756053,1,1,1,0,1
2023,Richie Munoz,Weber State,1,10,6,0.3037840163725374,1,1,1,0,0
2023,Richie Munoz,Weber State,2,2,19,2.251372275399515,1,1,1,0,1
2023,Richie Munoz,Weber State,2,11,6,0.2943315480231643,1,1,1,0,0
