season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Rocco Becht,Iowa State,1,10.0,0,-0.766047035673644,0,1,0,0,0
2022,Rocco Becht,Iowa State,3,4.0,0,-0.2868087912016805,0,1,0,0,0
2022,Rocco Becht,Iowa State,3,,0,,0,1,0,0,0
2022,Rocco Becht,Iowa State,2,,0,,0,1,0,0,0
2022,Rocco Becht,Iowa State,1,30.0,24,3.5231934692576603,1,1,1,0,0
2022,Rocco Becht,Iowa State,1,10.0,3,-0.375732386813203,0,1,1,0,0
2022,Rocco Becht,Iowa State,3,9.0,0,-0.8114459806871483,0,1,0,0,0
2022,Rocco Becht,Iowa State,1,10.0,9,1.1993956515648607,1,1,1,0,0
2022,Rocco Becht,Iowa State,2,1.0,10,0.4492582305852206,1,1,1,0,0
2022,Rocco Becht,Iowa State,1,10.0,4,-0.1665264279012551,0,1,1,0,0
2022,Rocco Becht,Iowa State,2,6.0,0,-1.1287444411219418,0,1,0,0,0
2022,Rocco Becht,Iowa State,3,6.0,0,-0.767058733604892,0,1,0,0,0
2022,Rocco Becht,Iowa State,4,6.0,4,-0.37596718533259565,0,1,1,0,0
2023,Rocco Becht,Iowa State,2,14.0,4,-0.02171383294391128,0,1,1,0,0
2023,Rocco Becht,Iowa State,3,4.0,9,0.831278726711586,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,11.0,9,0.13652500432153847,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-1.0146424556055624,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,5,0.0590155037822537,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,5.0,0,-0.6307534784851327,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,3,-0.3446420231971743,0,1,1,0,0
2023,Rocco Becht,Iowa State,1,20.0,15,1.734539063420982,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,5.0,15,0.3077634706804985,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,36,3.010778095013796,1,1,1,0,1
2023,Rocco Becht,Iowa State,3,4.0,0,-0.18012631905811727,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,20.0,16,,0,1,1,0,0
2023,Rocco Becht,Iowa State,2,4.0,0,-0.752193267852805,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.7519361608312708,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,0,-0.965964585356966,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,10.0,9,0.9027402044622104,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,9.0,28,,0,1,1,0,0
2023,Rocco Becht,Iowa State,2,11.0,0,-0.847642032033038,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,11.0,0,-1.0144245799080593,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,14,0.1783449488981325,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,12,0.746819283536185,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,12.0,11,1.4893175388848177,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,1.0,29,6.392166988119083,1,1,1,0,1
2023,Rocco Becht,Iowa State,1,10.0,4,-0.046112472291792,0,1,1,0,0
2023,Rocco Becht,Iowa State,3,3.0,53,,0,1,1,0,0
2023,Rocco Becht,Iowa State,2,15.0,0,-0.47339677024891724,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,15.0,17,3.507711788552374,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.585616097616759,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,0,-0.2760618997483206,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,10.0,0,-0.12331754216306565,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,30,0.8546540011495322,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,10.0,0,-0.4710097256430323,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,10.0,0,-0.7313779022528557,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,20.0,5,0.040875856989105,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,26.0,35,,0,1,1,0,0
2023,Rocco Becht,Iowa State,2,9.0,10,0.792333776668883,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,40,1.592733244508194,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,15,6.62096154987521,1,1,1,0,1
2023,Rocco Becht,Iowa State,2,10.0,11,0.568495691617546,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.5824837756999947,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,46,,0,1,1,0,0
2023,Rocco Becht,Iowa State,2,10.0,23,6.852887681302172,1,1,1,0,1
2023,Rocco Becht,Iowa State,3,10.0,11,1.463085504553955,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,10.0,0,-0.732204526648056,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.534372502378378,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.3125697195395781,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,15,,0,1,1,0,0
2023,Rocco Becht,Iowa State,2,10.0,0,-1.0264463089218037,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,12,,0,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,6,0.3333748010525683,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-1.0146424556055624,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,7.0,7,2.2400881000985153,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-1.1618692012952412,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,8,0.8364735679467916,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,2.0,15,1.7304894450758521,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,3.0,4,0.4987310073615476,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,7.0,0,-0.4177784651267853,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,7.0,0,-0.5897492914956217,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,4,-0.1622709044233037,0,1,1,0,0
2023,Rocco Becht,Iowa State,2,6.0,5,0.1079829861526723,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,9.0,0,-0.7156844087137806,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,9.0,0,-0.3756863864160813,0,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,7,0.6816920045798367,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,3.0,0,-1.1742369915168689,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,3.0,0,-0.6855090917214142,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,9.0,0,-0.7156844087137806,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,9.0,0,-0.3756863864160813,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,6.0,12,2.183936281772888,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-1.1387859939569847,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,8.0,14,2.9475967687444085,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,13,0.5381269550080832,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.557844891990525,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,5.0,11,2.31967141938775,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,11.0,0,-0.862619369652486,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,12.0,7,0.22607015773811945,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,5.0,0,-0.3716239049161505,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,11,0.37642408079312,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.512081873784803,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,0,-0.7006450342354943,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,10.0,0,-0.9527802815229531,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.5586693796725282,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,5,0.03780033731591903,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,5.0,12,1.8564160443839617,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,7.0,8,1.4624350171559346,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,14,0.913461640125243,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,6,0.204023160418757,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,18.0,0,-0.831637116575008,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,18.0,9,0.7558669950212556,1,1,1,0,0
2023,Rocco Becht,Iowa State,4,9.0,16,3.7989199045260804,1,1,1,0,1
2023,Rocco Becht,Iowa State,1,10.0,0,-0.8947814664467213,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,9,0.8518930522804951,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,1.0,0,-0.8915143649677582,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,4,-0.03148132854500396,0,1,1,0,0
2023,Rocco Becht,Iowa State,3,6.0,45,4.08207267907318,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.7215426143188567,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,10.0,9,0.8817697836602695,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,14.0,0,-1.003444934671279,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,12,1.0272443261435713,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,12,0.5856416481685258,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,7,0.5892240913275142,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,7.0,0,-0.2505847629772697,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,7,0.604642460086338,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,3.0,14,1.2882151219497755,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,7.0,5,0.0640478414798676,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,15.0,7,0.4064586775632852,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,8.0,7,0.3062106534092788,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,11.0,10,0.914966271396759,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-1.15714755134967,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,19,2.527871600275809,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,6.0,6,0.411040985019513,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.512081873784803,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,13.0,12,1.2508014821079403,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,39,1.8735239884407355,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,18,2.591792709070591,1,1,1,0,1
2023,Rocco Becht,Iowa State,1,10.0,3,-0.3446420231971743,0,1,1,0,0
2023,Rocco Becht,Iowa State,3,6.0,13,2.5009458988081117,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-1.1590089706435955,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,6.0,4,-0.1547243354877032,0,1,1,0,0
2023,Rocco Becht,Iowa State,3,6.0,0,-0.41860474378249357,0,1,0,0,0
2023,Rocco Becht,Iowa State,2,10.0,4,-0.08451069621371321,0,1,1,0,0
2023,Rocco Becht,Iowa State,4,3.0,38,5.034738560204152,1,1,1,0,1
2023,Rocco Becht,Iowa State,1,10.0,30,2.6012410346542536,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,12.0,1,-0.1326951782554513,0,1,1,0,0
2023,Rocco Becht,Iowa State,2,12.0,0,-0.33790192419717613,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,32,2.1387605077567198,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,9.0,29,3.238845598812029,1,1,1,0,1
2023,Rocco Becht,Iowa State,3,13.0,0,-1.0023861749118854,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,13,0.5381269550080832,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,5.0,12,2.175239263214432,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,10.0,5,0.04378266651122598,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,3,-0.17303361893288,0,1,1,0,0
2023,Rocco Becht,Iowa State,2,7.0,0,-0.6282538680570565,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,7.0,7,1.1823794784437691,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,5.0,11,1.3693297950294792,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-1.15714755134967,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,5.0,8,2.139131956519577,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,6.0,10,0.709509274606983,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,7.0,0,-0.8679440048848299,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,0,-0.5080208698531008,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,8.0,6,0.07998488150001128,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,9.0,0,-1.005776819037436,0,1,0,0,0
2023,Rocco Becht,Iowa State,3,10.0,11,2.6729225278463042,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,26,2.7200021224081805,1,1,1,0,1
2023,Rocco Becht,Iowa State,1,10.0,21,0.8932001188582495,1,1,1,0,0
2023,Rocco Becht,Iowa State,1,10.0,4,-0.0380297652801275,0,1,1,0,0
2023,Rocco Becht,Iowa State,2,6.0,15,0.561277257361097,1,1,1,0,0
2023,Rocco Becht,Iowa State,3,4.0,0,-1.0361220574034729,0,1,0,0,0
2023,Rocco Becht,Iowa State,1,10.0,3,-0.4184086843592085,0,1,1,0,0
2023,Rocco Becht,Iowa State,3,1.0,12,1.9158914439850612,1,1,1,0,0
2023,Rocco Becht,Iowa State,2,12.0,7,0.22607015773811945,1,1,1,0,0
