season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2011,Russell Wilson,Wisconsin,2012,,,41,pass,1.9870543479919434,False,42.0
2011,Russell Wilson,Wisconsin,2012,,,8,pass,0.973473072052002,True,8.0
2011,Russell Wilson,Wisconsin,2012,,,12,pass,1.0974087715148926,False,24.0
2011,Russell Wilson,Wisconsin,2012,,,40,pass,2.5344080924987793,False,59.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.05185580253601074,False,46.0
2011,Russell Wilson,Wisconsin,2012,,,10,pass,0.31740009784698486,False,56.0
2011,Russell Wilson,Wisconsin,2012,,,63,pass,4.323838233947754,False,66.0
2011,Russell Wilson,Wisconsin,2012,,,15,pass,1.3428044319152832,False,16.0
2011,Russell Wilson,Wisconsin,2012,,,39,pass,2.0260660648345947,False,67.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.42119932174682617,False,22.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.5675427913665771,False,45.0
2011,Russell Wilson,Wisconsin,2012,,,4,pass,2.1474313735961914,True,4.0
2011,Russell Wilson,Wisconsin,2012,,,23,pass,1.1586413383483887,False,32.0
2011,Russell Wilson,Wisconsin,2012,,,6,pass,-0.762840747833252,False,50.0
2011,Russell Wilson,Wisconsin,2012,,,34,pass,1.5185858011245728,False,85.0
2011,Russell Wilson,Wisconsin,2012,,,6,pass,0.3634376525878906,False,40.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.7110209465026855,False,43.0
2011,Russell Wilson,Wisconsin,2012,,,4,pass,-0.9531038403511047,False,88.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.4184293746948242,False,46.0
2011,Russell Wilson,Wisconsin,2012,,,15,pass,0.9795200824737549,False,76.0
2011,Russell Wilson,Wisconsin,2012,,,6,pass,2.603775978088379,True,6.0
2011,Russell Wilson,Wisconsin,2012,,,6,pass,0.5969157218933105,False,53.0
2011,Russell Wilson,Wisconsin,2012,,,10,pass,2.72013521194458,True,10.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.5493059158325195,False,15.0
2011,Russell Wilson,Wisconsin,2012,,,11,pass,0.8880743980407715,False,26.0
2011,Russell Wilson,Wisconsin,2012,,,17,pass,1.9059522151947021,False,46.0
2011,Russell Wilson,Wisconsin,2012,,,11,pass,0.40025877952575684,False,57.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-2.5788002014160156,False,40.0
2011,Russell Wilson,Wisconsin,2012,,,11,pass,1.1843018531799316,False,52.0
2011,Russell Wilson,Wisconsin,2012,,,2,pass,-0.5039544105529785,False,54.0
2011,Russell Wilson,Wisconsin,2012,,,13,pass,1.780407428741455,False,67.0
2011,Russell Wilson,Wisconsin,2012,,,14,pass,1.843921422958374,False,87.0
2011,Russell Wilson,Wisconsin,2012,,,17,pass,3.438063859939575,True,17.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-1.6280913352966309,False,75.0
2011,Russell Wilson,Wisconsin,2012,,,6,pass,-0.0057889800518751144,False,81.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-1.8523375988006592,False,36.0
2011,Russell Wilson,Wisconsin,2012,,,21,pass,2.109814405441284,False,61.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.8030366897583008,False,61.0
2011,Russell Wilson,Wisconsin,2012,,,11,pass,0.13814377784729004,False,84.0
2011,Russell Wilson,Wisconsin,2012,,,9,pass,1.1076889038085938,True,9.0
2011,Russell Wilson,Wisconsin,2012,,,9,pass,0.03438210487365723,False,70.0
2011,Russell Wilson,Wisconsin,2012,,,6,pass,0.6564579010009766,False,20.0
2011,Russell Wilson,Wisconsin,2012,,,17,pass,0.5111260414123535,False,59.0
2011,Russell Wilson,Wisconsin,2012,,,19,pass,0.6745343208312988,False,42.0
2011,Russell Wilson,Wisconsin,2012,,,18,pass,-3.3169751167297363,False,77.0
2011,Russell Wilson,Wisconsin,2012,,,10,pass,0.3954789638519287,False,30.0
2011,Russell Wilson,Wisconsin,2012,,,8,pass,0.27193260192871094,False,44.0
2011,Russell Wilson,Wisconsin,2012,,,3,pass,0.8761537075042725,False,47.0
2011,Russell Wilson,Wisconsin,2012,,,8,pass,0.36846017837524414,False,55.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.44980931282043457,False,55.0
2011,Russell Wilson,Wisconsin,2012,,,19,pass,2.3183491230010986,False,74.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.9143771529197693,False,74.0
2011,Russell Wilson,Wisconsin,2012,,,54,pass,3.623744487762451,False,56.0
2011,Russell Wilson,Wisconsin,2012,,,8,pass,0.44167792797088623,False,72.0
2011,Russell Wilson,Wisconsin,2012,,,9,pass,0.8511191606521606,False,91.0
2011,Russell Wilson,Wisconsin,2012,,,16,pass,1.5802536010742188,True,16.0
2011,Russell Wilson,Wisconsin,2012,,,14,pass,0.501152515411377,False,30.0
2011,Russell Wilson,Wisconsin,2012,,,21,pass,1.413020372390747,False,51.0
2011,Russell Wilson,Wisconsin,2012,,,12,pass,-0.08678936958312988,False,44.0
2011,Russell Wilson,Wisconsin,2012,,,6,pass,-0.5475081205368042,False,45.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.7784631252288818,False,45.0
2011,Russell Wilson,Wisconsin,2012,,,12,pass,1.7836370468139648,True,12.0
2011,Russell Wilson,Wisconsin,2012,,,37,pass,3.504072666168213,False,54.0
2011,Russell Wilson,Wisconsin,2012,,,13,pass,2.258837938308716,False,18.0
2011,Russell Wilson,Wisconsin,2012,,,7,pass,-0.1258249282836914,False,45.0
2011,Russell Wilson,Wisconsin,2012,,,27,pass,2.7367606163024902,False,50.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-1.6683087348937988,False,45.0
2011,Russell Wilson,Wisconsin,2012,,,4,pass,-0.39811134338378906,False,49.0
2011,Russell Wilson,Wisconsin,2012,,,51,pass,2.4942550659179688,True,51.0
2011,Russell Wilson,Wisconsin,2012,,,2,pass,2.1154088973999023,True,2.0
2011,Russell Wilson,Wisconsin,2012,,,11,pass,2.6446268558502197,False,13.0
2011,Russell Wilson,Wisconsin,2012,,,4,pass,-0.28154826164245605,False,17.0
2011,Russell Wilson,Wisconsin,2012,,,12,pass,1.2555029392242432,False,29.0
2011,Russell Wilson,Wisconsin,2012,,,45,pass,1.4933719635009766,False,74.0
2011,Russell Wilson,Wisconsin,2012,,,59,pass,5.106500625610352,True,59.0
2011,Russell Wilson,Wisconsin,2012,,,5,pass,-0.7040776014328003,False,64.0
2011,Russell Wilson,Wisconsin,2012,,,14,pass,0.8065561056137085,False,78.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-2.157595634460449,False,30.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.7220165729522705,False,30.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-1.566498041152954,False,9.0
2011,Russell Wilson,Wisconsin,2012,,,22,pass,1.2195663452148438,False,37.0
2011,Russell Wilson,Wisconsin,2012,,,21,pass,0.7337436676025391,False,58.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-1.5664997100830078,False,5.0
2011,Russell Wilson,Wisconsin,2012,,,9,pass,0.6400318145751953,False,19.0
2011,Russell Wilson,Wisconsin,2012,,,18,pass,0.8235645294189453,False,37.0
2011,Russell Wilson,Wisconsin,2012,,,9,pass,0.7724165916442871,False,46.0
2011,Russell Wilson,Wisconsin,2012,,,12,pass,1.6497973203659058,False,58.0
2011,Russell Wilson,Wisconsin,2012,,,6,pass,1.7426624298095703,False,10.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.6942348480224609,False,31.0
2011,Russell Wilson,Wisconsin,2012,,,16,pass,2.2714452743530273,False,79.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-1.0664371252059937,False,79.0
2011,Russell Wilson,Wisconsin,2012,,,46,pass,5.672346115112305,True,46.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.13019979000091553,False,46.0
2011,Russell Wilson,Wisconsin,2012,,,9,pass,0.44835007190704346,False,55.0
2011,Russell Wilson,Wisconsin,2012,,,8,pass,0.13729643821716309,False,63.0
2011,Russell Wilson,Wisconsin,2012,,,36,pass,4.939097881317139,True,36.0
2011,Russell Wilson,Wisconsin,2012,,,6,pass,0.8560441732406616,False,49.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.9260501861572266,False,49.0
2011,Russell Wilson,Wisconsin,2012,,,5,pass,0.13009953498840332,False,54.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-1.4686450958251953,False,71.0
2011,Russell Wilson,Wisconsin,2012,,,4,pass,-0.33926522731781006,False,75.0
2011,Russell Wilson,Wisconsin,2012,,,28,pass,2.7825050354003906,False,32.0
2011,Russell Wilson,Wisconsin,2012,,,14,pass,1.5442447662353516,False,36.0
2011,Russell Wilson,Wisconsin,2012,,,38,pass,2.804103374481201,False,77.0
2011,Russell Wilson,Wisconsin,2012,,,18,pass,1.846616506576538,False,89.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-2.3606691360473633,False,51.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.9421583414077759,False,51.0
2011,Russell Wilson,Wisconsin,2012,,,21,pass,2.923391342163086,False,74.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-1.4738044738769531,False,60.0
2011,Russell Wilson,Wisconsin,2012,,,11,pass,0.5132715702056885,False,77.0
2011,Russell Wilson,Wisconsin,2012,,,9,pass,0.6223978996276855,False,89.0
2011,Russell Wilson,Wisconsin,2012,,,4,pass,-1.0795440673828125,False,68.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.8223612308502197,False,68.0
2011,Russell Wilson,Wisconsin,2012,,,3,pass,3.1385624408721924,True,3.0
2011,Russell Wilson,Wisconsin,2012,,,5,pass,-0.4787428379058838,False,8.0
2011,Russell Wilson,Wisconsin,2012,,,6,pass,0.17629551887512207,False,39.0
2011,Russell Wilson,Wisconsin,2012,,,39,pass,1.667130708694458,False,80.0
2011,Russell Wilson,Wisconsin,2012,,,7,pass,-0.17344975471496582,False,64.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.5444185733795166,False,64.0
2011,Russell Wilson,Wisconsin,2012,,,11,pass,0.5887351036071777,False,26.0
2011,Russell Wilson,Wisconsin,2012,,,46,pass,3.381887435913086,False,51.0
2011,Russell Wilson,Wisconsin,2012,,,19,pass,2.8619019985198975,False,69.0
2011,Russell Wilson,Wisconsin,2012,,,6,pass,-0.02649955078959465,False,75.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-1.8189325332641602,False,61.0
2011,Russell Wilson,Wisconsin,2012,,,2,pass,0.8386201858520508,True,2.0
2011,Russell Wilson,Wisconsin,2012,,,13,pass,1.6802024841308594,False,15.0
2011,Russell Wilson,Wisconsin,2012,,,42,pass,3.096827268600464,False,57.0
2011,Russell Wilson,Wisconsin,2012,,,15,pass,1.3680331707000732,False,62.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-1.0952717065811157,False,77.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.8355611562728882,False,77.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.6039226055145264,False,39.0
2011,Russell Wilson,Wisconsin,2012,,,20,pass,1.4352219104766846,False,59.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-1.2641894817352295,False,16.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.9539926052093506,False,19.0
2011,Russell Wilson,Wisconsin,2012,,,22,pass,1.7042877674102783,False,41.0
2011,Russell Wilson,Wisconsin,2012,,,12,pass,1.5189801454544067,False,53.0
2011,Russell Wilson,Wisconsin,2012,,,21,pass,1.317276120185852,False,74.0
2011,Russell Wilson,Wisconsin,2012,,,12,pass,-0.11038590967655182,False,76.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.6795520782470703,False,69.0
2011,Russell Wilson,Wisconsin,2012,,,7,pass,1.6712089776992798,False,50.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.5155386924743652,True,98.0
2011,Russell Wilson,Wisconsin,2012,,,18,pass,1.307370662689209,False,27.0
2011,Russell Wilson,Wisconsin,2012,,,9,pass,2.3224148750305176,True,9.0
2011,Russell Wilson,Wisconsin,2012,,,16,pass,0.9122118949890137,False,31.0
2011,Russell Wilson,Wisconsin,2012,,,14,pass,1.4778778553009033,False,52.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.49974435567855835,False,45.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.25067973136901855,False,60.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.0771389901638031,False,60.0
2011,Russell Wilson,Wisconsin,2012,,,49,pass,5.284250736236572,True,49.0
2011,Russell Wilson,Wisconsin,2012,,,8,pass,0.30478739738464355,False,64.0
2011,Russell Wilson,Wisconsin,2012,,,4,pass,-0.1080697774887085,False,68.0
2011,Russell Wilson,Wisconsin,2012,,,17,pass,2.262259006500244,True,17.0
2011,Russell Wilson,Wisconsin,2012,,,9,pass,0.4253573417663574,False,66.0
2011,Russell Wilson,Wisconsin,2012,,,14,pass,1.437916874885559,False,60.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,-0.7806010246276855,False,94.0
2011,Russell Wilson,Wisconsin,2012,,,0,pass,0.7806010246276855,False,79.0
2011,Russell Wilson,Wisconsin,2012,,,15,pass,0.945785641670227,False,96.0
