season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2009,Ryan Nassib,Syracuse,2013,,,12,pass,0.8486851453781128,False,53.0
2009,Ryan Nassib,Syracuse,2013,,,-4,pass,1.1538267135620117,False,75.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.8398036956787109,False,39.0
2009,Ryan Nassib,Syracuse,2013,,,19,pass,2.440553665161133,False,62.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.5982988476753235,False,66.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.4000322818756104,False,62.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-2.799121856689453,False,64.0
2009,Ryan Nassib,Syracuse,2013,,,24,pass,3.6870059967041016,True,24.0
2009,Ryan Nassib,Syracuse,2013,,,6,pass,0.2269735336303711,False,58.0
2009,Ryan Nassib,Syracuse,2013,,,11,pass,1.0967683792114258,False,52.0
2009,Ryan Nassib,Syracuse,2013,,,6,pass,0.3629753589630127,False,41.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.9790817499160767,False,35.0
2009,Ryan Nassib,Syracuse,2013,,,23,pass,1.8561525344848633,False,71.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.0504150390625,False,47.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.6296641826629639,False,47.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.1078011989593506,False,79.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.7257423400878906,False,79.0
2009,Ryan Nassib,Syracuse,2013,,,50,pass,5.782444953918457,True,50.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.7981055378913879,False,67.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.2111082077026367,False,67.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.734583854675293,False,47.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,0.2660464346408844,False,47.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.1749920845031738,False,8.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.6946338415145874,False,25.0
2009,Ryan Nassib,Syracuse,2013,,,14,pass,0.28080809116363525,False,82.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.06409227848052979,False,82.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.6284099817276001,False,72.0
2009,Ryan Nassib,Syracuse,2013,,,7,pass,0.07285305112600327,False,79.0
2009,Ryan Nassib,Syracuse,2013,,,9,pass,0.9207079410552979,False,88.0
2009,Ryan Nassib,Syracuse,2013,,,10,pass,0.7116082906723022,False,98.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.7608861923217773,False,90.0
2009,Ryan Nassib,Syracuse,2013,,,7,pass,2.1246588230133057,False,25.0
2009,Ryan Nassib,Syracuse,2013,,,30,pass,2.1837117671966553,False,39.0
2009,Ryan Nassib,Syracuse,2013,,,17,pass,1.3870235681533813,False,58.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.7363407611846924,False,44.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.8658633232116699,False,44.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.2005157470703125,False,36.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.2558259963989258,False,1.0
2009,Ryan Nassib,Syracuse,2013,,,5,pass,-0.15825700759887695,False,8.0
2009,Ryan Nassib,Syracuse,2013,,,2,pass,-0.3309791088104248,False,33.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.1982608437538147,False,46.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.19562220573425293,False,46.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-2.5358214378356934,False,59.0
2009,Ryan Nassib,Syracuse,2013,,,9,pass,0.31273791193962097,False,68.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.3309852182865143,False,68.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.43032586574554443,False,68.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-3.406221628189087,False,24.0
2009,Ryan Nassib,Syracuse,2013,,,4,pass,-0.33494842052459717,False,23.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,1.683897614479065,False,70.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.8755918741226196,False,70.0
2009,Ryan Nassib,Syracuse,2013,,,1,pass,-0.959219217300415,False,12.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.9769231081008911,False,68.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.8380870223045349,False,77.0
2009,Ryan Nassib,Syracuse,2013,,,6,pass,0.500213623046875,False,64.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.2744543552398682,False,82.0
2009,Ryan Nassib,Syracuse,2013,,,15,pass,3.083871364593506,False,97.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.2460681200027466,False,83.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.8157463073730469,False,17.0
2009,Ryan Nassib,Syracuse,2013,,,14,pass,1.191643476486206,False,51.0
2009,Ryan Nassib,Syracuse,2013,,,27,pass,1.8682246208190918,False,30.0
2009,Ryan Nassib,Syracuse,2013,,,21,pass,3.123894453048706,False,37.0
2009,Ryan Nassib,Syracuse,2013,,,7,pass,0.6463702917098999,False,70.0
2009,Ryan Nassib,Syracuse,2013,,,11,pass,0.048082560300827026,False,85.0
2009,Ryan Nassib,Syracuse,2013,,,8,pass,1.5316985845565796,False,78.0
2009,Ryan Nassib,Syracuse,2013,,,12,pass,1.0723958015441895,False,83.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.123935580253601,False,30.0
2009,Ryan Nassib,Syracuse,2013,,,20,pass,2.100573778152466,False,23.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-0.5045530796051025,False,57.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-2.190746307373047,False,53.0
2009,Ryan Nassib,Syracuse,2013,,,4,pass,0.9256830215454102,True,4.0
2009,Ryan Nassib,Syracuse,2013,,,9,pass,1.3927890062332153,False,68.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-1.0299822092056274,False,75.0
2009,Ryan Nassib,Syracuse,2013,,,0,pass,-2.0579261779785156,False,75.0
2010,Ryan Nassib,Syracuse,2013,,,3,pass,-0.7882487177848816,False,62.0
2010,Ryan Nassib,Syracuse,2013,,,8,pass,1.496121883392334,False,44.0
2010,Ryan Nassib,Syracuse,2013,,,33,pass,2.073460102081299,False,36.0
2010,Ryan Nassib,Syracuse,2013,,,5,pass,-0.9552308917045593,False,70.0
2010,Ryan Nassib,Syracuse,2013,,,3,pass,-0.4010730981826782,False,79.0
2010,Ryan Nassib,Syracuse,2013,,,6,pass,-0.12602055072784424,False,76.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-1.757236361503601,False,70.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.5840573310852051,False,22.0
2010,Ryan Nassib,Syracuse,2013,,,26,pass,5.049537658691406,True,26.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.6449449062347412,False,62.0
2010,Ryan Nassib,Syracuse,2013,,,20,pass,1.211253046989441,False,62.0
2010,Ryan Nassib,Syracuse,2013,,,8,pass,0.9680674076080322,False,42.0
2010,Ryan Nassib,Syracuse,2013,,,7,pass,1.2214837074279785,False,67.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.6274725198745728,False,56.0
2010,Ryan Nassib,Syracuse,2013,,,8,pass,0.7444837093353271,False,83.0
2010,Ryan Nassib,Syracuse,2013,,,5,pass,-3.566042423248291,False,60.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-2.3341169357299805,False,20.0
2010,Ryan Nassib,Syracuse,2013,,,45,pass,2.126115560531616,False,70.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-1.6370744705200195,False,55.0
2010,Ryan Nassib,Syracuse,2013,,,23,pass,3.1432628631591797,True,23.0
2010,Ryan Nassib,Syracuse,2013,,,11,pass,1.0014171600341797,False,49.0
2010,Ryan Nassib,Syracuse,2013,,,10,pass,1.9034276008605957,False,65.0
2010,Ryan Nassib,Syracuse,2013,,,5,pass,0.24115490913391113,False,38.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-4.0255842208862305,False,23.0
2010,Ryan Nassib,Syracuse,2013,,,5,pass,0.9044387340545654,False,62.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.6776567697525024,False,67.0
2010,Ryan Nassib,Syracuse,2013,,,7,pass,0.5050589442253113,False,67.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-1.2212741374969482,False,60.0
2010,Ryan Nassib,Syracuse,2013,,,19,pass,4.374610424041748,True,19.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.6309130191802979,False,61.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.635577917098999,False,14.0
2010,Ryan Nassib,Syracuse,2013,,,16,pass,1.2134579420089722,False,67.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.6245113015174866,False,61.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.9978739619255066,False,49.0
2010,Ryan Nassib,Syracuse,2013,,,9,pass,2.495065689086914,False,49.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.7033936977386475,False,23.0
2010,Ryan Nassib,Syracuse,2013,,,8,pass,1.0067458152770996,False,23.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-1.4945175647735596,False,15.0
2010,Ryan Nassib,Syracuse,2013,,,3,pass,-0.4027215242385864,False,45.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-1.9669426679611206,False,42.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-1.348899483680725,False,52.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.6228744983673096,False,64.0
2010,Ryan Nassib,Syracuse,2013,,,14,pass,1.702304720878601,False,69.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.8961442708969116,False,49.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-1.9099787473678589,False,49.0
2010,Ryan Nassib,Syracuse,2013,,,13,pass,0.821441650390625,False,84.0
2010,Ryan Nassib,Syracuse,2013,,,2,pass,0.29451608657836914,False,64.0
2010,Ryan Nassib,Syracuse,2013,,,32,pass,2.13197922706604,False,62.0
2010,Ryan Nassib,Syracuse,2013,,,4,pass,0.45069289207458496,False,30.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.4364473819732666,False,26.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.3991164565086365,False,67.0
2010,Ryan Nassib,Syracuse,2013,,,37,pass,3.3781051635742188,False,65.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-2.7180519104003906,False,63.0
2010,Ryan Nassib,Syracuse,2013,,,15,pass,1.227027177810669,False,46.0
2010,Ryan Nassib,Syracuse,2013,,,8,pass,0.43829989433288574,False,34.0
2010,Ryan Nassib,Syracuse,2013,,,6,pass,1.2698252201080322,False,26.0
2010,Ryan Nassib,Syracuse,2013,,,4,pass,-0.16289269924163818,False,53.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-2.0127146244049072,False,49.0
2010,Ryan Nassib,Syracuse,2013,,,12,pass,-0.1834557056427002,False,70.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.8343441486358643,False,61.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-1.0123672485351562,False,61.0
2010,Ryan Nassib,Syracuse,2013,,,21,pass,1.8869624137878418,True,21.0
2010,Ryan Nassib,Syracuse,2013,,,20,pass,1.7367191314697266,True,20.0
2010,Ryan Nassib,Syracuse,2013,,,14,pass,0.06951355934143066,False,66.0
2010,Ryan Nassib,Syracuse,2013,,,18,pass,0.9027566909790039,False,52.0
2010,Ryan Nassib,Syracuse,2013,,,20,pass,2.0361576080322266,True,20.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.6416685581207275,False,46.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.9407371282577515,False,46.0
2010,Ryan Nassib,Syracuse,2013,,,15,pass,2.38389253616333,False,46.0
2010,Ryan Nassib,Syracuse,2013,,,25,pass,1.684540033340454,False,87.0
2010,Ryan Nassib,Syracuse,2013,,,20,pass,3.181394577026367,False,83.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.9724568128585815,False,59.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-2.251542568206787,False,59.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,-0.6397916674613953,False,78.0
2010,Ryan Nassib,Syracuse,2013,,,0,pass,0.09054285287857056,False,83.0
2010,Ryan Nassib,Syracuse,2013,,,4,pass,4.090175628662109,True,4.0
2010,Ryan Nassib,Syracuse,2013,,,10,pass,3.1411094665527344,False,18.0
2010,Ryan Nassib,Syracuse,2013,,,25,pass,2.021451950073242,False,27.0
2010,Ryan Nassib,Syracuse,2013,,,12,pass,1.506032943725586,False,56.0
2010,Ryan Nassib,Syracuse,2013,,,5,pass,0.13500523567199707,False,33.0
