season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Sam Leavitt,Arizona State,2,6,8,0.196824219741146,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,17,0.5948511093060665,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.7982008475508557,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,2,4,1.3499215033816272,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,10,7,0.3100851861812687,1,1,1,0,0
2024,Sam Leavitt,Arizona State,3,6,28,1.9248059088323064,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.9391692565688832,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,5,0.1104175997643273,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,5,14,1.359545606096759,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,12,0.1513434065710495,1,1,1,0,0
2024,Sam Leavitt,Arizona State,3,5,0,-0.319532032317183,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,1,18,1.1392129236527406,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,21,0.944952994888471,1,1,1,0,0
2024,Sam Leavitt,Arizona State,3,19,0,-0.9776779757650989,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,7,20,2.320328370970337,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,9,0,-1.02281513636375,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,9,0,-0.9270145354473147,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,11,0.6348252048032138,1,1,1,0,0
2024,Sam Leavitt,Arizona State,3,9,0,-1.0318938709800367,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,5,0.1088137823196469,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,5,1,-0.873397455014211,0,1,1,0,0
2024,Sam Leavitt,Arizona State,3,4,0,-0.7186703560809607,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,9,7,0.600806625459576,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,10,2,-0.2284411734150149,0,1,1,0,0
2024,Sam Leavitt,Arizona State,3,8,0,-0.22421028645399854,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,10,0,-0.34710487712173865,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,10,0,-0.15871308844886392,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,4,2,-0.4351370409361853,0,1,1,0,0
2024,Sam Leavitt,Arizona State,2,10,6,0.2125044425736177,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.6351269961541294,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,10,4,-0.08946312699115921,0,1,1,0,0
2024,Sam Leavitt,Arizona State,3,6,8,2.1262189010416037,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,14,1.1129466095804723,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,3,0,-0.918188329258518,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,10,0,-0.8862898506969809,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,7,23,3.170623710240112,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.6630222646782312,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,10,0,-1.0236879046157308,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,4,0,-0.5709321721935543,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,-2,-0.6979456564143147,0,1,1,0,0
2024,Sam Leavitt,Arizona State,2,12,3,-0.0809748643403765,0,1,1,0,0
2024,Sam Leavitt,Arizona State,3,9,0,-0.13875783656262275,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,8,0.773497584431148,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,11,0.3106937327477385,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,11,7,0.26851951304061,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,10,10,0.754160295881597,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.374805786232315,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,8,17,2.266271202229829,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,11,-2,-0.5257154338363464,0,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,2,-0.45260367932203766,0,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-1.0146424556055624,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,10,0,-0.6004605992346148,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-1.1143038065675126,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,10,8,0.6926831446101182,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,71,4.010935221117464,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,8,0,-0.357171386033373,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-1.15714755134967,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,15,0,-0.47339677024891724,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,15,10,0.5499904723095295,1,1,1,0,0
2024,Sam Leavitt,Arizona State,3,4,3,-0.1762351985228123,0,1,1,0,0
2024,Sam Leavitt,Arizona State,2,4,0,-0.490743117184343,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,13,1.2441591314559408,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,8,0.9228976525664996,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.9690270974076257,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.6082596672078662,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,11,0,-1.0445121505311779,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,21,0.3729802314660625,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.2977696357406735,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,7,9,1.5471221019734267,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.6351269961541294,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,10,3,-0.2795197475233876,0,1,1,0,0
2024,Sam Leavitt,Arizona State,3,7,0,-0.9483272737564585,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,10,0,-0.5135431143257803,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,7,0.6972022034641013,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,7,-9,-2.6139606158218314,0,1,1,0,0
2024,Sam Leavitt,Arizona State,2,7,0,-0.5594317282120231,0,1,1,0,0
2024,Sam Leavitt,Arizona State,2,10,0,-0.34710487712173865,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,10,6,0.07764099545890613,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,7,0,-1.0786402011262728,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,7,1,-0.5961038431520684,0,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,21,0,0.3702289770747189,1,1,0,1,0
2024,Sam Leavitt,Arizona State,2,9,3,-0.11357861933002145,0,1,1,0,0
2024,Sam Leavitt,Arizona State,3,6,5,0.03325153104366585,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,14,0.710127467764442,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-1.0742999147475647,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,12,3,-0.1541643556293087,0,1,1,0,0
2024,Sam Leavitt,Arizona State,3,9,0,-0.6084390903361393,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.4404078956667625,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,7,19,0.7298184563737204,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,27,2.0957839762985877,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,6,0.181437359303738,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,4,8,1.438740455140902,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,11,1.053994018130533,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-1.15714755134967,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,6,0,-0.6509048869110972,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,6,0,-0.3146897268978579,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,14,1.2227390832564555,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,66,4.142839272383712,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,10,0,-0.15871308844886392,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,8,0.9104368550610653,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,2,0,-1.1300243096866742,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,2,9,1.735639362307615,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-1.1496266880203319,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,10,15,2.358959812128793,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,10,0.4492953144288662,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,9,0,-0.8072572442422512,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,9,0,-1.0081489976866838,0,1,0,0,0
2024,Sam Leavitt,Arizona State,4,9,0,-1.798666424300265,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,7,6,0.157781011884646,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,7,0.393521863681004,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,19,1.212308753908252,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,13,1.2441591314559408,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,3,13,0.020867830530869,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,3,-0.103053233199689,0,1,1,0,0
2024,Sam Leavitt,Arizona State,1,3,0,-0.746972881228756,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,3,0,-0.413137785818898,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,13,1.115724941663963,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,4,-0.0558269791892986,0,1,1,0,0
2024,Sam Leavitt,Arizona State,2,6,28,2.927346404778261,1,1,1,0,1
2024,Sam Leavitt,Arizona State,3,5,0,-0.6617140534494768,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-1.1612466882658818,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,10,0,-0.8812901257339192,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,10,0,-0.5203815921674826,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.4181180581276075,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,10,6,0.146328969893727,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,3,13,0.719478670005743,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,5,0,-0.9147012934951732,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,5,0,-0.4881067539127617,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,20,2.617927729031699,1,1,1,0,1
2024,Sam Leavitt,Arizona State,1,10,6,0.3957205453341055,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,3,-0.247403115532039,0,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,17,1.182020588731177,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.7828922522763084,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,18,18,2.414001634255543,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,1,-0.549055779913328,0,1,1,0,0
2024,Sam Leavitt,Arizona State,3,5,31,3.6712287744700554,1,1,1,0,1
2024,Sam Leavitt,Arizona State,1,3,3,1.464451732731337,1,1,1,0,1
2024,Sam Leavitt,Arizona State,3,7,0,-0.09776782675679652,0,1,0,1,0
2024,Sam Leavitt,Arizona State,2,11,9,0.8085722236531668,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.5327945515514214,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,5,27,3.17232344179455,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,4,0,-1.1134606721203877,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,26,2.7200021224081805,1,1,1,0,1
2024,Sam Leavitt,Arizona State,1,10,14,1.2939295002267368,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,10,7,0.3353623471487488,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.5824837756999947,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,16,0.771256071193482,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,2,0,-0.6013143962559822,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,9,0,-0.7796739034661835,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,9,4,-0.08286092034033123,0,1,1,0,0
2024,Sam Leavitt,Arizona State,1,15,22,2.2574698859316538,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-1.1496266880203319,0,1,1,0,0
2024,Sam Leavitt,Arizona State,2,10,8,0.8156206457079236,1,1,1,0,0
2024,Sam Leavitt,Arizona State,3,6,21,3.001536699449942,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,8,0,-0.4788075161366292,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,8,12,2.1541502787151225,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,-2,-1.4648790767761521,0,1,1,0,0
2024,Sam Leavitt,Arizona State,2,12,11,1.4078197973728335,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,9,22,2.98536033546784,1,1,1,0,1
2024,Sam Leavitt,Arizona State,2,6,29,2.8971082730880937,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.557844891990525,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,9,0,-0.9572259353368207,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,25,0,-0.3054180774493007,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,9,0,-0.873448258672486,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,3,9,1.8078969110380454,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,14,11,0.6272066109834107,1,1,1,0,0
2024,Sam Leavitt,Arizona State,3,8,30,3.656796227249134,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,9,11,0.928428161348625,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,6,6,0.5548574116453384,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,9,0.722464196040438,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,4,-0.08358568772589688,0,1,1,0,0
2024,Sam Leavitt,Arizona State,2,9,5,0.0622613241028525,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.5824837756999947,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-1.1077677360468863,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,10,24,1.2276753154457316,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,0,-0.8627910327708888,0,1,0,0,0
2024,Sam Leavitt,Arizona State,2,15,10,0.5324013005173942,1,1,1,0,0
2024,Sam Leavitt,Arizona State,3,5,8,2.039252259561631,1,1,1,0,0
2024,Sam Leavitt,Arizona State,2,5,5,0.742626753024162,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,36,3.010778095013796,1,1,1,0,1
2024,Sam Leavitt,Arizona State,1,10,14,0.318798431881971,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,4,-0.09341756947157,0,1,1,0,0
2024,Sam Leavitt,Arizona State,2,5,0,-1.1531340131432213,0,1,0,0,0
2024,Sam Leavitt,Arizona State,3,5,10,2.3542373380340234,1,1,1,0,0
2024,Sam Leavitt,Arizona State,4,4,0,-1.6395221539794456,0,1,0,0,0
2024,Sam Leavitt,Arizona State,4,4,0,-1.6395221539794456,0,1,0,0,0
2024,Sam Leavitt,Arizona State,1,10,20,1.7343102502653096,1,1,1,0,0
2024,Sam Leavitt,Arizona State,1,10,3,-0.3178831342797892,0,1,1,0,0
