season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Sam Vidlak,Stephen F. Austin,3,4,0,-0.43770162015070735,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,9,5,0.05274725954590843,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,1,-0.5874795431016855,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,4,-0.1142886249388964,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,3,6,3,-0.13790416266648542,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,3,3,33,3.5690357731872293,1,1,1,0,1
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-1.1430602484821704,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,3,7,9,2.3532853601401715,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,6,0.265204892676964,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,9,13,1.6978750092402493,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,8,0,-0.8373064649049704,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,3,6,1,-0.671899099767968,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,4,5,0,-2.74687684420312,0,1,0,1,0
2024,Sam Vidlak,Stephen F. Austin,4,1,0,-0.6884732258937802,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,4,7,5,-2.1372844818659473,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,3,7,0,-0.97130794211275,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,7,0,-0.7480013472592404,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,3,-0.2066800678483923,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,13,0.67647608035276,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,10,0.8521144562448965,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,18,1.612438422209995,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,10,3,-0.15222912011238687,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,3,7,0,-0.26587881160037785,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,31,1.472274428182333,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,3,0,-0.746972881228756,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,3,0,-0.413137785818898,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-0.36548578366266504,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,10,1,-0.13530115809943677,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,3,9,0,-0.08345250621301048,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,3,12,0,-0.7159052651159517,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,4,9,0,-2.563343763484596,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,3,9,0,-0.826953032810982,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-1.1077677360468863,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,3,6,0,-0.6714995032976647,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,8,0.773497584431148,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,2,14,0.1396202945692245,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-0.585616097616759,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,3,13,0,-0.0719585240326675,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,8,6,0.321360988422098,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,5,5,0.3379446383619964,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,2,0,-0.9674616238506859,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,6,12,1.6565122459429098,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,11,0.8003639620011836,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-0.908489395271188,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,3,14,0,-0.6682947694591715,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,8,10,1.7664676660434147,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,7,10,1.1272848434366554,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,7,0.40306460138266,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,3,0,-0.7184552981933003,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-0.402662020534962,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,33,2.903074773501988,1,1,1,0,1
2024,Sam Vidlak,Stephen F. Austin,1,10,4,-0.1037214304952529,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,6,-1,-0.6743849549622567,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,7,24,2.893776817108799,1,1,1,0,1
2024,Sam Vidlak,Stephen F. Austin,2,8,0,-0.8991648660998165,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,3,8,7,0.3963761743968001,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,19,0.8020065667429783,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,10,2,-0.2284411734150149,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,3,8,0,-0.22421028645399854,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,9,61,5.839746962951837,1,1,1,0,1
2024,Sam Vidlak,Stephen F. Austin,3,6,0,-0.785542461294044,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,4,6,0,-2.805740977292036,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,8,5,0.0833081949463069,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-3.905407351414812,0,1,0,1,0
2024,Sam Vidlak,Stephen F. Austin,1,10,26,2.304206411294418,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,3,-0.2957674139440157,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,7,8,1.2263299258900062,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,10,0.962295070090123,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,3,10,0.4869161907038891,1,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,6,20,2.7149011822123015,1,1,1,0,1
2024,Sam Vidlak,Stephen F. Austin,2,6,13,1.0101607454056367,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,3,10,4,-0.039744911981046016,0,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,40,1.8879183551995171,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,8,28,1.853925426710724,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-0.374805786232315,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,1,9,9,2.424237823646468,1,1,1,0,1
2024,Sam Vidlak,Stephen F. Austin,3,8,14,2.8660537926137666,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-0.6723571521309859,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,3,10,0,-0.1489064149822221,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,20,1.7754355620364848,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,20,1.35940468636551,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,10,10,1.0123185869244722,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,11,0.1618030328430975,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,10,15,2.879176749054402,1,1,1,0,1
2024,Sam Vidlak,Stephen F. Austin,1,10,9,0.8283073066348914,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,7,0,-0.532523806090083,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,10,6,0.1073141388607495,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,3,4,6,2.7205500389158495,1,1,1,0,1
2024,Sam Vidlak,Stephen F. Austin,3,2,2,0.631912888560259,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,42,3.2088921825021206,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,6,16,0.4517109383053325,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,2,9,8,0.301190373777738,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,4,3,7,3.0069377556792247,1,1,1,0,1
2024,Sam Vidlak,Stephen F. Austin,2,11,0,-0.4360756498182794,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,16,0.929737210317724,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,0,-0.6135902757979226,0,1,0,0,0
2024,Sam Vidlak,Stephen F. Austin,2,10,17,2.030559041674179,1,1,1,0,0
2024,Sam Vidlak,Stephen F. Austin,1,10,44,3.2358089496483733,1,1,1,0,0
