season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Sean Brown,Towson,3,7,0,-1.0117773993157453,0,1,0,0,0
2023,Sean Brown,Towson,2,6,0,-0.2627384516755562,0,1,0,0,0
2023,Sean Brown,Towson,3,6,0,-0.11214471953939054,0,1,0,0,0
2023,Sean Brown,Towson,3,2,0,-0.6013143962559822,0,1,0,0,0
2023,Sean Brown,Towson,2,9,7,0.3678920884760765,1,1,1,0,0
2023,Sean Brown,Towson,1,15,6,0.15393843514796224,1,1,1,0,0
2023,Sean Brown,Towson,1,10,8,0.960072550113445,1,1,1,0,0
2023,Sean Brown,Towson,2,2,17,0.568164061192913,1,1,1,0,0
2023,Sean Brown,Towson,1,10,0,-0.5824837756999947,0,1,0,0,0
2023,Sean Brown,Towson,2,10,0,-0.3089040454322213,0,1,0,0,0
2024,Sean Brown,Towson,1,10,23,1.7054919726669322,1,1,1,0,0
2024,Sean Brown,Towson,1,10,0,-0.7519361608312708,0,1,0,0,0
2024,Sean Brown,Towson,2,10,7,0.421100267371843,1,1,1,0,0
2024,Sean Brown,Towson,3,3,30,3.382244524936171,1,1,1,0,1
2024,Sean Brown,Towson,1,10,0,-0.5080208698531008,0,1,0,0,0
2024,Sean Brown,Towson,3,11,3,-0.12430329327763712,0,1,1,0,0
2024,Sean Brown,Towson,2,4,0,-1.0586513086053786,0,1,0,0,0
2024,Sean Brown,Towson,3,2,7,1.0532617374033455,1,1,1,0,0
2024,Sean Brown,Towson,2,5,1,-0.7583248087641401,0,1,1,0,0
2024,Sean Brown,Towson,1,10,28,1.885381178554713,1,1,1,0,0
2024,Sean Brown,Towson,1,10,6,0.2192055064438754,1,1,1,0,0
2024,Sean Brown,Towson,3,2,0,-0.7022921745369892,0,1,0,0,0
2024,Sean Brown,Towson,3,5,15,2.1500262338180365,1,1,1,0,0
2024,Sean Brown,Towson,2,7,0,-1.0810154131899805,0,1,0,0,0
2024,Sean Brown,Towson,3,7,0,-1.0117773993157453,0,1,0,0,0
2024,Sean Brown,Towson,2,12,0,-0.4786129666776749,0,1,0,0,0
2024,Sean Brown,Towson,3,7,0,-0.4781190701839168,0,1,0,0,0
2024,Sean Brown,Towson,1,10,35,1.8176939308628666,1,1,1,0,0
2024,Sean Brown,Towson,1,10,0,-0.402662020534962,0,1,0,0,0
2024,Sean Brown,Towson,2,10,4,-0.0557355464036586,0,1,1,0,0
2024,Sean Brown,Towson,3,6,4,-0.0622269592833824,0,1,1,0,0
2024,Sean Brown,Towson,4,2,12,1.955011995198365,1,1,1,0,0
2024,Sean Brown,Towson,2,1,0,-0.553645991706544,0,1,0,0,0
2024,Sean Brown,Towson,2,7,0,-1.110440053376724,0,1,0,0,0
2024,Sean Brown,Towson,3,7,0,-0.973852166950179,0,1,0,0,0
2024,Sean Brown,Towson,1,10,0,-0.5586693796725282,0,1,0,0,0
2024,Sean Brown,Towson,1,10,0,-0.8947814664467213,0,1,0,0,0
2024,Sean Brown,Towson,1,10,0,-1.1387859939569847,0,1,0,0,0
2024,Sean Brown,Towson,2,10,6,0.2959747330734342,1,1,1,0,0
2024,Sean Brown,Towson,3,11,3,-0.3795552292823013,0,1,1,0,0
2024,Sean Brown,Towson,1,15,0,-0.8568649798032162,0,1,0,0,0
2024,Sean Brown,Towson,2,3,4,0.0092594195029285,1,1,1,0,0
2024,Sean Brown,Towson,1,10,7,0.5005481645051048,1,1,1,0,0
2024,Sean Brown,Towson,3,4,9,2.0889412531719564,1,1,1,0,0
2024,Sean Brown,Towson,3,10,0,-0.7313779022528557,0,1,0,0,0
2024,Sean Brown,Towson,1,10,0,-0.374805786232315,0,1,0,0,0
2024,Sean Brown,Towson,2,11,25,1.989899370490935,1,1,1,0,0
2024,Sean Brown,Towson,1,10,4,-0.1108700500197327,0,1,1,0,0
2024,Sean Brown,Towson,2,9,0,-0.40831395320271024,0,1,0,0,0
2024,Sean Brown,Towson,3,9,13,2.2185325795608515,1,1,1,0,0
2024,Sean Brown,Towson,1,10,13,1.168782200184909,1,1,1,0,0
2024,Sean Brown,Towson,2,7,24,2.5094393653901133,1,1,1,0,0
2024,Sean Brown,Towson,3,5,0,-0.971347969088912,0,1,0,0,0
2024,Sean Brown,Towson,2,6,5,0.0866607914072527,1,1,1,0,0
2024,Sean Brown,Towson,2,1,19,1.2504492341974058,1,1,1,0,0
2024,Sean Brown,Towson,3,6,11,1.3467022273563387,1,1,1,0,0
2024,Sean Brown,Towson,1,10,12,2.5300945420359255,1,1,1,0,1
2024,Sean Brown,Towson,1,10,7,0.6714265021529684,1,1,1,0,0
2024,Sean Brown,Towson,3,6,10,1.1325741814057277,1,1,1,0,0
2024,Sean Brown,Towson,3,6,0,-0.3038593850582816,0,1,0,0,0
2024,Sean Brown,Towson,1,10,0,-0.374805786232315,0,1,0,0,0
2024,Sean Brown,Towson,1,10,19,1.4699632058610863,1,1,1,0,0
2024,Sean Brown,Towson,1,10,3,-0.4062307312880424,0,1,1,0,0
2024,Sean Brown,Towson,2,7,4,-0.1445590090813748,0,1,1,0,0
2024,Sean Brown,Towson,2,6,6,0.9493267339688831,1,1,1,0,0
2024,Sean Brown,Towson,3,3,14,-1.206493248939248,0,1,0,1,0
2024,Sean Brown,Towson,1,10,4,-0.1142886249388964,0,1,1,0,0
2024,Sean Brown,Towson,3,3,14,-1.206493248939248,0,1,0,1,0
2024,Sean Brown,Towson,2,7,0,-0.256478327050365,0,1,0,0,0
2024,Sean Brown,Towson,3,7,27,2.3624617103789376,1,1,1,0,0
2024,Sean Brown,Towson,1,10,0,-1.0507069190375147,0,1,0,0,0
2024,Sean Brown,Towson,1,20,27,1.929120674543599,1,1,1,0,0
2024,Sean Brown,Towson,1,10,16,2.5687227212923744,1,1,1,0,1
2024,Sean Brown,Towson,2,3,0,-1.2969331832924542,0,1,0,0,0
2024,Sean Brown,Towson,3,3,2,-0.6033265259344365,0,1,1,0,0
2024,Sean Brown,Towson,1,10,12,0.9888026124442585,1,1,1,0,0
2024,Sean Brown,Towson,1,10,0,-0.997770018980635,0,1,0,0,0
2024,Sean Brown,Towson,3,8,4,-0.1652550468319696,0,1,1,0,0
2024,Sean Brown,Towson,1,10,9,1.252308359788624,1,1,1,0,0
2024,Sean Brown,Towson,3,2,1,-0.5040928634877408,0,1,1,0,0
