season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Seth Morgan,New Hampshire,1,10,-6,-1.1098077151473014,0,1,1,0,0
2024,Seth Morgan,New Hampshire,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Seth Morgan,New Hampshire,2,10,8,0.4833825674180429,1,1,1,0,0
2024,Seth Morgan,New Hampshire,3,2,9,1.735639362307615,1,1,1,0,0
2024,Seth Morgan,New Hampshire,2,8,0,-0.9833047280384468,0,1,0,0,0
2024,Seth Morgan,New Hampshire,3,8,0,-0.6058033544202903,0,1,0,0,0
2024,Seth Morgan,New Hampshire,3,4,37,-0.15882000259221662,0,1,0,1,0
2024,Seth Morgan,New Hampshire,3,12,-5,-0.1629096021121166,0,1,1,0,0
2024,Seth Morgan,New Hampshire,2,12,0,-0.2489092113983693,0,1,0,0,0
2024,Seth Morgan,New Hampshire,1,10,0,-0.34929852451643395,0,1,0,0,0
2024,Seth Morgan,New Hampshire,1,15,22,2.2574698859316538,1,1,1,0,0
2024,Seth Morgan,New Hampshire,2,7,10,1.517726574358301,1,1,1,0,0
2024,Seth Morgan,New Hampshire,3,7,3,-0.2370066786138272,0,1,1,0,0
2024,Seth Morgan,New Hampshire,2,9,7,0.5198590990027032,1,1,1,0,0
2024,Seth Morgan,New Hampshire,3,2,0,-0.9127398951290244,0,1,0,0,0
2024,Seth Morgan,New Hampshire,2,16,0,-0.1252856325382581,0,1,1,0,0
2024,Seth Morgan,New Hampshire,3,16,0,-0.05507996837621664,0,1,0,0,0
2024,Seth Morgan,New Hampshire,1,20,4,-0.02762880726407779,0,1,1,0,0
2024,Seth Morgan,New Hampshire,2,8,4,-0.155433646869616,0,1,1,0,0
2024,Seth Morgan,New Hampshire,3,4,0,-0.8775745478085017,0,1,0,0,0
2024,Seth Morgan,New Hampshire,3,4,0,-0.461315207033957,0,1,0,0,0
2024,Seth Morgan,New Hampshire,1,10,0,-0.5586693796725282,0,1,1,0,0
2024,Seth Morgan,New Hampshire,2,10,8,0.3899518655027565,1,1,1,0,0
2024,Seth Morgan,New Hampshire,3,2,0,-0.4742502762282106,0,1,0,0,0
2024,Seth Morgan,New Hampshire,2,8,9,-0.42063244795281385,0,1,0,1,0
2024,Seth Morgan,New Hampshire,3,14,0,-0.12764675128435599,0,1,0,0,0
2024,Seth Morgan,New Hampshire,3,13,0,-0.43748407290319585,0,1,0,0,0
2024,Seth Morgan,New Hampshire,1,10,28,2.2585693452352924,1,1,1,0,0
2024,Seth Morgan,New Hampshire,1,10,15,1.087564093379024,1,1,1,0,0
2024,Seth Morgan,New Hampshire,1,10,10,0.37480601101457,1,1,1,0,0
2024,Seth Morgan,New Hampshire,1,10,8,0.5852628122326671,1,1,1,0,0
2024,Seth Morgan,New Hampshire,3,12,4,-0.00688350700874451,0,1,1,0,0
