season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Shedeur Sanders,Colorado,1,10.0,7,0.6338612725745634,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,3.0,21,1.8223400765803053,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,8.0,0,-1.0744871250513215,0,1,0,0,0
2023,Shedeur Sanders,Colorado,3,8.0,8,2.1265401388124303,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,5.0,3,-0.224220391946121,0,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,9,0.6367847307431815,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,1.0,0,-0.5931402802291035,0,1,0,0,0
2023,Shedeur Sanders,Colorado,1,6.0,4,-0.015446754256946,0,1,1,0,0
2023,Shedeur Sanders,Colorado,3,4.0,4,2.6959729214765815,1,1,1,0,1
2023,Shedeur Sanders,Colorado,4,2.0,8,2.3500795255962394,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,7.0,4,-0.0795324514809737,0,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,11,0.7787667904900532,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,8.0,5,0.0735339479044042,1,1,1,0,0
2023,Shedeur Sanders,Colorado,3,3.0,12,2.258424059930709,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,0,-1.1143038065675126,0,1,0,0,0
2023,Shedeur Sanders,Colorado,2,8.0,32,1.657855235814097,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,2,-0.583582209593514,0,1,1,0,0
2023,Shedeur Sanders,Colorado,3,2.0,9,1.8536947317407384,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,8.0,6,0.3242953730701554,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,2,-0.6439997383019928,0,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,3,-0.2957674139440157,0,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2023,Shedeur Sanders,Colorado,2,10.0,0,-1.060943078602227,0,1,0,0,0
2023,Shedeur Sanders,Colorado,3,10.0,11,2.480962997513002,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,9,1.252308359788624,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,1.0,7,0.1664344101342703,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,14.0,20,3.1393974613431554,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,0,-0.9391692565688832,0,1,0,0,0
2023,Shedeur Sanders,Colorado,1,10.0,17,1.516051907682006,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,10.0,75,6.780725141764973,1,1,1,0,1
2023,Shedeur Sanders,Colorado,1,10.0,11,0.9305625119459905,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,6.0,0,-0.9945585445183011,0,1,0,0,0
2023,Shedeur Sanders,Colorado,2,8.0,12,1.461075060728627,1,1,1,0,0
2023,Shedeur Sanders,Colorado,3,17.0,1,-0.538084207311198,0,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,4,-0.030123301046684148,0,1,1,0,0
2023,Shedeur Sanders,Colorado,3,6.0,0,-0.10338597552261672,0,1,0,0,0
2023,Shedeur Sanders,Colorado,1,10.0,7,0.3040362457915165,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,44,2.013420036860234,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,4.0,11,1.1826771066294377,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,6,0.3333748010525683,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,15.0,13,1.651854833310713,1,1,1,0,0
2023,Shedeur Sanders,Colorado,3,16.0,43,4.218255818821693,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,9.0,11,0.9714149165306125,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,26,2.7200021224081805,1,1,1,0,1
2023,Shedeur Sanders,Colorado,2,9.0,12,1.307755005482944,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,10.0,8,0.8386868945735555,1,1,1,0,0
2023,Shedeur Sanders,Colorado,3,2.0,0,-1.1533970527627664,0,1,0,0,0
2023,Shedeur Sanders,Colorado,4,2.0,46,5.658616666518014,1,1,1,0,1
2023,Shedeur Sanders,Colorado,3,5.0,0,-1.0514080750440902,0,1,0,0,0
2023,Shedeur Sanders,Colorado,2,5.0,0,-0.8978390125055055,0,1,0,0,0
2023,Shedeur Sanders,Colorado,3,10.0,11,2.895658535936837,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,24.0,14,0.9682072237619579,1,1,1,0,0
2023,Shedeur Sanders,Colorado,3,6.0,9,2.35963876761294,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,4,-0.1595952673507188,0,1,1,0,0
2023,Shedeur Sanders,Colorado,3,14.0,0,-0.9623854039710311,0,1,0,0,0
2023,Shedeur Sanders,Colorado,1,10.0,5,0.1057711896973057,1,1,1,0,0
2023,Shedeur Sanders,Colorado,3,2.0,-3,-1.7546319269824442,0,1,1,0,0
2023,Shedeur Sanders,Colorado,2,13.0,10,1.1447936330856194,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,0,-0.6918622905019662,0,1,0,0,0
2023,Shedeur Sanders,Colorado,3,9.0,0,-0.21404973600507393,0,1,0,0,0
2023,Shedeur Sanders,Colorado,1,10.0,6,0.184964409309442,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,4.0,0,-0.418886382771472,0,1,0,0,0
2023,Shedeur Sanders,Colorado,3,4.0,0,-0.427305807832212,0,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,30,2.814243132922771,1,1,1,0,1
2023,Shedeur Sanders,Colorado,2,8.0,22,2.5657369987123246,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,12,0.399157713540065,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,10,0.161377738607072,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,4,-0.0217352641607655,0,1,1,0,0
2023,Shedeur Sanders,Colorado,2,19.0,4,-0.01475370652561826,0,1,1,0,0
2023,Shedeur Sanders,Colorado,3,15.0,40,4.104818450280692,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,6.0,5,0.089328147772644,1,1,1,0,0
2023,Shedeur Sanders,Colorado,3,1.0,-2,-1.3613603967973393,0,1,1,0,0
2023,Shedeur Sanders,Colorado,2,7.0,9,1.323011740087587,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,0,-1.065701080215459,0,1,0,0,0
2023,Shedeur Sanders,Colorado,2,10.0,0,-0.6622137678957802,0,1,0,0,0
2023,Shedeur Sanders,Colorado,3,10.0,41,4.130802875040529,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,8.0,8,0.3364241428053705,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,10.0,0,-0.3089040454322213,0,1,0,0,0
2023,Shedeur Sanders,Colorado,3,10.0,12,3.1367682232088203,1,1,1,0,1
2023,Shedeur Sanders,Colorado,1,10.0,7,0.7039091622223153,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,19,0.292503719554846,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,2.0,0,-0.854701227650125,0,1,0,0,0
2023,Shedeur Sanders,Colorado,2,10.0,12,2.1620600327235895,1,1,1,0,0
2023,Shedeur Sanders,Colorado,3,16.0,17,3.63225240421617,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,7,0.472919396686684,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,13,0.312697245095801,1,1,1,0,0
2023,Shedeur Sanders,Colorado,3,6.0,39,3.0654392025657433,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,20.0,16,0.968030386724905,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,9.0,3,-0.3978660918154872,0,1,1,0,0
2023,Shedeur Sanders,Colorado,3,11.0,0,-0.5675405489016372,0,1,0,1,0
2023,Shedeur Sanders,Colorado,1,10.0,0,-1.0146424556055624,0,1,1,0,0
2023,Shedeur Sanders,Colorado,2,7.0,-1,-0.6589683363680305,0,1,1,0,0
2023,Shedeur Sanders,Colorado,3,8.0,24,3.5254643336439155,1,1,1,0,1
2023,Shedeur Sanders,Colorado,1,10.0,3,-0.3446420231971743,0,1,1,0,0
2023,Shedeur Sanders,Colorado,3,6.0,11,2.315660655114014,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,0,-1.1612466882658818,0,1,0,0,0
2023,Shedeur Sanders,Colorado,3,3.0,0,-0.6547455687902088,0,1,0,0,0
2023,Shedeur Sanders,Colorado,2,10.0,7,0.38679889659614647,1,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,0,-0.8627910327708888,0,1,1,0,0
2023,Shedeur Sanders,Colorado,1,25.0,-1,-0.19678116799072495,0,1,1,0,0
2023,Shedeur Sanders,Colorado,2,26.0,3,-0.03097789160305544,0,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,0,-0.7029700220436519,0,1,1,0,0
2023,Shedeur Sanders,Colorado,3,20.0,5,0.00278878332453657,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,8.0,1,-0.3822936279564697,0,1,1,0,0
2023,Shedeur Sanders,Colorado,1,10.0,20,1.156281303012622,1,1,1,0,0
2023,Shedeur Sanders,Colorado,2,9.0,3,-0.24300537403600406,0,1,1,0,0
