season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Simon Romfo,North Dakota,1,10,7,0.303353772724696,1,1,1,0,0
2023,Simon Romfo,North Dakota,1,10,-5,-2.111527409982788,0,1,1,0,0
2023,Simon Romfo,North Dakota,1,10,10,0.674418249006209,1,1,1,0,0
2023,Simon Romfo,North Dakota,2,5,1,-0.2573952299466615,0,1,1,0,0
2024,Simon Romfo,North Dakota,3,15,0,-0.26858037492666664,0,1,0,0,0
2024,Simon Romfo,North Dakota,2,16,1,-0.3904927869606656,0,1,1,0,0
2024,Simon Romfo,North Dakota,3,7,7,2.200307503896525,1,1,1,0,0
2024,Simon Romfo,North Dakota,3,4,4,1.1671376953950858,1,1,1,0,0
2024,Simon Romfo,North Dakota,3,2,3,1.3266405336115135,1,1,1,0,0
2024,Simon Romfo,North Dakota,1,10,5,0.110039551743057,1,1,1,0,0
2024,Simon Romfo,North Dakota,3,7,8,2.440252677084197,1,1,1,0,0
2024,Simon Romfo,North Dakota,2,2,0,-1.035718805602564,0,1,0,0,0
2024,Simon Romfo,North Dakota,3,4,0,-0.3545247402513482,0,1,0,0,0
2024,Simon Romfo,North Dakota,3,5,5,0.5473816624974606,1,1,1,0,0
2024,Simon Romfo,North Dakota,2,10,5,0.0467815048235404,1,1,1,0,0
2024,Simon Romfo,North Dakota,1,10,0,-0.4522778946200265,0,1,0,0,0
2024,Simon Romfo,North Dakota,1,10,5,0.0836657996975912,1,1,1,0,0
2024,Simon Romfo,North Dakota,3,2,2,0.8240148309611028,1,1,1,0,0
2024,Simon Romfo,North Dakota,1,10,34,2.837235493824802,1,1,1,0,0
2024,Simon Romfo,North Dakota,1,10,0,-0.8772679222659558,0,1,0,0,0
2024,Simon Romfo,North Dakota,1,10,5,0.0945451165334843,1,1,1,0,0
2024,Simon Romfo,North Dakota,1,10,24,-3.5871176424899787,0,1,0,1,0
2024,Simon Romfo,North Dakota,1,10,9,1.1993956515648607,1,1,1,0,0
2024,Simon Romfo,North Dakota,2,1,10,0.4492582305852206,1,1,1,0,0
2024,Simon Romfo,North Dakota,2,10,0,-0.8208195606150266,0,1,0,0,0
2024,Simon Romfo,North Dakota,3,8,5,0.060613700983005,1,1,1,0,0
2024,Simon Romfo,North Dakota,4,3,18,2.8864860328378565,1,1,1,0,0
2024,Simon Romfo,North Dakota,1,10,0,-0.4710467974920665,0,1,0,0,0
2024,Simon Romfo,North Dakota,2,10,0,-0.6385710457423314,0,1,0,0,0
2024,Simon Romfo,North Dakota,3,10,0,-0.906791565871103,0,1,0,0,0
2024,Simon Romfo,North Dakota,1,10,-5,-0.6095307957773066,0,1,1,0,0
2024,Simon Romfo,North Dakota,2,15,0,-0.4669954217081731,0,1,0,0,0
2024,Simon Romfo,North Dakota,3,15,0,-0.7646964738027913,0,1,0,0,0
2024,Simon Romfo,North Dakota,3,6,0,-0.12784401208359508,0,1,0,0,0
2024,Simon Romfo,North Dakota,1,10,0,-0.34929852451643395,0,1,0,0,0
2024,Simon Romfo,North Dakota,2,10,0,-0.15260394363025487,0,1,0,0,0
2024,Simon Romfo,North Dakota,3,10,0,-0.06553619706167702,0,1,0,0,0
2024,Simon Romfo,North Dakota,4,5,0,-2.476975609423322,0,1,0,0,0
2024,Simon Romfo,North Dakota,1,10,13,1.2274698213930169,1,1,1,0,0
2024,Simon Romfo,North Dakota,1,10,17,0.798959108343659,1,1,1,0,0
2024,Simon Romfo,North Dakota,1,10,0,-0.557844891990525,0,1,0,0,0
2024,Simon Romfo,North Dakota,1,10,0,-1.1496266880203319,0,1,0,0,0
2024,Simon Romfo,North Dakota,3,12,0,-0.34784267291892235,0,1,0,0,0
2024,Simon Romfo,North Dakota,1,10,8,0.8604842386778613,1,1,1,0,0
2024,Simon Romfo,North Dakota,2,2,12,-3.9371170347849223,0,1,0,1,0
2024,Simon Romfo,North Dakota,3,4,6,0.8696249582235396,1,1,1,0,0
2024,Simon Romfo,North Dakota,1,10,10,0.8088489536861765,1,1,1,0,0
2024,Simon Romfo,North Dakota,3,10,0,-0.28370867933155,0,1,0,0,0
2024,Simon Romfo,North Dakota,2,1,0,-0.6856098366455365,0,1,0,0,0
2024,Simon Romfo,North Dakota,2,9,6,0.142761357449843,1,1,1,0,0
2024,Simon Romfo,North Dakota,2,10,14,1.1960469522545214,1,1,1,0,0
2024,Simon Romfo,North Dakota,2,3,0,-1.1742369915168689,0,1,0,0,0
2024,Simon Romfo,North Dakota,1,10,0,-1.1618692012952412,0,1,0,0,0
2024,Simon Romfo,North Dakota,1,10,0,-0.9391692565688832,0,1,1,0,0
2024,Simon Romfo,North Dakota,1,10,4,-0.0558269791892986,0,1,1,0,0
2024,Simon Romfo,North Dakota,2,7,7,0.294901081384982,1,1,1,0,0
2024,Simon Romfo,North Dakota,3,2,0,-0.6731048347927824,0,1,0,0,0
2024,Simon Romfo,North Dakota,3,10,12,2.5105362530290165,1,1,1,0,0
2024,Simon Romfo,North Dakota,3,11,0,-0.0805609825156175,0,1,0,0,0
