season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2017,Skylar Thompson,Kansas State,2022,,,11,pass,0.03565406799316406,False,31.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.9009476900100708,False,47.0
2017,Skylar Thompson,Kansas State,2022,,,4,pass,0.21626782417297363,False,32.0
2017,Skylar Thompson,Kansas State,2022,,,12,pass,1.6011260747909546,False,41.0
2017,Skylar Thompson,Kansas State,2022,,,4,pass,-0.24882173538208008,False,62.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-1.6096605062484741,False,51.0
2017,Skylar Thompson,Kansas State,2022,,,20,pass,0.9565384387969971,False,77.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.5260629653930664,False,57.0
2017,Skylar Thompson,Kansas State,2022,,,-10,pass,-1.9558820724487305,False,57.0
2017,Skylar Thompson,Kansas State,2022,,,54,pass,3.4155755043029785,False,80.0
2017,Skylar Thompson,Kansas State,2022,,,11,pass,0.6269571781158447,False,66.0
2017,Skylar Thompson,Kansas State,2022,,,13,pass,2.4692792892456055,False,38.0
2017,Skylar Thompson,Kansas State,2022,,,10,pass,0.9604148864746094,False,22.0
2017,Skylar Thompson,Kansas State,2022,,,-5,pass,-1.5719201564788818,False,8.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.8018279075622559,False,13.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.605658233165741,False,75.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.9914607405662537,False,75.0
2017,Skylar Thompson,Kansas State,2022,,,-1,pass,-1.493882179260254,False,75.0
2017,Skylar Thompson,Kansas State,2022,,,-2,pass,-1.2381892204284668,False,97.0
2017,Skylar Thompson,Kansas State,2022,,,5,pass,0.2393784523010254,False,24.0
2017,Skylar Thompson,Kansas State,2022,,,37,pass,-6.59293270111084,False,19.0
2017,Skylar Thompson,Kansas State,2022,,,-1,pass,-1.0005245208740234,False,48.0
2017,Skylar Thompson,Kansas State,2022,,,7,pass,0.2907273769378662,False,49.0
2017,Skylar Thompson,Kansas State,2022,,,16,pass,1.3850116729736328,False,38.0
2017,Skylar Thompson,Kansas State,2022,,,33,pass,2.6144840717315674,False,80.0
2017,Skylar Thompson,Kansas State,2022,,,12,pass,2.0318055152893066,False,37.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.9661974906921387,False,15.0
2017,Skylar Thompson,Kansas State,2022,,,-1,pass,-1.0814061164855957,False,14.0
2017,Skylar Thompson,Kansas State,2022,,,17,pass,1.8926472663879395,False,80.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-3.3316609859466553,False,65.0
2017,Skylar Thompson,Kansas State,2022,,,7,pass,-0.228454127907753,False,93.0
2017,Skylar Thompson,Kansas State,2022,,,24,pass,1.5060434341430664,False,33.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.8527302742004395,False,74.0
2017,Skylar Thompson,Kansas State,2022,,,5,pass,0.16019582748413086,False,60.0
2017,Skylar Thompson,Kansas State,2022,,,16,pass,1.8353235721588135,False,38.0
2017,Skylar Thompson,Kansas State,2022,,,-5,pass,-1.512316107749939,False,68.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-1.0500398874282837,False,70.0
2017,Skylar Thompson,Kansas State,2022,,,11,pass,2.0368430614471436,False,43.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.5759296417236328,False,32.0
2017,Skylar Thompson,Kansas State,2022,,,-5,pass,-1.670053243637085,False,38.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-1.5748555660247803,False,39.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-1.0274864435195923,False,42.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-2.0836005210876465,False,42.0
2017,Skylar Thompson,Kansas State,2022,,,7,pass,0.3580175042152405,False,63.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-1.0052341222763062,False,72.0
2017,Skylar Thompson,Kansas State,2022,,,-6,pass,-4.634807586669922,False,55.0
2017,Skylar Thompson,Kansas State,2022,,,5,pass,-0.16842103004455566,False,57.0
2017,Skylar Thompson,Kansas State,2022,,,5,pass,0.29919004440307617,False,62.0
2017,Skylar Thompson,Kansas State,2022,,,60,pass,3.887312889099121,True,60.0
2017,Skylar Thompson,Kansas State,2022,,,13,pass,0.4105081558227539,False,59.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.9463784694671631,False,53.0
2017,Skylar Thompson,Kansas State,2022,,,11,pass,0.8624756336212158,False,51.0
2017,Skylar Thompson,Kansas State,2022,,,11,pass,0.23109865188598633,False,62.0
2017,Skylar Thompson,Kansas State,2022,,,-1,pass,-0.9771347641944885,False,86.0
2017,Skylar Thompson,Kansas State,2022,,,47,pass,3.703486442565918,True,47.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-1.068210244178772,False,75.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.9608287811279297,False,75.0
2017,Skylar Thompson,Kansas State,2022,,,-4,pass,-1.0589743852615356,False,82.0
2017,Skylar Thompson,Kansas State,2022,,,-1,pass,-0.9884966611862183,False,81.0
2017,Skylar Thompson,Kansas State,2022,,,7,pass,-0.39901185035705566,False,89.0
2017,Skylar Thompson,Kansas State,2022,,,1,pass,1.5066461563110352,True,1.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.2392435073852539,False,1.0
2017,Skylar Thompson,Kansas State,2022,,,8,pass,1.194899559020996,False,9.0
2017,Skylar Thompson,Kansas State,2022,,,7,pass,-0.1591716706752777,False,87.0
2017,Skylar Thompson,Kansas State,2022,,,7,pass,0.41006338596343994,False,80.0
2017,Skylar Thompson,Kansas State,2022,,,13,pass,0.5491067171096802,False,73.0
2017,Skylar Thompson,Kansas State,2022,,,25,pass,1.0913403034210205,False,60.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.3548257350921631,False,35.0
2017,Skylar Thompson,Kansas State,2022,,,17,pass,1.6595492362976074,False,35.0
2017,Skylar Thompson,Kansas State,2022,,,18,pass,0.8784794807434082,False,48.0
2017,Skylar Thompson,Kansas State,2022,,,4,pass,0.020966053009033203,False,19.0
2017,Skylar Thompson,Kansas State,2022,,,-2,pass,-1.2187834978103638,False,70.0
2017,Skylar Thompson,Kansas State,2022,,,24,pass,4.967315673828125,False,72.0
2017,Skylar Thompson,Kansas State,2022,,,8,pass,0.40909838676452637,False,82.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.9471896886825562,False,45.0
2017,Skylar Thompson,Kansas State,2022,,,8,pass,-0.41273778676986694,False,45.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.9938591718673706,False,74.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.5521168112754822,False,90.0
2017,Skylar Thompson,Kansas State,2022,,,4,pass,-0.24889129400253296,False,89.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-1.4138438701629639,False,85.0
2017,Skylar Thompson,Kansas State,2022,,,4,pass,-0.14571905136108398,False,7.0
2017,Skylar Thompson,Kansas State,2022,,,4,pass,0.007176399230957031,False,21.0
2017,Skylar Thompson,Kansas State,2022,,,-2,pass,-1.3849667310714722,False,61.0
2017,Skylar Thompson,Kansas State,2022,,,-2,pass,-1.6150563955307007,False,70.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.8010706901550293,False,70.0
2017,Skylar Thompson,Kansas State,2022,,,1,pass,-0.6134176254272461,False,71.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-3.257713794708252,False,40.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.9244635105133057,False,35.0
2017,Skylar Thompson,Kansas State,2022,,,18,pass,1.2495956420898438,False,57.0
2017,Skylar Thompson,Kansas State,2022,,,8,pass,-0.5011745691299438,False,80.0
2017,Skylar Thompson,Kansas State,2022,,,0,pass,-0.9283497929573059,False,70.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.8304898142814636,False,72.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.6292402148246765,False,73.0
2018,Skylar Thompson,Kansas State,2022,,,23,pass,3.155031442642212,True,23.0
2018,Skylar Thompson,Kansas State,2022,,,-8,pass,-2.6702656745910645,False,44.0
2018,Skylar Thompson,Kansas State,2022,,,15,pass,1.823809027671814,False,59.0
2018,Skylar Thompson,Kansas State,2022,,,11,pass,1.705763339996338,False,73.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-1.6776865720748901,False,45.0
2018,Skylar Thompson,Kansas State,2022,,,4,pass,0.14221739768981934,False,50.0
2018,Skylar Thompson,Kansas State,2022,,,12,pass,1.4559636116027832,False,62.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-1.263401746749878,False,9.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.8772320747375488,False,9.0
2018,Skylar Thompson,Kansas State,2022,,,18,pass,1.0357632637023926,False,30.0
2018,Skylar Thompson,Kansas State,2022,,,3,pass,-0.2922954559326172,False,45.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-2.0181193351745605,False,53.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.6776300668716431,False,60.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.01189926266670227,False,52.0
2018,Skylar Thompson,Kansas State,2022,,,26,pass,0.4442161023616791,False,78.0
2018,Skylar Thompson,Kansas State,2022,,,28,pass,2.9453673362731934,True,28.0
2018,Skylar Thompson,Kansas State,2022,,,5,pass,0.17969512939453125,False,33.0
2018,Skylar Thompson,Kansas State,2022,,,-2,pass,-1.357903242111206,False,72.0
2018,Skylar Thompson,Kansas State,2022,,,8,pass,-0.07504701614379883,False,68.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.5928006172180176,False,58.0
2018,Skylar Thompson,Kansas State,2022,,,12,pass,2.76261305809021,False,60.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.81378173828125,False,19.0
2018,Skylar Thompson,Kansas State,2022,,,-2,pass,-1.4094288349151611,False,19.0
2018,Skylar Thompson,Kansas State,2022,,,12,pass,0.269652783870697,False,85.0
2018,Skylar Thompson,Kansas State,2022,,,9,pass,0.8827935457229614,False,58.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.6169683933258057,False,33.0
2018,Skylar Thompson,Kansas State,2022,,,11,pass,-2.099329710006714,False,38.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.5446990132331848,False,67.0
2018,Skylar Thompson,Kansas State,2022,,,-10,pass,-1.2710824012756348,False,67.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.5598495006561279,False,57.0
2018,Skylar Thompson,Kansas State,2022,,,-9,pass,-2.0493388175964355,False,56.0
2018,Skylar Thompson,Kansas State,2022,,,3,pass,-2.427237033843994,False,76.0
2018,Skylar Thompson,Kansas State,2022,,,8,pass,0.6282398700714111,False,68.0
2018,Skylar Thompson,Kansas State,2022,,,11,pass,0.6183853149414062,False,53.0
2018,Skylar Thompson,Kansas State,2022,,,-8,pass,-1.6553871631622314,False,42.0
2018,Skylar Thompson,Kansas State,2022,,,4,pass,0.23354196548461914,False,37.0
2018,Skylar Thompson,Kansas State,2022,,,7,pass,0.5941892266273499,False,75.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.9984513521194458,False,68.0
2018,Skylar Thompson,Kansas State,2022,,,3,pass,-0.4616096019744873,False,65.0
2018,Skylar Thompson,Kansas State,2022,,,7,pass,1.0158286094665527,False,62.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-1.8099510669708252,False,47.0
2018,Skylar Thompson,Kansas State,2022,,,8,pass,0.3435528874397278,False,78.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.7169853448867798,False,47.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-1.5866215229034424,False,47.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-1.4923529624938965,False,73.0
2018,Skylar Thompson,Kansas State,2022,,,21,pass,2.3391661643981934,True,71.0
2018,Skylar Thompson,Kansas State,2022,,,7,pass,-0.11155784130096436,False,78.0
2018,Skylar Thompson,Kansas State,2022,,,4,pass,1.241020679473877,True,4.0
2018,Skylar Thompson,Kansas State,2022,,,3,pass,-0.3821682929992676,False,27.0
2018,Skylar Thompson,Kansas State,2022,,,9,pass,2.0865602493286133,True,9.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.6227209568023682,False,65.0
2018,Skylar Thompson,Kansas State,2022,,,9,pass,0.5668456554412842,False,65.0
2018,Skylar Thompson,Kansas State,2022,,,42,pass,3.4375226497650146,False,71.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.78409743309021,False,19.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-1.145402431488037,False,19.0
2018,Skylar Thompson,Kansas State,2022,,,6,pass,1.8951482772827148,True,6.0
2018,Skylar Thompson,Kansas State,2022,,,8,pass,0.6391329765319824,False,34.0
2018,Skylar Thompson,Kansas State,2022,,,20,pass,1.2912201881408691,False,26.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.5882102251052856,False,79.0
2018,Skylar Thompson,Kansas State,2022,,,-10,pass,-1.404940128326416,False,68.0
2018,Skylar Thompson,Kansas State,2022,,,2,pass,-0.6574923992156982,False,73.0
2018,Skylar Thompson,Kansas State,2022,,,12,pass,1.643904685974121,False,71.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.879446268081665,False,56.0
2018,Skylar Thompson,Kansas State,2022,,,31,pass,3.4510161876678467,False,56.0
2018,Skylar Thompson,Kansas State,2022,,,16,pass,1.1687817573547363,False,60.0
2018,Skylar Thompson,Kansas State,2022,,,5,pass,0.17978143692016602,False,44.0
2018,Skylar Thompson,Kansas State,2022,,,1,pass,-0.5663115978240967,False,26.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-1.7742133140563965,False,53.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.9870634078979492,False,98.0
2018,Skylar Thompson,Kansas State,2022,,,6,pass,1.1745471954345703,False,25.0
2018,Skylar Thompson,Kansas State,2022,,,10,pass,4.34769344329834,True,10.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.5259883403778076,False,30.0
2018,Skylar Thompson,Kansas State,2022,,,15,pass,2.0571815967559814,False,27.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.8163394927978516,False,10.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-3.018555164337158,False,58.0
2018,Skylar Thompson,Kansas State,2022,,,11,pass,1.109628438949585,False,70.0
2018,Skylar Thompson,Kansas State,2022,,,-3,pass,-1.570556640625,False,67.0
2018,Skylar Thompson,Kansas State,2022,,,7,pass,0.5174954533576965,False,82.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.24296241998672485,False,80.0
2018,Skylar Thompson,Kansas State,2022,,,-5,pass,-0.5993325114250183,False,80.0
2018,Skylar Thompson,Kansas State,2022,,,9,pass,0.5815387964248657,False,73.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.742660641670227,False,64.0
2018,Skylar Thompson,Kansas State,2022,,,5,pass,-0.07857656478881836,False,20.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-1.0116300582885742,False,4.0
2018,Skylar Thompson,Kansas State,2022,,,-2,pass,-1.7009485960006714,False,68.0
2018,Skylar Thompson,Kansas State,2022,,,-8,pass,-5.734079837799072,False,67.0
2018,Skylar Thompson,Kansas State,2022,,,23,pass,4.44077730178833,True,23.0
2018,Skylar Thompson,Kansas State,2022,,,8,pass,0.8609158992767334,False,30.0
2018,Skylar Thompson,Kansas State,2022,,,8,pass,0.9555454254150391,False,22.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.6581768989562988,False,25.0
2018,Skylar Thompson,Kansas State,2022,,,42,pass,3.607618570327759,True,42.0
2018,Skylar Thompson,Kansas State,2022,,,12,pass,1.8574998378753662,False,83.0
2018,Skylar Thompson,Kansas State,2022,,,14,pass,0.9685829877853394,False,66.0
2018,Skylar Thompson,Kansas State,2022,,,15,pass,2.7368040084838867,False,82.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.8977564573287964,False,63.0
2018,Skylar Thompson,Kansas State,2022,,,30,pass,3.03701114654541,False,58.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-0.6392712593078613,False,18.0
2018,Skylar Thompson,Kansas State,2022,,,0,pass,-1.1527538299560547,False,16.0
2018,Skylar Thompson,Kansas State,2022,,,-13,pass,-2.7180099487304688,False,67.0
2018,Skylar Thompson,Kansas State,2022,,,6,pass,-0.6656618714332581,False,80.0
2018,Skylar Thompson,Kansas State,2022,,,5,pass,-0.08560264110565186,False,73.0
2018,Skylar Thompson,Kansas State,2022,,,37,pass,2.995917797088623,False,60.0
2018,Skylar Thompson,Kansas State,2022,,,8,pass,0.16138148307800293,False,14.0
