season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Spencer Petras,Utah State,1,10,9,0.9071042242020542,1,1,1,0,0
2024,Spencer Petras,Utah State,2,18,13,1.277607922197973,1,1,1,0,0
2024,Spencer Petras,Utah State,3,5,31,-3.856790845366513,0,1,0,1,0
2024,Spencer Petras,Utah State,2,11,11,1.6365274598456967,1,1,1,0,0
2024,Spencer Petras,Utah State,2,4,16,1.492000438355646,1,1,1,0,0
2024,Spencer Petras,Utah State,2,5,0,-3.0964830273711463,0,1,0,1,0
2024,Spencer Petras,Utah State,3,6,-2,-0.36843765214137214,0,1,1,0,0
2024,Spencer Petras,Utah State,2,6,0,-0.6216897885891246,0,1,0,0,0
2024,Spencer Petras,Utah State,2,6,2,-0.634587784400617,0,1,1,0,0
2024,Spencer Petras,Utah State,3,4,57,5.849523439295325,1,1,1,0,1
2024,Spencer Petras,Utah State,3,18,13,1.5753907801695706,1,1,1,0,0
2024,Spencer Petras,Utah State,3,6,21,3.001536699449942,1,1,1,0,0
2024,Spencer Petras,Utah State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Spencer Petras,Utah State,1,10,0,-0.8947814664467213,0,1,0,0,0
2024,Spencer Petras,Utah State,1,10,1,-0.4473552582060227,0,1,1,0,0
2024,Spencer Petras,Utah State,3,9,16,2.0323884052431627,1,1,1,0,0
2024,Spencer Petras,Utah State,1,20,0,-0.9900073175123049,0,1,0,0,0
2024,Spencer Petras,Utah State,3,17,0,-0.8297805709287491,0,1,0,0,0
2024,Spencer Petras,Utah State,1,10,14,0.7897417678602923,1,1,1,0,0
2024,Spencer Petras,Utah State,3,6,5,0.038007875318547,1,1,1,0,0
2024,Spencer Petras,Utah State,1,10,0,-0.6918622905019662,0,1,1,0,0
2024,Spencer Petras,Utah State,2,10,13,1.0168283076304623,1,1,1,0,0
2024,Spencer Petras,Utah State,2,6,0,-0.370301767976527,0,1,0,0,0
2024,Spencer Petras,Utah State,1,6,0,-0.476177221716661,0,1,0,0,0
2024,Spencer Petras,Utah State,2,6,0,-0.29509485739271,0,1,0,0,0
2024,Spencer Petras,Utah State,2,7,13,1.807483407527986,1,1,1,0,0
2024,Spencer Petras,Utah State,1,10,0,-0.997770018980635,0,1,0,0,0
2024,Spencer Petras,Utah State,2,10,0,-1.067301371027259,0,1,0,0,0
2024,Spencer Petras,Utah State,3,10,0,-0.8578975699550249,0,1,0,0,0
2024,Spencer Petras,Utah State,1,10,0,-0.7519361608312708,0,1,0,0,0
