season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Spencer Rattler,South Carolina,1,10.0,15,0.6383481800016098,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,3,-0.3978048422172354,0,1,1,0,0
2022,Spencer Rattler,South Carolina,2,7.0,10,1.6392747983735418,1,1,1,0,0
2022,Spencer Rattler,South Carolina,3,7.0,0,-0.8416804570969809,0,1,0,0,0
2022,Spencer Rattler,South Carolina,2,7.0,0,-1.1264780873146414,0,1,0,0,0
2022,Spencer Rattler,South Carolina,3,24.0,13,0.4618182634240382,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,1,-0.873884986133115,0,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,0,-0.8947814664467213,0,1,0,0,0
2022,Spencer Rattler,South Carolina,2,10.0,39,3.687829338639,1,1,1,0,0
2022,Spencer Rattler,South Carolina,3,15.0,10,0.54767879367127,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,0,-0.48436415563340685,0,1,1,0,0
2022,Spencer Rattler,South Carolina,2,10.0,3,-0.09554817448064146,0,1,1,0,0
2022,Spencer Rattler,South Carolina,3,17.0,0,-0.02679641702208269,0,1,0,0,0
2022,Spencer Rattler,South Carolina,2,10.0,0,-0.9144980156718301,0,1,0,0,0
2022,Spencer Rattler,South Carolina,2,7.0,10,1.0785427570596406,1,1,1,0,0
2022,Spencer Rattler,South Carolina,3,7.0,0,-0.6217208272072918,0,1,0,0,0
2022,Spencer Rattler,South Carolina,1,10.0,3,-0.4315308590496248,0,1,1,0,0
2022,Spencer Rattler,South Carolina,2,7.0,0,-1.0130007081040446,0,1,0,0,0
2022,Spencer Rattler,South Carolina,1,10.0,15,1.320854515577646,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,7,0.604642460086338,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,2,-0.6656376494811928,0,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,0,-0.6351269961541294,0,1,0,0,0
2022,Spencer Rattler,South Carolina,3,18.0,16,0.9481207800468541,1,1,1,0,0
2022,Spencer Rattler,South Carolina,2,16.0,23,3.3184249099565584,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,16,0.771256071193482,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,0,-0.3301132067544156,0,1,0,0,0
2022,Spencer Rattler,South Carolina,2,10.0,16,2.89883592804679,1,1,1,0,1
2022,Spencer Rattler,South Carolina,2,6.0,0,-0.7118036090130389,0,1,0,0,0
2022,Spencer Rattler,South Carolina,3,2.0,0,-1.9092349284882761,0,1,0,1,0
2022,Spencer Rattler,South Carolina,3,6.0,9,2.0124627194826914,1,1,1,0,0
2022,Spencer Rattler,South Carolina,3,10.0,5,0.02076772050992926,1,1,1,0,0
2022,Spencer Rattler,South Carolina,3,8.0,0,-0.5753756750205063,0,1,0,0,0
2022,Spencer Rattler,South Carolina,1,11.0,-1,-0.9103400300065561,0,1,1,0,0
2022,Spencer Rattler,South Carolina,3,3.0,3,1.4408236422536547,1,1,1,0,0
2022,Spencer Rattler,South Carolina,2,12.0,9,0.6518257685362316,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2022,Spencer Rattler,South Carolina,1,10.0,0,-1.087995077167328,0,1,0,0,0
2022,Spencer Rattler,South Carolina,2,10.0,10,2.0329444291363874,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,7,0.6193952681357987,1,1,1,0,0
2022,Spencer Rattler,South Carolina,2,3.0,6,0.2482204656430813,1,1,1,0,0
2022,Spencer Rattler,South Carolina,3,8.0,24,1.9812326842367747,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,13,2.538929215045847,1,1,1,0,1
2022,Spencer Rattler,South Carolina,2,8.0,10,1.7080532424451595,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,3,-0.4309799951978805,0,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,-2,-0.8852575132705454,0,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,9,0.883641454107563,1,1,1,0,0
2022,Spencer Rattler,South Carolina,2,12.0,4,-0.0873484673662547,0,1,1,0,0
2022,Spencer Rattler,South Carolina,3,8.0,0,-0.7701289820414613,0,1,0,0,0
2022,Spencer Rattler,South Carolina,3,4.0,5,1.4652947955017677,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,5,0.1095374979928448,1,1,1,0,0
2022,Spencer Rattler,South Carolina,2,5.0,0,-1.0900678040224117,0,1,1,0,0
2022,Spencer Rattler,South Carolina,3,5.0,26,3.22464814030291,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,6,0.22378284011976,1,1,1,0,0
2022,Spencer Rattler,South Carolina,2,4.0,0,-0.6464053937002717,0,1,0,0,0
2022,Spencer Rattler,South Carolina,3,4.0,0,-0.8127868291793483,0,1,0,0,0
2022,Spencer Rattler,South Carolina,1,10.0,7,0.604642460086338,1,1,1,0,0
2022,Spencer Rattler,South Carolina,2,13.0,8,0.5068467297629873,1,1,1,0,0
2022,Spencer Rattler,South Carolina,3,5.0,1,-0.5528008588218336,0,1,1,0,0
2022,Spencer Rattler,South Carolina,2,10.0,3,-0.3987948868419303,0,1,1,0,0
2022,Spencer Rattler,South Carolina,3,2.0,10,1.6017716690953838,1,1,1,0,0
2022,Spencer Rattler,South Carolina,1,10.0,2,-0.3623882030735057,0,1,1,0,0
2022,Spencer Rattler,South Carolina,3,7.0,0,-1.645489374469184,0,1,0,1,0
2022,Spencer Rattler,South Carolina,3,5.0,0,-0.3716239049161505,0,1,0,0,0
2022,Spencer Rattler,South Carolina,1,10.0,6,0.3906282102434897,1,1,1,0,0
