season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Taisun Phommachanh,Massachusetts,3,4,0,-0.43770162015070735,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,2,1,16,-0.291760426235614,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,2,6,0,-0.8073982355249001,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,3,6,0,-0.41860474378249357,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,3,10,0,-0.08613457617564713,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,2,-0.3623882030735057,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,3,20,13,0.11978692428900836,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,22,1.9824556861480138,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,3,11,0,-0.5732362687298718,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,3,3,22,2.887341076399048,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,3,-0.2585563392598456,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,16,0.2339199321025055,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,3,10,0,-0.4881360085064532,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,2,9,68,4.333146279919035,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,2,10,27,3.0944913054850165,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,3,-0.3648977045566397,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,13,0.617953964711881,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,0,-1.1618692012952412,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,3,13,6,0.04532982403140195,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,3,4,0,-0.43770162015070735,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,13,1.124751479041831,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,2,9,8,0.8302138505513473,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,6,0.3333748010525683,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,2,11,7,0.2576685809365455,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,0,-1.1612466882658818,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,2,8,-5,-0.3248317379158525,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,3,13,0,-0.0370860360537657,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,2,12,0,-0.5084520593696595,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,3,12,7,0.20723899532910117,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,4,5,0,-0.25279947186370677,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,2,-0.43374920863139543,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,2,12,2,-0.155035352195787,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,2,3,28,2.2840635156976425,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,3,10,0,-0.9750953121346982,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,7,0.604642460086338,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,2,3,1,-0.824229914711947,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,3,2,0,-0.6013143962559822,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,10,0.935885914760668,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,3,-0.4315308590496248,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,2,7,12,1.7119173781262322,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,3,4,0,-0.2868087912016805,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,6,0.3855228600463665,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,2,4,7,0.857174618279128,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,3,-0.4238622892911614,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,2,7,21,1.8585293565345784,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,22,0.41770834642648,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,2,7,0,-0.277446160702615,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,3,7,0,-0.325035760733144,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Taisun Phommachanh,Massachusetts,2,10,6,0.16823773848787482,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,3,4,19,2.7710754711557257,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,1,10,8,0.838762649996877,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,2,5,0,-0.8663063308293939,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,3,5,12,1.3041120967315951,1,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,2,8,3,-0.084828674435525,0,1,1,0,0
2023,Taisun Phommachanh,Massachusetts,3,5,5,2.76159962916859,1,1,1,0,1
