season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Tak Tateoka,St. Thomas (MN),3,8,4,-0.145097030045644,0,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,4,-0.1300144731220457,0,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,5,0.1095374979928448,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,7,16,2.983368272103455,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),2,5,7,0.452017631625977,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,5,10,1.2722574078287625,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),1,15,7,0.3453320445176234,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,3,1,-0.523183990032174,0,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),2,6,12,1.601733413628278,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,15,1.246129992288406,1,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),3,8,9,2.0692059904631863,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),1,5,39,0.607541051263869,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,2,2,2.544830284062861,1,1,1,0,1
2023,Tak Tateoka,St. Thomas (MN),3,8,0,-0.9106683441043435,0,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,31,1.745314575103146,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,26,2.7200021224081805,1,1,1,0,1
2023,Tak Tateoka,St. Thomas (MN),2,6,2,-0.4204436586168807,0,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,4,0,-0.43770162015070735,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,7,0.31818120328422,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,6,18,3.1060203335870806,1,1,1,0,1
2023,Tak Tateoka,St. Thomas (MN),2,7,0,-1.127138677334667,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),3,7,9,2.259917976945628,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),4,6,0,-1.9681752326443522,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),2,6,8,0.432188890233315,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,12,0.7109219201605051,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,-1,-0.9402299217519198,0,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),2,7,0,-0.6866967790038297,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),3,7,4,-0.1219569332999235,0,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),2,8,5,0.0650828203966167,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),2,8,3,-0.3940896815327282,0,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),2,15,0,-0.19414974973440646,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,9,0.9934753748705925,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,9,0,-0.13875783656262275,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),2,18,12,1.2544411237133142,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,9,0,-0.6859238452324856,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),2,9,3,-0.17771396874830803,0,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,6,0,-0.3146897268978579,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,20,1.8513745867829705,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),2,4,6,0.401561345924021,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),2,8,-15,-3.3616264298673553,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),4,5,0,-1.996562289628013,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,9,1.252308359788624,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,5,23,2.6248414905288975,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,9,0,-0.4758533893591981,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),2,8,0,-0.5308962154816008,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,2,-0.45260367932203766,0,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),2,8,9,2.687387642769298,1,1,1,0,1
2023,Tak Tateoka,St. Thomas (MN),3,6,23,1.4889404920596423,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,0,-0.7828922522763084,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),2,11,8,0.8061372558091922,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,8,12,2.755268250622054,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,0,-1.041155320344064,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),2,7,0,-0.4365443430125836,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),1,10,17,1.0845213385595116,1,1,1,0,0
2023,Tak Tateoka,St. Thomas (MN),3,12,0,-0.21933845556457765,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),2,7,0,-0.8677535954355031,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),2,12,0,-0.4808475386399689,0,1,0,0,0
2023,Tak Tateoka,St. Thomas (MN),3,7,12,1.8895906864866827,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,9,25,3.080171417820365,1,1,1,0,1
2024,Tak Tateoka,St. Thomas (MN),2,10,0,-0.43555458427823446,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,10,5,0.022454766563025252,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,7,0.5892240913275142,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,3,11,1.9558120985259988,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,0,-1.1496266880203319,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),2,10,1,-0.6792563640695226,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,10,0,-0.2608138520764314,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,31,2.5126983565298615,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,17,0.462295834789695,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,0,-0.956890163923906,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,15,1.059241580151702,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,18,11,1.1448771854318371,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,3,3,2.624562399778991,1,1,1,0,1
2024,Tak Tateoka,St. Thomas (MN),1,10,5,0.1106253034395996,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,3,6,1.7572909877542955,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,0,-1.0742999147475647,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,10,10,2.716937754387164,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,8,7,0.4250035039421771,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,11,0.9305625119459905,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,12,4,-0.0923308724397396,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,8,4,-0.08212860423373947,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,15,0,-0.1429887433109025,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,9,1.023085236154417,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,1,74,5.5120973463972405,1,1,1,0,1
2024,Tak Tateoka,St. Thomas (MN),1,10,-3,-1.6863936488797933,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,10,0,-0.4379753027366,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),2,10,0,-1.067301371027259,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,10,44,4.603564199954519,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,4,17,2.472752627514312,1,1,1,0,1
2024,Tak Tateoka,St. Thomas (MN),1,10,34,2.034567508656513,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,0,-1.1430602484821704,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),2,7,2,-0.36341994158841023,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,5,6,1.5897498674784165,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,4,-0.1622709044233037,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,6,10,1.278110708921055,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,10,0,-1.060943078602227,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,10,0,-0.9110484955798565,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,10,0.9482786553166224,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,18,0,-0.9929515924453174,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),2,11,0,-0.39520313969106446,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,11,0,-0.18530286564015608,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),2,8,-1,-0.2513428700764253,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,7,34,3.7418478226898895,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,6,8,1.9729660401578535,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,10,10,0.622933888809941,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,6,2,-0.4204436586168807,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,0,-1.0742999147475647,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,6,3,-0.3993926458245057,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),4,3,14,2.584615405452535,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,6,5,0.1088246479092484,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,5,0.0872959704547682,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,7,0,-1.0456665971037056,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,9,68,6.9110333052679,1,1,1,0,1
2024,Tak Tateoka,St. Thomas (MN),2,9,0,-0.5625030807509734,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,20,0,-0.10299138718857304,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),2,6,7,1.2028438687717173,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,5,0,-0.7226153949575504,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),2,9,0,-0.6218103749060155,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,9,0,-0.31228340882362904,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,-5,-1.6602080567056474,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,5,12,0.9309281888518977,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,5,0.1045373160815773,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,8,4,-0.1471210681955258,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,24,0,-0.44100219087343984,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,9,0,-0.639420536387652,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),2,3,0,-0.9495276419717785,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),2,2,3,-0.0106006647030643,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,0,-0.9262377870973815,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,10,0,-0.5135431143257803,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,10,0,-0.24944723578013583,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,10,6,0.10669797873343523,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,10,0,-0.48647765014911126,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,8,11,1.542381102543402,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,8,0,-0.3313693913204929,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,2,-0.3300044670451081,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,2,-0.3794776766448038,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,8,3,-0.1672465030419037,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,5,0,-0.29820933960424334,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,0,-2.815102462314792,0,1,0,1,0
2024,Tak Tateoka,St. Thomas (MN),2,7,8,1.4640502042941692,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,4,-0.1350508541150131,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,6,4,-0.1674796144111532,0,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,5,0,-0.4881067539127617,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),3,1,9,1.3910727313703424,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,9,16,2.37816310549891,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,32,0.9950042329553828,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,13,7,0.2477004453198113,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,8,11,2.7249323203766043,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,6,6,0.386013515081773,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),1,10,15,0.2111862993555605,1,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),2,9,7,0.320681022690007,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),2,11,6,0.129881034960567,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),3,10,0,-0.21915903227825506,0,1,0,0,0
2024,Tak Tateoka,St. Thomas (MN),2,11,7,0.1846314384940131,1,1,1,0,0
2024,Tak Tateoka,St. Thomas (MN),4,15,0,-0.21754445247975696,0,1,0,0,0
