season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Tate Rodemaker,Southern Miss,1,10,-5,-2.629817218620694,0,1,0,1,0
2024,Tate Rodemaker,Southern Miss,1,10,29,2.2507787684959037,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,17,-1,-0.06998110323894748,0,1,1,0,0
2024,Tate Rodemaker,Southern Miss,3,18,34,2.9055190115467227,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,8,7,0.6311252952805084,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,4,5,0.2820096742175996,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,8,0,-0.853942262997709,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,3,8,21,1.7103589850171415,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,3,5,0,-4.194798145497163,0,1,0,1,0
2024,Tate Rodemaker,Southern Miss,2,14,5,0.0122545843314965,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,3,9,0,-0.0717588347010647,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,1,10,6,0.3333748010525683,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,1,10,4,-0.1142886249388964,0,1,1,0,0
2024,Tate Rodemaker,Southern Miss,3,7,3,-0.11723476155044565,0,1,1,0,0
2024,Tate Rodemaker,Southern Miss,1,10,6,0.3333748010525683,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,4,9,0.9874797145250778,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,1,10,0,-0.997770018980635,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,2,10,-2,-1.4673847440524292,0,1,1,0,0
2024,Tate Rodemaker,Southern Miss,3,12,0,-0.7159052651159517,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,3,8,0,-0.11808565048813158,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,2,19,0,-0.1994305052505796,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,3,19,0,-0.09044356940514398,0,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,9,9,2.740036203212782,1,1,1,0,1
2024,Tate Rodemaker,Southern Miss,1,10,7,0.4067090181335251,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,3,6,0.2467958537294699,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,2,10,19,2.4105423603856675,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,10,-4,-1.340668650361204,0,1,1,0,0
2024,Tate Rodemaker,Southern Miss,3,19,49,4.60619146138834,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,2,3,0.235415087648308,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,1,5,0,-0.554796850971046,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,2,5,5,2.43857769152992,1,1,1,0,1
2024,Tate Rodemaker,Southern Miss,1,10,19,1.7694193150114044,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,1,10,11,0.734318059955598,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,1,10,0,-0.8457687366186873,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,2,10,0,-1.0264463089218037,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,3,10,10,2.247021056555061,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,1,10,0,-0.557844891990525,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,2,10,-1,-0.9586333332686792,0,1,1,0,0
2024,Tate Rodemaker,Southern Miss,3,11,0,-1.0078078262855605,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,2,13,0,-0.21012438871067207,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,3,13,15,2.19365210393139,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,8,0,-0.7596092409960598,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,1,10,0,-1.041155320344064,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,2,10,15,2.4260173764821467,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,1,10,0,-1.1247712359915258,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,2,10,7,0.5310768366439405,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,3,3,0,-0.9669668301362693,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,2,13,1,-0.39342258655427287,0,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,11,12,2.299061346519392,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,3,8,0,-0.8255173270574537,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,1,10,0,-0.40084650139258127,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,1,10,6,0.1956069877394565,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,4,19,2.504477374526601,1,1,1,0,1
2024,Tate Rodemaker,Southern Miss,2,12,37,4.02416145523938,1,1,1,0,1
2024,Tate Rodemaker,Southern Miss,3,6,14,2.4378330090322695,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,6,0,-1.1607754377006163,0,1,0,0,0
2024,Tate Rodemaker,Southern Miss,1,10,4,-0.1543469215353017,0,1,1,0,0
2024,Tate Rodemaker,Southern Miss,1,10,26,2.1620062836864316,1,1,1,0,0
2024,Tate Rodemaker,Southern Miss,2,7,1,-0.8950582179941425,0,1,1,0,0
2024,Tate Rodemaker,Southern Miss,3,6,3,-0.13790416266648542,0,1,1,0,0
2024,Tate Rodemaker,Southern Miss,3,9,5,0.02335959259791131,1,1,1,0,0
