season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Tommy Rittenhouse,Illinois State,1,10,7,0.7076562230979297,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,2,10,0,-0.851527740432628,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,3,10,27,3.659748856370854,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,3,6,0,-0.8167781222422815,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,2,9,0,-0.40831395320271024,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,3,10,6,0.1388619893186558,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,1,10,19,0.849187767127999,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,4,5,7,1.3600465127588421,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,2,7,0,-0.3401724039956773,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,2,9,25,1.2613554653946553,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,2,12,25,3.2440743610504077,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,3,8,0,-1.0249441891211273,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,2,8,0,-1.019175487371296,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,1,10,0,-1.1430602484821704,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,2,6,7,0.6442036781777915,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,2,9,2,-0.2677195990543533,0,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,3,7,5,0.03429729127444769,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,2,11,9,1.067673209201848,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,2,4,0,-1.1822471447830232,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,3,4,0,-1.071428384521834,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,3,2,0,-0.6013143962559822,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,2,10,0,-0.17777032772198886,0,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,1,10,0,-1.1387859939569847,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,3,4,0,-1.101368699378531,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,1,10,0,-1.1143038065675126,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,1,10,9,1.3370266566355031,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,2,9,0,-0.842820543035316,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,3,17,4,-0.00919365155503636,0,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,2,10,9,0.9620281040838102,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,2,7,0,-1.1264780873146414,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,3,7,0,-0.8416804570969809,0,1,0,0,0
2022,Tommy Rittenhouse,Illinois State,1,10,10,0.8350381090299867,1,1,1,0,0
2022,Tommy Rittenhouse,Illinois State,1,10,0,-1.0146424556055624,0,1,0,0,0
2023,Tommy Rittenhouse,Illinois State,2,9,14,2.0140713737410127,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,1,10,8,0.4611213976375015,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,4,3,7,3.0069377556792247,1,1,1,0,1
2023,Tommy Rittenhouse,Illinois State,1,10,1,-0.9265072803619887,0,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,3,4,0,-0.566704659737983,0,1,0,0,0
2023,Tommy Rittenhouse,Illinois State,2,3,6,0.555416219155907,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,2,7,0,-1.1264780873146414,0,1,0,0,0
2023,Tommy Rittenhouse,Illinois State,3,7,9,2.393050176007197,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,2,11,10,1.0852147121934852,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,1,10,0,-0.534372502378378,0,1,0,0,0
2023,Tommy Rittenhouse,Illinois State,3,8,6,0.2068094057144822,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,2,22,5,0.0438935499379107,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,3,17,0,-0.9940988217552231,0,1,0,0,0
2023,Tommy Rittenhouse,Illinois State,2,14,3,-0.3414306215247036,0,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,3,11,16,3.0993652784321553,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,3,7,5,0.03429729127444769,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,1,10,0,-0.5080208698531008,0,1,0,0,0
2023,Tommy Rittenhouse,Illinois State,3,2,13,1.7834866286373703,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,2,3,25,1.3590586287688242,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,4,12,17,2.9044576189380837,1,1,1,0,0
2023,Tommy Rittenhouse,Illinois State,3,7,0,-0.4056125621063826,0,1,0,0,0
2024,Tommy Rittenhouse,Illinois State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Tommy Rittenhouse,Illinois State,3,9,0,-0.18876768235831598,0,1,0,0,0
2024,Tommy Rittenhouse,Illinois State,3,11,15,2.4002239577265554,1,1,1,0,0
2024,Tommy Rittenhouse,Illinois State,2,6,7,1.16204449058921,1,1,1,0,0
2024,Tommy Rittenhouse,Illinois State,2,7,0,-2.8619370615495487,0,1,0,1,0
2024,Tommy Rittenhouse,Illinois State,1,10,0,-0.8627910327708888,0,1,0,0,0
2024,Tommy Rittenhouse,Illinois State,2,10,0,-0.4604691796083076,0,1,0,0,0
2024,Tommy Rittenhouse,Illinois State,1,10,10,0.896681798161179,1,1,1,0,0
2024,Tommy Rittenhouse,Illinois State,2,15,3,-0.3054466619416791,0,1,1,0,0
2024,Tommy Rittenhouse,Illinois State,3,12,0,-0.5900177248086829,0,1,0,0,0
2024,Tommy Rittenhouse,Illinois State,2,8,19,1.6904028333363827,1,1,1,0,0
