season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2007,Tony Pike,Cincinnati,2010,,,7,pass,1.1823687553405762,True,7.0
2007,Tony Pike,Cincinnati,2010,,,6,pass,-0.06350040435791016,False,64.0
2007,Tony Pike,Cincinnati,2010,,,3,pass,0.6484584808349609,False,16.0
2007,Tony Pike,Cincinnati,2010,,,13,pass,0.6944994926452637,False,29.0
2007,Tony Pike,Cincinnati,2010,,,11,pass,1.0749292373657227,False,57.0
2007,Tony Pike,Cincinnati,2010,,,13,pass,0.9805023670196533,False,57.0
2007,Tony Pike,Cincinnati,2010,,,0,pass,-0.8217120170593262,False,13.0
2007,Tony Pike,Cincinnati,2010,,,15,pass,0.4706745147705078,False,44.0
2007,Tony Pike,Cincinnati,2010,,,0,pass,-0.46558308601379395,False,57.0
2007,Tony Pike,Cincinnati,2010,,,13,pass,0.6672120094299316,False,29.0
2007,Tony Pike,Cincinnati,2010,,,0,pass,0.1427464485168457,False,13.0
2007,Tony Pike,Cincinnati,2010,,,7,pass,-0.5469319820404053,False,51.0
2007,Tony Pike,Cincinnati,2010,,,6,pass,0.46002960205078125,False,28.0
2007,Tony Pike,Cincinnati,2010,,,0,pass,-0.6330103874206543,False,73.0
2007,Tony Pike,Cincinnati,2010,,,0,pass,-0.8663966655731201,False,84.0
2007,Tony Pike,Cincinnati,2010,,,12,pass,0.5608973503112793,False,72.0
2007,Tony Pike,Cincinnati,2010,,,0,pass,-0.8391327857971191,False,91.0
2007,Tony Pike,Cincinnati,2010,,,5,pass,-0.11409974098205566,False,61.0
2008,Tony Pike,Cincinnati,2010,,,8,pass,0.9147517681121826,False,80.0
2008,Tony Pike,Cincinnati,2010,,,-2,pass,-0.7971006035804749,False,77.0
2008,Tony Pike,Cincinnati,2010,,,0,pass,-0.7696049809455872,False,81.0
2008,Tony Pike,Cincinnati,2010,,,0,pass,-0.5655264854431152,False,74.0
2008,Tony Pike,Cincinnati,2010,,,0,pass,-1.9415669441223145,False,75.0
2008,Tony Pike,Cincinnati,2010,,,15,pass,1.2801785469055176,True,15.0
2008,Tony Pike,Cincinnati,2010,,,0,pass,-0.5475151538848877,False,51.0
2008,Tony Pike,Cincinnati,2010,,,8,pass,0.10289263725280762,False,51.0
2008,Tony Pike,Cincinnati,2010,,,23,pass,0.9852690696716309,False,38.0
2008,Tony Pike,Cincinnati,2010,,,6,pass,0.8562054634094238,False,15.0
2008,Tony Pike,Cincinnati,2010,,,13,pass,2.271120071411133,False,28.0
2008,Tony Pike,Cincinnati,2010,,,1,pass,0.034676313400268555,False,41.0
2008,Tony Pike,Cincinnati,2010,,,0,pass,-0.908586323261261,False,57.0
2008,Tony Pike,Cincinnati,2010,,,0,pass,-0.41506004333496094,False,57.0
2008,Tony Pike,Cincinnati,2010,,,0,pass,-0.39188140630722046,False,57.0
2008,Tony Pike,Cincinnati,2010,,,8,pass,1.8428163528442383,True,8.0
2008,Tony Pike,Cincinnati,2010,,,13,pass,0.37493276596069336,False,49.0
2008,Tony Pike,Cincinnati,2010,,,5,pass,0.10552501678466797,False,34.0
2008,Tony Pike,Cincinnati,2010,,,9,pass,1.1901798248291016,False,29.0
2008,Tony Pike,Cincinnati,2010,,,7,pass,0.27544069290161133,False,20.0
2008,Tony Pike,Cincinnati,2010,,,24,pass,2.015531539916992,True,24.0
2008,Tony Pike,Cincinnati,2010,,,12,pass,1.8649921417236328,False,53.0
2008,Tony Pike,Cincinnati,2010,,,0,pass,-0.9855592250823975,False,37.0
2008,Tony Pike,Cincinnati,2010,,,13,pass,2.0241830348968506,False,37.0
2008,Tony Pike,Cincinnati,2010,,,0,pass,-0.42364680767059326,False,75.0
2008,Tony Pike,Cincinnati,2010,,,10,pass,1.07814359664917,False,73.0
