season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Ty Pennington,Northern Arizona,2,10,8,0.7884856978660986,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,28,2.4645528784548913,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-1.0507069190375147,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,7,0,-0.994152972638215,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,4,7,0,-0.9418336880828502,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,1,10,-3,-1.246168530373263,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,10,2,-0.6002365672981274,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,4,8,13,2.561257928217181,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,14,0.318798431881971,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,-4,-1.0163607520985618,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,14,3,-0.07940310557592589,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,11,0,-0.13329329160465786,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.766047035673644,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,2,7,5,0.0797364913942626,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,7,0.7103851122578037,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.4522778946200265,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.585616097616759,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,1,10,8,0.9104368550610653,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,2,0,-1.1300243096866742,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,2,10,0,-0.34710487712173865,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,3,10,5,0.01926363871681413,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,6,0.2888240217992033,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,18,8,0.37099258980710115,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,10,-5,-0.7443618405163104,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.24120998460901966,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,2,11,21,2.6026312332206665,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,5,0,-0.939381819887151,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,4,5,-4,-0.6944958481924655,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,8,10,1.958655521602238,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,6,0.4024109850387187,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-1.1430602484821704,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,1,10,12,0.6190404991463101,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.6723571521309859,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,2,10,6,0.1611713248304829,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,11,-3,-0.3919601944140698,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,14,16,2.220693871373351,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,6,0.4024109850387187,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,50,3.841411932121373,1,1,1,0,1
2024,Ty Pennington,Northern Arizona,1,10,4,-0.1142886249388964,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,11,1,-0.2485855483496806,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,10,6,0.2822103172169043,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,10,10,1.6659411024423336,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.7828922522763084,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,2,10,3,-0.3382110303546676,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,7,3,-0.3701644654478677,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,10,0.8350381090299867,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-1.0146424556055624,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,3,10,17,3.171586229251555,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-1.0742999147475647,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.3048472994988835,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,3,3,0,-0.3945030175899225,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.42008778911877176,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.5586693796725282,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,3,5,11,1.759734230186381,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-1.041155320344064,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,3,14,10,0.4260859178052998,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-1.1612466882658818,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,2,10,14,2.2364939980730636,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,6,11,0.6539684031703032,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.490975886965904,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,2,5,0,-0.6922204692512759,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,1,10,24,1.6864235660214713,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.6918622905019662,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,3,10,0,-1.0239694443844112,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,2,2,4,-0.2310514495276055,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,5,0.0757087852917575,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,8,-2,-1.210947197869766,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,2,10,20,2.5041119044486084,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,4,11,0.800831965409447,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,5,39,1.8184886784734322,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,14,11,0.7805617271251108,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,11,0.9305625119459905,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,5,0.0745432474784075,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,9,0,-0.40831395320271024,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,3,9,18,2.7033658346464113,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,46,1.856355939129864,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,7,8,0.343022566921075,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,7,5,0.0626043582596645,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,2,9,2.6256757781226465,1,1,1,0,1
2024,Ty Pennington,Northern Arizona,1,10,3,-0.111402529616803,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,17,20,1.7618509178979165,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,2,9,1,-0.6220315049154719,0,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,33,1.4773717045416086,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,11,0,-0.7921713856904358,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,3,7,23,1.9747607361524686,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,15,15,2.0339488234232013,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,3,17,7,0.15771498599426348,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,6,0.3957205453341055,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,11,0.452989301499176,1,1,1,0,0
2024,Ty Pennington,Northern Arizona,1,10,0,-0.5824837756999947,0,1,0,0,0
2024,Ty Pennington,Northern Arizona,1,10,13,0.9443779117886886,1,1,1,0,0
