season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Tyler Shough,Louisville,1,10,11,0.209795504285248,1,1,1,0,0
2024,Tyler Shough,Louisville,3,12,8,0.405848460746249,1,1,1,0,0
2024,Tyler Shough,Louisville,1,10,24,1.370654404762437,1,1,1,0,0
2024,Tyler Shough,Louisville,1,10,12,0.270777959706495,1,1,1,0,0
2024,Tyler Shough,Louisville,1,10,0,-0.3882383440694163,0,1,0,0,0
2024,Tyler Shough,Louisville,2,10,0,-0.4964187188337484,0,1,0,0,0
2024,Tyler Shough,Louisville,3,10,12,1.0927160530521898,1,1,1,0,0
2024,Tyler Shough,Louisville,1,9,9,2.424237823646468,1,1,1,0,1
2024,Tyler Shough,Louisville,2,3,8,0.02365551066287,1,1,1,0,0
2024,Tyler Shough,Louisville,1,10,9,0.641938297485138,1,1,1,0,0
2024,Tyler Shough,Louisville,1,10,2,-0.165648229401373,0,1,1,0,0
2024,Tyler Shough,Louisville,1,10,0,-1.1590089706435955,0,1,0,0,0
2024,Tyler Shough,Louisville,2,10,20,2.4071803474151334,1,1,1,0,0
2024,Tyler Shough,Louisville,2,9,33,3.440820156335189,1,1,1,0,1
2024,Tyler Shough,Louisville,2,2,6,-0.224085097114327,0,1,1,0,0
2024,Tyler Shough,Louisville,1,10,21,2.632296813795493,1,1,1,0,1
2024,Tyler Shough,Louisville,1,10,0,-1.1387859939569847,0,1,0,0,0
2024,Tyler Shough,Louisville,1,10,21,1.7270454458066755,1,1,1,0,0
2024,Tyler Shough,Louisville,2,10,6,0.2959747330734342,1,1,1,0,0
2024,Tyler Shough,Louisville,3,4,17,2.4910455156681817,1,1,1,0,0
2024,Tyler Shough,Louisville,1,10,0,-0.7215426143188567,0,1,0,0,0
2024,Tyler Shough,Louisville,2,10,0,-0.9411560090170408,0,1,0,0,0
2024,Tyler Shough,Louisville,1,10,8,0.446550170719648,1,1,1,0,0
2024,Tyler Shough,Louisville,2,2,5,2.092379044326199,1,1,1,0,1
2024,Tyler Shough,Louisville,2,7,5,0.0961141164386436,1,1,1,0,0
2024,Tyler Shough,Louisville,1,10,0,-1.1301991718133413,0,1,0,0,0
2024,Tyler Shough,Louisville,3,2,8,1.2502649818327873,1,1,1,0,0
2024,Tyler Shough,Louisville,2,7,22,0.6749871036284475,1,1,1,0,0
2024,Tyler Shough,Louisville,1,10,10,0.8350381090299867,1,1,1,0,0
2024,Tyler Shough,Louisville,3,6,0,-0.5500549337832448,0,1,0,0,0
