season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2008,Tyler Wilson,Arkansas,2013,,,3,pass,-0.4197661876678467,False,91.0
2008,Tyler Wilson,Arkansas,2013,,,0,pass,-1.210829257965088,False,79.0
2008,Tyler Wilson,Arkansas,2013,,,0,pass,-2.007051467895508,False,62.0
2008,Tyler Wilson,Arkansas,2013,,,5,pass,0.14592501521110535,False,67.0
2008,Tyler Wilson,Arkansas,2013,,,10,pass,5.393484115600586,True,10.0
2008,Tyler Wilson,Arkansas,2013,,,0,pass,-1.6821138858795166,False,10.0
2008,Tyler Wilson,Arkansas,2013,,,0,pass,-0.7100183963775635,False,14.0
2008,Tyler Wilson,Arkansas,2013,,,9,pass,1.1521737575531006,False,34.0
2008,Tyler Wilson,Arkansas,2013,,,8,pass,0.7025361061096191,False,70.0
2008,Tyler Wilson,Arkansas,2013,,,9,pass,0.13592621684074402,False,62.0
2008,Tyler Wilson,Arkansas,2013,,,6,pass,0.09791088104248047,False,42.0
2008,Tyler Wilson,Arkansas,2013,,,0,pass,-1.8089114427566528,False,37.0
2008,Tyler Wilson,Arkansas,2013,,,1,pass,-0.5091489553451538,False,46.0
2008,Tyler Wilson,Arkansas,2013,,,0,pass,-0.8950917720794678,False,26.0
2008,Tyler Wilson,Arkansas,2013,,,0,pass,-0.5418998003005981,False,34.0
2008,Tyler Wilson,Arkansas,2013,,,6,pass,0.5216071605682373,False,62.0
2008,Tyler Wilson,Arkansas,2013,,,0,pass,-2.2339189052581787,False,56.0
2008,Tyler Wilson,Arkansas,2013,,,9,pass,0.028004765510559082,False,65.0
2008,Tyler Wilson,Arkansas,2013,,,3,pass,-0.5331473350524902,False,83.0
2009,Tyler Wilson,Arkansas,2013,,,1,pass,0.5100259780883789,True,1.0
2009,Tyler Wilson,Arkansas,2013,,,12,pass,1.9370055198669434,False,13.0
2009,Tyler Wilson,Arkansas,2013,,,11,pass,0.3150101900100708,False,78.0
2009,Tyler Wilson,Arkansas,2013,,,9,pass,0.24523580074310303,False,67.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-0.6102333068847656,False,47.0
2009,Tyler Wilson,Arkansas,2013,,,14,pass,0.5873250961303711,False,78.0
2009,Tyler Wilson,Arkansas,2013,,,10,pass,0.85931396484375,False,63.0
2009,Tyler Wilson,Arkansas,2013,,,8,pass,0.450836181640625,False,38.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-0.7986147403717041,False,55.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-1.7216343879699707,False,55.0
2009,Tyler Wilson,Arkansas,2013,,,2,pass,3.3478281497955322,True,2.0
2009,Tyler Wilson,Arkansas,2013,,,17,pass,3.0986688137054443,False,33.0
2009,Tyler Wilson,Arkansas,2013,,,11,pass,0.6732063293457031,False,16.0
2009,Tyler Wilson,Arkansas,2013,,,13,pass,1.407950520515442,False,85.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-1.0810467004776,False,75.0
2009,Tyler Wilson,Arkansas,2013,,,21,pass,2.776163101196289,False,75.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-0.5898170471191406,False,40.0
2009,Tyler Wilson,Arkansas,2013,,,9,pass,0.2719695568084717,False,42.0
2009,Tyler Wilson,Arkansas,2013,,,3,pass,-1.8586418628692627,False,47.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-0.4706425070762634,False,52.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-0.47480976581573486,False,52.0
2009,Tyler Wilson,Arkansas,2013,,,8,pass,0.141862154006958,False,60.0
2009,Tyler Wilson,Arkansas,2013,,,9,pass,0.8674159646034241,False,69.0
2009,Tyler Wilson,Arkansas,2013,,,11,pass,0.6896438598632812,False,80.0
2009,Tyler Wilson,Arkansas,2013,,,5,pass,-0.5436658263206482,False,39.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-0.5901792049407959,False,39.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-0.6027837991714478,False,49.0
2009,Tyler Wilson,Arkansas,2013,,,6,pass,-0.18283259868621826,False,70.0
2009,Tyler Wilson,Arkansas,2013,,,14,pass,1.0678281784057617,False,84.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-0.8736681938171387,False,33.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-0.8202462196350098,False,33.0
2009,Tyler Wilson,Arkansas,2013,,,0,pass,-0.5167245864868164,False,23.0
