season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Victor Gabalis,Tarleton State,2,9,0,-0.40831395320271024,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,3,9,7,0.17489164542280466,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,1,10,14,0.2397398544247605,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,1,15,0,-0.5785628504815373,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,1,10,9,1.2988785897355477,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,1,10,12,1.1271435896848112,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,3,3,6,1.384422940464194,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,1,10,0,-0.7828922522763084,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,3,2,19,0.7419232552628702,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,1,15,0,-0.3069070803740903,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,3,8,0,-0.21095545592457476,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,2,10,8,0.4833825674180429,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,2,7,13,1.71451018386691,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,2,7,21,2.1191456640902957,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,1,10,28,0.775834153449745,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,2,7,32,2.7064748317279346,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,1,10,0,-0.512081873784803,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,2,10,0,-0.7006450342354943,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,3,20,14,1.879322044290232,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,3,16,0,-0.19954688495698303,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,1,10,7,0.6195700280317222,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,1,10,62,4.953003640679491,1,1,1,0,1
2023,Victor Gabalis,Tarleton State,1,10,0,-1.15714755134967,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,3,5,15,2.5006056825528553,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,2,9,13,0.5500768757844395,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,1,10,10,0.352137370333439,1,1,0,0,0
2023,Victor Gabalis,Tarleton State,2,8,0,-0.376706650922749,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,3,8,16,3.162172684204762,1,1,1,0,1
2023,Victor Gabalis,Tarleton State,3,6,22,3.185612732930493,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,2,3,36,1.5490873835237482,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,1,10,0,-0.9864556271674072,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,2,7,2,-0.25716999643494987,0,1,1,0,0
2023,Victor Gabalis,Tarleton State,3,5,0,-0.25361375186988244,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,2,6,4,-0.1052988296867126,0,1,1,0,0
2023,Victor Gabalis,Tarleton State,3,4,6,1.5096115629409628,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,1,10,17,1.533990366508901,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,2,9,8,0.78931305010709,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,3,1,0,-1.1143823463743843,0,1,0,0,0
2023,Victor Gabalis,Tarleton State,4,1,5,1.851587158864282,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,2,8,5,0.0559086745583244,1,1,1,0,0
2023,Victor Gabalis,Tarleton State,3,3,5,1.1732266084784246,1,1,1,0,0
