season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Walker Harris,North Carolina Central,3,12,47,4.290603814825549,1,1,1,0,0
2022,Walker Harris,North Carolina Central,1,10,0,-0.3048472994988835,0,1,0,0,0
2022,Walker Harris,North Carolina Central,3,7,0,-0.8995343697285872,0,1,0,0,0
2022,Walker Harris,North Carolina Central,3,12,21,2.183817497818844,1,1,1,0,0
2023,Walker Harris,North Carolina Central,1,10,0,-1.041155320344064,0,1,0,0,0
2023,Walker Harris,North Carolina Central,1,10,6,0.3333748010525683,1,1,1,0,0
2023,Walker Harris,North Carolina Central,2,8,14,2.104958509797367,1,1,1,0,0
2023,Walker Harris,North Carolina Central,3,3,0,-0.5139435334013278,0,1,0,0,0
2023,Walker Harris,North Carolina Central,1,10,1,-0.870939720055624,0,1,1,0,0
2023,Walker Harris,North Carolina Central,1,10,6,0.3584299311182697,1,1,1,0,0
2023,Walker Harris,North Carolina Central,2,4,0,-0.9655850662939871,0,1,0,0,0
2023,Walker Harris,North Carolina Central,3,4,0,-0.5118806205372062,0,1,0,0,0
2023,Walker Harris,North Carolina Central,2,6,16,1.915430507343853,1,1,1,0,0
2023,Walker Harris,North Carolina Central,2,8,11,1.6614631040509098,1,1,1,0,0
2023,Walker Harris,North Carolina Central,3,3,7,1.6704930501015698,1,1,1,0,0
2023,Walker Harris,North Carolina Central,3,21,17,1.9565116488141365,1,1,1,0,0
2023,Walker Harris,North Carolina Central,4,4,7,2.183721798222711,1,1,1,0,0
2023,Walker Harris,North Carolina Central,1,10,0,-0.534372502378378,0,1,0,0,0
2023,Walker Harris,North Carolina Central,2,10,0,-0.732204526648056,0,1,0,0,0
2023,Walker Harris,North Carolina Central,3,10,12,1.474975110840132,1,1,1,0,0
2023,Walker Harris,North Carolina Central,2,8,6,0.142766146577829,1,1,1,0,0
2023,Walker Harris,North Carolina Central,2,6,11,1.5560767750476803,1,1,1,0,0
2023,Walker Harris,North Carolina Central,1,10,7,0.7076562230979297,1,1,1,0,0
2023,Walker Harris,North Carolina Central,1,10,16,2.5687227212923744,1,1,1,0,1
2023,Walker Harris,North Carolina Central,1,10,40,1.7246918387960464,1,1,1,0,0
2023,Walker Harris,North Carolina Central,3,2,2,2.544830284062861,1,1,1,0,1
2023,Walker Harris,North Carolina Central,1,10,0,-0.766047035673644,0,1,0,0,0
2023,Walker Harris,North Carolina Central,3,3,0,-0.876818998566419,0,1,0,0,0
2023,Walker Harris,North Carolina Central,3,9,3,-0.15768468453663864,0,1,1,0,0
2023,Walker Harris,North Carolina Central,2,10,-15,-0.9314264144345339,0,1,1,0,0
2023,Walker Harris,North Carolina Central,2,1,48,1.5384474768944685,1,1,1,0,0
2023,Walker Harris,North Carolina Central,2,7,7,2.607148468017737,1,1,1,0,1
2023,Walker Harris,North Carolina Central,1,15,11,1.4395953580267538,1,1,1,0,0
2023,Walker Harris,North Carolina Central,2,4,35,1.2402979981661186,1,1,1,0,0
2023,Walker Harris,North Carolina Central,1,10,4,-0.1670469651624733,0,1,1,0,0
2023,Walker Harris,North Carolina Central,1,5,0,-0.8494965583752377,0,1,1,0,0
2023,Walker Harris,North Carolina Central,1,10,0,-1.1590089706435955,0,1,0,0,0
2023,Walker Harris,North Carolina Central,2,10,6,0.318614591882568,1,1,1,0,0
2023,Walker Harris,North Carolina Central,3,4,13,2.0527031326692793,1,1,1,0,0
2023,Walker Harris,North Carolina Central,1,10,4,-0.0672821190442117,0,1,1,0,0
2023,Walker Harris,North Carolina Central,3,8,15,2.447463103140673,1,1,0,0,0
2023,Walker Harris,North Carolina Central,1,10,0,-1.1496266880203319,0,1,0,0,0
2023,Walker Harris,North Carolina Central,1,10,9,0.9832760023277703,1,1,1,0,0
2023,Walker Harris,North Carolina Central,1,10,35,2.972588783776956,1,1,1,0,1
2024,Walker Harris,North Carolina Central,2,7,5,0.0761799593184067,1,1,1,0,0
2024,Walker Harris,North Carolina Central,3,2,17,2.4559306422255576,1,1,1,0,0
2024,Walker Harris,North Carolina Central,1,10,-2,-1.094424619858389,0,1,1,0,0
2024,Walker Harris,North Carolina Central,2,12,23,1.547003625307102,1,1,1,0,0
2024,Walker Harris,North Carolina Central,3,8,12,2.1289514840466044,1,1,1,0,0
2024,Walker Harris,North Carolina Central,1,10,4,-0.1622709044233037,0,1,1,0,0
2024,Walker Harris,North Carolina Central,1,10,34,1.256657714372677,1,1,1,0,0
2024,Walker Harris,North Carolina Central,1,10,0,-1.0146424556055624,0,1,0,0,0
2024,Walker Harris,North Carolina Central,3,5,0,-0.6307534784851327,0,1,0,0,0
2024,Walker Harris,North Carolina Central,2,7,0,-1.127138677334667,0,1,0,0,0
2024,Walker Harris,North Carolina Central,2,8,12,1.9497804139559507,1,1,1,0,0
2024,Walker Harris,North Carolina Central,3,7,0,-0.9262616248121232,0,1,0,0,0
2024,Walker Harris,North Carolina Central,1,10,0,-1.1430602484821704,0,1,0,0,0
2024,Walker Harris,North Carolina Central,3,10,0,-0.6418714100938061,0,1,0,0,0
2024,Walker Harris,North Carolina Central,1,10,0,-0.350740748439042,0,1,0,0,0
2024,Walker Harris,North Carolina Central,3,6,14,2.985158017687914,1,1,1,0,1
2024,Walker Harris,North Carolina Central,2,10,0,-0.6004605992346148,0,1,0,0,0
2024,Walker Harris,North Carolina Central,3,10,0,-0.30241592870214795,0,1,0,0,0
2024,Walker Harris,North Carolina Central,1,15,5,0.03844795620599584,1,1,1,0,0
2024,Walker Harris,North Carolina Central,2,10,9,0.6799361600947043,1,1,1,0,0
2024,Walker Harris,North Carolina Central,2,5,4,-0.117578978482432,0,1,1,0,0
2024,Walker Harris,North Carolina Central,1,10,39,3.1455381697085834,1,1,1,0,0
2024,Walker Harris,North Carolina Central,1,15,-1,-1.2492257777357985,0,1,1,0,0
2024,Walker Harris,North Carolina Central,3,22,13,1.0323331056648204,1,1,1,0,0
2024,Walker Harris,North Carolina Central,2,7,4,-0.1196399820443687,0,1,1,0,0
2024,Walker Harris,North Carolina Central,3,3,23,2.979729511141745,1,1,1,0,0
2024,Walker Harris,North Carolina Central,1,10,19,-3.810950856062659,0,1,0,1,0
2024,Walker Harris,North Carolina Central,3,11,0,-0.18530286564015608,0,1,0,0,0
2024,Walker Harris,North Carolina Central,1,10,0,-0.9690270974076257,0,1,0,0,0
2024,Walker Harris,North Carolina Central,2,10,14,1.567666321994876,1,1,1,0,0
2024,Walker Harris,North Carolina Central,2,5,30,2.890984266556751,1,1,1,0,1
2024,Walker Harris,North Carolina Central,1,10,5,0.081604517220205,1,1,1,0,0
2024,Walker Harris,North Carolina Central,1,10,0,-0.7029700220436519,0,1,0,0,0
