season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Will Rogers,Washington,4,5,0,-1.6086419826479226,0,1,0,0,0
2024,Will Rogers,Washington,3,16,11,1.1163522665764347,1,1,1,0,0
2024,Will Rogers,Washington,1,20,0,-0.84900845447528,0,1,0,0,0
2024,Will Rogers,Washington,3,6,17,1.4119171770975933,1,1,1,0,0
2024,Will Rogers,Washington,1,10,1,-0.2687904165419095,0,1,1,0,0
2024,Will Rogers,Washington,2,7,9,1.4612465461537116,1,1,1,0,0
2024,Will Rogers,Washington,2,12,0,-0.6275453147887351,0,1,0,0,0
2024,Will Rogers,Washington,3,12,-2,-0.40567295306540263,0,1,1,0,0
2024,Will Rogers,Washington,1,10,32,1.1824274488528344,1,1,1,0,0
2024,Will Rogers,Washington,2,3,0,-0.442558834081264,0,1,0,0,0
2024,Will Rogers,Washington,1,10,14,1.1488208545292942,1,1,1,0,0
2024,Will Rogers,Washington,2,6,8,1.2709868003247298,1,1,1,0,0
2024,Will Rogers,Washington,2,14,4,-0.1625413049888334,0,1,1,0,0
2024,Will Rogers,Washington,3,10,0,-0.8853276299465483,0,1,0,0,0
2024,Will Rogers,Washington,1,10,8,0.9228976525664996,1,1,1,0,0
2024,Will Rogers,Washington,2,2,13,0.3589251116167204,1,1,1,0,0
2024,Will Rogers,Washington,1,10,18,1.6707351745808443,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.8947814664467213,0,1,0,0,0
2024,Will Rogers,Washington,1,10,0,-1.0146424556055624,0,1,0,0,0
2024,Will Rogers,Washington,2,10,9,0.9620281040838102,1,1,1,0,0
2024,Will Rogers,Washington,1,10,4,-0.1543469215353017,0,1,1,0,0
2024,Will Rogers,Washington,1,10,23,0.6487269168259284,1,1,1,0,0
2024,Will Rogers,Washington,3,4,7,0.934112449899848,1,1,1,0,0
2024,Will Rogers,Washington,3,16,15,0.8982038661365426,1,1,1,0,0
2024,Will Rogers,Washington,1,10,23,0.6487269168259284,1,1,1,0,0
2024,Will Rogers,Washington,1,10,3,-0.111402529616803,0,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Will Rogers,Washington,2,10,6,0.16823773848787482,1,1,1,0,0
2024,Will Rogers,Washington,3,4,1,-0.36836539096070187,0,1,1,0,0
2024,Will Rogers,Washington,1,10,12,0.33655701186469145,1,1,1,0,0
2024,Will Rogers,Washington,1,10,9,1.3649000856171405,1,1,1,0,0
2024,Will Rogers,Washington,3,2,0,-0.7843326522321599,0,1,0,0,0
2024,Will Rogers,Washington,1,10,3,-0.2150808966639328,0,1,1,0,0
2024,Will Rogers,Washington,2,7,5,0.06947201550415816,1,1,1,0,0
2024,Will Rogers,Washington,3,2,1,-0.41795260289068104,0,1,1,0,0
2024,Will Rogers,Washington,4,1,29,3.686410538429132,1,1,1,0,0
2024,Will Rogers,Washington,1,10,41,3.2405196258965194,1,1,1,0,1
2024,Will Rogers,Washington,2,7,13,2.67432172293868,1,1,1,0,1
2024,Will Rogers,Washington,1,10,20,1.7662029256242668,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.997770018980635,0,1,0,0,0
2024,Will Rogers,Washington,2,10,26,1.86983647541018,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.362321296557512,0,1,0,0,0
2024,Will Rogers,Washington,2,10,0,-0.446734032487145,0,1,0,0,0
2024,Will Rogers,Washington,3,10,15,1.725312438968205,1,1,1,0,0
2024,Will Rogers,Washington,2,1,1,1.900352237473006,1,1,1,0,1
2024,Will Rogers,Washington,1,10,21,1.5102945805625723,1,1,1,0,0
2024,Will Rogers,Washington,1,10,7,0.4132162669128242,1,1,1,0,0
2024,Will Rogers,Washington,2,3,6,-0.043245584043056,0,1,1,0,0
2024,Will Rogers,Washington,2,5,32,1.002001520361373,1,1,1,0,0
2024,Will Rogers,Washington,2,6,11,0.370731555145729,1,1,1,0,0
2024,Will Rogers,Washington,1,10,9,0.619457208414883,1,1,1,0,0
2024,Will Rogers,Washington,2,10,-1,-0.17236428936946432,0,1,1,0,0
2024,Will Rogers,Washington,3,11,0,-0.05419539411709454,0,1,0,0,0
2024,Will Rogers,Washington,1,10,17,1.516051907682006,1,1,1,0,0
2024,Will Rogers,Washington,1,10,7,0.6896384238174758,1,1,1,0,0
2024,Will Rogers,Washington,2,3,20,1.0301186181488917,1,1,1,0,0
2024,Will Rogers,Washington,1,10,31,2.841946170072948,1,1,1,0,1
2024,Will Rogers,Washington,1,10,14,1.2227390832564555,1,1,1,0,0
2024,Will Rogers,Washington,2,7,0,-0.4998094827553564,0,1,0,0,0
2024,Will Rogers,Washington,1,10,0,-1.1077677360468863,0,1,0,0,0
2024,Will Rogers,Washington,3,10,18,3.3361289139182597,1,1,1,0,0
2024,Will Rogers,Washington,1,10,6,0.2876660938940478,1,1,1,0,0
2024,Will Rogers,Washington,2,9,39,3.665836549349619,1,1,1,0,0
2024,Will Rogers,Washington,2,10,5,0.0513637794967626,1,1,1,0,0
2024,Will Rogers,Washington,3,5,0,-0.7342260893461016,0,1,0,0,0
2024,Will Rogers,Washington,1,10,0,-1.041155320344064,0,1,0,0,0
2024,Will Rogers,Washington,3,6,6,1.6601495810694509,1,1,1,0,0
2024,Will Rogers,Washington,2,13,12,0.9752810656636219,1,1,1,0,0
2024,Will Rogers,Washington,2,7,21,0.6670745325099645,1,1,1,0,0
2024,Will Rogers,Washington,2,14,0,-0.4178558944810204,0,1,0,0,0
2024,Will Rogers,Washington,3,14,8,0.3183787277652607,1,1,1,0,0
2024,Will Rogers,Washington,1,10,15,1.320854515577646,1,1,1,0,0
2024,Will Rogers,Washington,2,4,5,0.5933280805103037,1,1,1,0,0
2024,Will Rogers,Washington,1,10,2,-0.4014146126260343,0,1,1,0,0
2024,Will Rogers,Washington,2,8,6,0.2417800205112695,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.4710467974920665,0,1,0,0,0
2024,Will Rogers,Washington,3,20,13,0.13539943455732129,1,1,1,0,0
2024,Will Rogers,Washington,2,22,8,0.4235895937570806,1,1,1,0,0
2024,Will Rogers,Washington,3,14,8,0.5880319239595408,1,1,1,0,0
2024,Will Rogers,Washington,1,10,45,2.9258530565080747,1,1,1,0,0
2024,Will Rogers,Washington,3,10,9,0.292711752001994,1,1,1,0,0
2024,Will Rogers,Washington,2,10,0,-0.2792458253567104,0,1,0,0,0
2024,Will Rogers,Washington,1,10,6,0.4024109850387187,1,1,1,0,0
2024,Will Rogers,Washington,2,4,0,-1.2014236307562935,0,1,0,0,0
2024,Will Rogers,Washington,2,7,0,-0.6162594068002241,0,1,0,0,0
2024,Will Rogers,Washington,3,7,11,2.210370167195853,1,1,1,0,0
2024,Will Rogers,Washington,2,8,11,1.7998799658596933,1,1,1,0,0
2024,Will Rogers,Washington,1,10,46,3.5432874081344643,1,1,1,0,1
2024,Will Rogers,Washington,1,10,18,1.612438422209995,1,1,1,0,0
2024,Will Rogers,Washington,2,7,18,0.5387246157890324,1,1,1,0,0
2024,Will Rogers,Washington,3,3,0,-0.301544994122148,0,1,0,0,0
2024,Will Rogers,Washington,2,8,13,2.737694066050457,1,1,1,0,1
2024,Will Rogers,Washington,2,8,0,-1.0672177675460617,0,1,0,0,0
2024,Will Rogers,Washington,3,2,8,1.7793380959899652,1,1,1,0,0
2024,Will Rogers,Washington,2,11,9,0.7186844632893212,1,1,1,0,0
2024,Will Rogers,Washington,1,10,5,0.086001265551813,1,1,1,0,0
2024,Will Rogers,Washington,1,10,13,0.86761573377888,1,1,1,0,0
2024,Will Rogers,Washington,3,3,0,-0.5139435334013278,0,1,0,0,0
2024,Will Rogers,Washington,1,10,9,1.023085236154417,1,1,1,0,0
2024,Will Rogers,Washington,2,11,16,1.1076874601330764,1,1,1,0,0
2024,Will Rogers,Washington,2,10,10,0.622933888809941,1,1,1,0,0
2024,Will Rogers,Washington,3,3,0,-0.17454962217657322,0,1,0,0,0
2024,Will Rogers,Washington,1,10,7,0.529748291879379,1,1,1,0,0
2024,Will Rogers,Washington,1,10,1,-0.482852560268812,0,1,1,0,0
2024,Will Rogers,Washington,2,9,5,0.0602300066883003,1,1,1,0,0
2024,Will Rogers,Washington,3,4,9,0.7339046180119086,1,1,1,0,0
2024,Will Rogers,Washington,2,1,0,-0.56838331633014,0,1,0,0,0
2024,Will Rogers,Washington,1,10,5,0.0885892770886229,1,1,1,0,0
2024,Will Rogers,Washington,2,12,18,2.7896286879025842,1,1,1,0,0
2024,Will Rogers,Washington,2,7,11,1.5185064972004712,1,1,1,0,0
2024,Will Rogers,Washington,2,23,9,0.71722525067295,1,1,1,0,0
2024,Will Rogers,Washington,3,14,5,0.0468598202024193,1,1,1,0,0
2024,Will Rogers,Washington,4,9,0,-1.3253740971428503,0,1,0,0,0
2024,Will Rogers,Washington,2,8,12,1.9324074538807263,1,1,1,0,0
2024,Will Rogers,Washington,3,3,0,-0.301544994122148,0,1,0,0,0
2024,Will Rogers,Washington,1,10,15,0.4037858648282832,1,1,1,0,0
2024,Will Rogers,Washington,3,17,10,1.0997016932113226,1,1,1,0,0
2024,Will Rogers,Washington,2,8,6,0.1822193299011143,1,1,1,0,0
2024,Will Rogers,Washington,2,10,8,0.4632936254277196,1,1,1,0,0
2024,Will Rogers,Washington,3,2,0,-0.573745167031543,0,1,0,0,0
2024,Will Rogers,Washington,3,2,0,-0.306522417191541,0,1,0,0,0
2024,Will Rogers,Washington,4,2,0,-4.148647298745598,0,1,0,0,0
2024,Will Rogers,Washington,1,10,21,0.96397802655909,1,1,1,0,0
2024,Will Rogers,Washington,2,10,51,5.05356637570628,1,1,1,0,1
2024,Will Rogers,Washington,2,21,7,0.047036134538315,1,1,1,0,0
2024,Will Rogers,Washington,3,14,11,0.2903518707133008,1,1,1,0,0
2024,Will Rogers,Washington,1,10,5,0.0891040604736997,1,1,1,0,0
2024,Will Rogers,Washington,2,5,17,1.8126979604881166,1,1,1,0,0
2024,Will Rogers,Washington,1,10,17,1.229744226447755,1,1,1,0,0
2024,Will Rogers,Washington,2,14,0,-0.8329712476876827,0,1,0,0,0
2024,Will Rogers,Washington,3,14,9,0.7668771634180463,1,1,1,0,0
2024,Will Rogers,Washington,1,10,12,2.5300945420359255,1,1,1,0,1
2024,Will Rogers,Washington,1,10,8,0.8892177775023722,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-1.087995077167328,0,1,0,0,0
2024,Will Rogers,Washington,2,10,0,-0.6938325521359872,0,1,0,0,0
2024,Will Rogers,Washington,3,10,8,0.450301744733177,1,1,1,0,0
2024,Will Rogers,Washington,4,2,30,3.6030915766426537,1,1,1,0,0
2024,Will Rogers,Washington,1,10,9,0.641938297485138,1,1,1,0,0
2024,Will Rogers,Washington,2,1,0,-0.600022366765905,0,1,0,0,0
2024,Will Rogers,Washington,2,2,10,0.4776775313054511,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.9391692565688832,0,1,0,0,0
2024,Will Rogers,Washington,2,10,2,-0.6121107822367531,0,1,1,0,0
2024,Will Rogers,Washington,3,8,3,-0.3918357411686628,0,1,1,0,0
2024,Will Rogers,Washington,1,10,8,1.0249684172285607,1,1,1,0,0
2024,Will Rogers,Washington,1,10,36,2.9373165647897705,1,1,1,0,0
2024,Will Rogers,Washington,2,9,0,-0.6814576725824767,0,1,0,0,0
2024,Will Rogers,Washington,2,13,2,-0.16845643400203336,0,1,1,0,0
2024,Will Rogers,Washington,3,11,39,4.183762557243445,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.6630222646782312,0,1,0,0,0
2024,Will Rogers,Washington,3,8,13,1.476190165407747,1,1,1,0,0
2024,Will Rogers,Washington,2,3,0,-0.413137785818898,0,1,0,0,0
2024,Will Rogers,Washington,3,3,3,2.624562399778991,1,1,1,0,1
2024,Will Rogers,Washington,1,10,0,-0.8305196050291288,0,1,0,0,0
2024,Will Rogers,Washington,3,6,4,-0.0719298170200613,0,1,1,0,0
2024,Will Rogers,Washington,1,10,16,1.4450731004216504,1,1,1,0,0
2024,Will Rogers,Washington,1,10,16,2.5687227212923744,1,1,1,0,1
2024,Will Rogers,Washington,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Will Rogers,Washington,3,7,0,-0.26587881160037785,0,1,0,0,0
2024,Will Rogers,Washington,2,6,11,0.236292474320383,1,1,1,0,0
2024,Will Rogers,Washington,1,10,4,-0.0380297652801275,0,1,1,0,0
2024,Will Rogers,Washington,1,10,16,0.5749333491639435,1,1,1,0,0
2024,Will Rogers,Washington,2,9,17,2.3733866608417564,1,1,1,0,0
2024,Will Rogers,Washington,2,7,12,1.6166219295216617,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.291297448934314,0,1,0,0,0
2024,Will Rogers,Washington,1,10,-1,-0.8014893508157099,0,1,1,0,0
2024,Will Rogers,Washington,2,11,13,1.8287336769592812,1,1,1,0,0
2024,Will Rogers,Washington,2,17,17,2.8795511013315354,1,1,1,0,0
2024,Will Rogers,Washington,3,5,0,-0.9898566543827166,0,1,0,0,0
2024,Will Rogers,Washington,1,10,14,0.63456791499412,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.5824837756999947,0,1,0,0,0
2024,Will Rogers,Washington,3,20,9,0.678419989658261,1,1,1,0,0
2024,Will Rogers,Washington,2,9,15,2.277082023754758,1,1,1,0,0
2024,Will Rogers,Washington,1,10,6,0.3608772046980507,1,1,1,0,0
2024,Will Rogers,Washington,2,4,9,0.5957684525356371,1,1,1,0,0
2024,Will Rogers,Washington,3,12,0,-0.6346810370247411,0,1,0,0,0
2024,Will Rogers,Washington,2,6,14,0.8514359617812648,1,1,1,0,0
2024,Will Rogers,Washington,1,10,4,-0.1162027181056828,0,1,1,0,0
2024,Will Rogers,Washington,3,4,7,1.932822063181664,1,1,1,0,0
2024,Will Rogers,Washington,1,10,17,0.9556431188293519,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.8305196050291288,0,1,0,0,0
2024,Will Rogers,Washington,1,10,2,-0.686234543960909,0,1,1,0,0
2024,Will Rogers,Washington,3,6,9,2.1241402244540044,1,1,1,0,0
2024,Will Rogers,Washington,2,5,5,2.43857769152992,1,1,1,0,1
2024,Will Rogers,Washington,2,10,15,1.478081724778296,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.350740748439042,0,1,0,0,0
2024,Will Rogers,Washington,3,3,9,0.631145971172445,1,1,1,0,0
2024,Will Rogers,Washington,3,1,0,-1.1398418153687135,0,1,0,0,0
2024,Will Rogers,Washington,3,2,7,1.540441970203255,1,1,1,0,0
2024,Will Rogers,Washington,1,10,3,-0.2957674139440157,0,1,1,0,0
2024,Will Rogers,Washington,2,3,4,0.1659844595404394,1,1,1,0,0
2024,Will Rogers,Washington,1,10,4,-0.1142886249388964,0,1,1,0,0
2024,Will Rogers,Washington,3,6,0,-0.3146897268978579,0,1,0,0,0
2024,Will Rogers,Washington,2,10,10,1.9619683535445382,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-1.1618692012952412,0,1,0,0,0
2024,Will Rogers,Washington,1,10,20,1.8011418824049565,1,1,1,0,0
2024,Will Rogers,Washington,3,10,0,-0.6365330976772938,0,1,0,0,0
2024,Will Rogers,Washington,2,10,0,-0.4016550456030307,0,1,0,0,0
2024,Will Rogers,Washington,1,10,0,-0.340019558909725,0,1,0,0,0
2024,Will Rogers,Washington,2,1,4,-0.453575383982086,0,1,1,0,0
2024,Will Rogers,Washington,2,8,10,1.7664676660434147,1,1,1,0,0
2024,Will Rogers,Washington,1,10,3,-0.375732386813203,0,1,1,0,0
2024,Will Rogers,Washington,2,7,22,1.4566249898434762,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.4346450377339437,0,1,0,0,0
2024,Will Rogers,Washington,3,9,32,-3.4491864501521583,0,1,0,1,0
2024,Will Rogers,Washington,1,10,4,-0.1248442803913914,0,1,1,0,0
2024,Will Rogers,Washington,4,11,0,-0.946788888610814,0,1,0,0,0
2024,Will Rogers,Washington,3,23,19,0.3121089184040047,1,1,1,0,0
2024,Will Rogers,Washington,4,4,3,0.07201717597026658,1,1,1,0,0
2024,Will Rogers,Washington,2,23,15,0.22115591691208092,1,1,1,0,0
2024,Will Rogers,Washington,3,6,5,0.04833820188233151,1,1,1,0,0
2024,Will Rogers,Washington,1,10,15,1.2093331241084613,1,1,1,0,0
2024,Will Rogers,Washington,2,9,11,1.2325661174930997,1,1,1,0,0
2024,Will Rogers,Washington,3,7,4,-0.04789853236044017,0,1,1,0,0
2024,Will Rogers,Washington,1,10,18,1.3248781425797755,1,1,1,0,0
2024,Will Rogers,Washington,3,1,0,-0.8875951488614715,0,1,0,0,0
2024,Will Rogers,Washington,1,10,10,0.8350381090299867,1,1,1,0,0
2024,Will Rogers,Washington,2,11,13,0.853478869593751,1,1,1,0,0
2024,Will Rogers,Washington,1,10,22,1.9760233075073952,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-1.0250974847844603,0,1,0,0,0
2024,Will Rogers,Washington,3,8,5,0.0641548058247654,1,1,1,0,0
2024,Will Rogers,Washington,2,8,4,-0.048377543036317,0,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.7215426143188567,0,1,0,0,0
2024,Will Rogers,Washington,2,11,11,1.7894841709239646,1,1,1,0,0
2024,Will Rogers,Washington,3,5,9,1.8819264387888814,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Will Rogers,Washington,3,4,1,-0.28341833120804427,0,1,1,0,0
2024,Will Rogers,Washington,1,10,8,0.9979151532889787,1,1,1,0,0
2024,Will Rogers,Washington,3,4,-1,-0.3566192363340105,0,1,1,0,0
2024,Will Rogers,Washington,2,4,0,-0.362082681028621,0,1,0,0,0
2024,Will Rogers,Washington,1,10,6,0.1799366018014815,1,1,1,0,0
2024,Will Rogers,Washington,1,10,36,1.0294605658850222,1,1,1,0,0
2024,Will Rogers,Washington,1,10,10,0.8268953732448417,1,1,1,0,0
2024,Will Rogers,Washington,3,10,9,0.136006100468661,1,1,1,0,0
2024,Will Rogers,Washington,1,10,15,1.087564093379024,1,1,1,0,0
2024,Will Rogers,Washington,2,12,12,1.641051476430535,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.557844891990525,0,1,0,0,0
2024,Will Rogers,Washington,3,4,5,0.577977227043675,1,1,1,0,0
2024,Will Rogers,Washington,1,15,0,-0.4436224732057036,0,1,0,0,0
2024,Will Rogers,Washington,3,12,0,-0.8215683017245536,0,1,0,0,0
2024,Will Rogers,Washington,2,7,0,-0.8677535954355031,0,1,0,0,0
2024,Will Rogers,Washington,3,7,15,2.90349909614845,1,1,1,0,0
2024,Will Rogers,Washington,1,10,3,-0.3535783157576075,0,1,1,0,0
2024,Will Rogers,Washington,2,7,0,-1.0972327822548973,0,1,0,0,0
2024,Will Rogers,Washington,3,7,6,0.3093514069126648,1,1,1,0,0
2024,Will Rogers,Washington,2,7,14,0.632538105894621,1,1,1,0,0
2024,Will Rogers,Washington,1,10,17,0.5590816772895444,1,1,1,0,0
2024,Will Rogers,Washington,2,8,7,0.276606672189754,1,1,1,0,0
2024,Will Rogers,Washington,3,11,2,-0.5561769096304764,0,1,1,0,0
2024,Will Rogers,Washington,2,11,0,-0.754891520188597,0,1,0,0,0
2024,Will Rogers,Washington,2,5,8,0.3879158746694655,1,1,1,0,0
2024,Will Rogers,Washington,3,5,8,2.030288460594651,1,1,1,0,0
2024,Will Rogers,Washington,2,5,0,-1.192809583864598,0,1,0,0,0
2024,Will Rogers,Washington,1,10,5,0.1068990350586356,1,1,1,0,0
2024,Will Rogers,Washington,2,6,36,2.748580551676387,1,1,1,0,0
2024,Will Rogers,Washington,1,10,17,1.516051907682006,1,1,1,0,0
2024,Will Rogers,Washington,2,8,2,-0.6090363250622879,0,1,1,0,0
2024,Will Rogers,Washington,3,6,0,-0.767058733604892,0,1,0,0,0
2024,Will Rogers,Washington,1,10,21,1.8928575820361135,1,1,1,0,0
2024,Will Rogers,Washington,2,7,18,1.7002314485424286,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.6351269961541294,0,1,0,0,0
2024,Will Rogers,Washington,4,7,0,-2.2339512090640365,0,1,0,0,0
2024,Will Rogers,Washington,4,7,0,-2.2339512090640365,0,1,0,0,0
2024,Will Rogers,Washington,1,10,0,-0.6723571521309859,0,1,1,0,0
2024,Will Rogers,Washington,2,10,16,2.061074891403101,1,1,1,0,0
2024,Will Rogers,Washington,2,18,0,-0.25076501504017656,0,1,0,0,0
2024,Will Rogers,Washington,3,18,0,-0.1154083243834787,0,1,0,0,0
2024,Will Rogers,Washington,1,10,0,-0.814236079442537,0,1,0,0,0
2024,Will Rogers,Washington,2,10,9,0.816992639830001,1,1,1,0,0
2024,Will Rogers,Washington,1,10,7,0.342802009978914,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.3125697195395781,0,1,0,0,0
2024,Will Rogers,Washington,3,3,11,0.8011645973520718,1,1,1,0,0
2024,Will Rogers,Washington,3,6,-1,-0.5615232676425457,0,1,1,0,0
2024,Will Rogers,Washington,1,10,8,0.9979151532889787,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-0.814236079442537,0,1,0,0,0
2024,Will Rogers,Washington,3,9,10,1.9770220135561944,1,1,1,0,0
2024,Will Rogers,Washington,2,9,5,0.0541617765901261,1,1,1,0,0
2024,Will Rogers,Washington,1,10,5,0.1104483361431646,1,1,1,0,0
2024,Will Rogers,Washington,1,10,7,0.604642460086338,1,1,1,0,0
2024,Will Rogers,Washington,3,12,0,-0.2680662018305293,0,1,0,0,0
2024,Will Rogers,Washington,1,10,6,0.3333748010525683,1,1,1,0,0
2024,Will Rogers,Washington,1,10,3,-0.4199785122886155,0,1,1,0,0
2024,Will Rogers,Washington,2,7,9,-1.5295106941336343,0,1,0,1,0
2024,Will Rogers,Washington,2,12,8,0.3505252297147683,1,1,1,0,0
2024,Will Rogers,Washington,3,4,2,-0.286169567325814,0,1,1,0,0
2024,Will Rogers,Washington,1,10,5,0.1013807738833972,1,1,1,0,0
2024,Will Rogers,Washington,1,10,7,0.7113806413121412,1,1,1,0,0
2024,Will Rogers,Washington,3,2,0,-0.9737649945886115,0,1,0,0,0
2024,Will Rogers,Washington,1,10,10,0.9206008362900986,1,1,1,0,0
2024,Will Rogers,Washington,1,10,11,1.013604104343493,1,1,1,0,0
2024,Will Rogers,Washington,1,10,0,-1.1143038065675126,0,1,0,0,0
2024,Will Rogers,Washington,3,9,0,-0.7807260036973148,0,1,0,0,0
2024,Will Rogers,Washington,2,7,18,0.678786644967061,1,1,1,0,0
2024,Will Rogers,Washington,1,10,8,0.9104368550610653,1,1,1,0,0
2024,Will Rogers,Washington,1,10,15,1.4223934674298417,1,1,1,0,0
