season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Xaiver Lankford,Alabama A&M,1,10,0,-1.087995077167328,0,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,3,6,5,0.0610084304594656,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,3,12,0,-0.6210901835874116,0,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,1,10,29,1.9834966108759036,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,1,10,1,-0.4625042143062129,0,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,2,9,30,2.3960023647747324,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,3,7,0,-0.7450790543892561,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,2,6,9,1.2390401039807273,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,3,11,16,2.6580307758595794,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,1,10,0,-0.5586693796725282,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,3,1,0,-0.5611990698005247,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,1,10,0,-1.1527089917962545,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,2,8,0,-0.9702680942571682,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,4,5,0,-1.996562289628013,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,2,10,13,2.0589592814322213,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,2,8,8,1.2876417883520244,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,2,8,25,2.844124962763402,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,4,1,4,1.879625719403137,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,2,4,0,-0.697118400245742,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,3,4,0,-0.8749794830233848,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,2,9,0,-1.0830328413329795,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,3,4,0,-0.8775745478085017,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,3,4,0,-0.8775745478085017,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,1,10,6,0.3333748010525683,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,2,4,9,0.9874797145250778,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,2,4,9,0.9874797145250778,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,2,7,2,-0.3991022731072178,0,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,3,5,9,1.9932130335028466,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,1,10,0,-1.1387859939569847,0,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,1,10,36,1.1561392942440314,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,1,10,0,-0.2977696357406735,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,2,10,0,-0.3089040454322213,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,2,6,0,-0.5148523715626974,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,1,10,4,-0.0884321258012219,0,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,3,6,47,4.2010411083709105,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,1,10,0,-0.534372502378378,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,2,10,0,-0.732204526648056,0,1,0,0,0
2022,Xaiver Lankford,Alabama A&M,2,11,18,1.9698824285990852,1,1,1,0,0
2022,Xaiver Lankford,Alabama A&M,1,10,0,-0.908489395271188,0,1,0,0,0
