season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Zach Gibson,Georgia State,1,10,7,0.6465727155045757,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,3,8,0.3978862672490813,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,9,0.819805400875158,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,1,2,-0.443381320082038,0,1,1,0,0
2024,Zach Gibson,Georgia State,2,6,24,2.807259118708252,1,1,1,0,1
2024,Zach Gibson,Georgia State,1,10,-1,-0.6407618928355917,0,1,1,0,0
2024,Zach Gibson,Georgia State,3,6,27,3.4300662740612937,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,5,15,0.6385906582515304,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,4,0,-0.476369848169347,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,4,0,-0.5441679919678444,0,1,0,0,0
2024,Zach Gibson,Georgia State,2,5,-2,-1.2917221741658942,0,1,1,0,0
2024,Zach Gibson,Georgia State,2,8,11,1.571568711344417,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,12,13,2.4090498767303794,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,6,0.1981539364012105,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,4,0,-0.5061751830160085,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,4,7,0.4890941539771315,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,13,2.538929215045847,1,1,1,0,1
2024,Zach Gibson,Georgia State,2,3,3,2.211424613960093,1,1,1,0,1
2024,Zach Gibson,Georgia State,3,4,7,0.421939924055667,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,10,6,0.146328969893727,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,0,-0.4181180581276075,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,2,0,-0.306522417191541,0,1,0,0,0
2024,Zach Gibson,Georgia State,1,10,13,0.551957857572246,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,11,0.209795504285248,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,6,20,1.5284404873273567,1,1,1,0,0
2024,Zach Gibson,Georgia State,3,9,0,-0.09281302057629047,0,1,0,0,0
2024,Zach Gibson,Georgia State,2,9,0,-0.21376129491922757,0,1,0,0,0
2024,Zach Gibson,Georgia State,2,10,13,0.7117853441595292,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,10,6,0.3119242061344334,1,1,1,0,0
2024,Zach Gibson,Georgia State,3,9,9,2.7141719942752243,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,8,0.577261746429441,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,0,-0.2817215454175761,0,1,0,0,0
2024,Zach Gibson,Georgia State,4,10,0,-3.3750957682847265,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,10,0,-0.4881360085064532,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,9,0,-0.18876768235831598,0,1,0,0,0
2024,Zach Gibson,Georgia State,2,15,6,0.07128009613526753,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,15,0,-0.32565561419001554,0,1,0,0,0
2024,Zach Gibson,Georgia State,4,9,0,0.26231629838403325,1,1,0,0,0
2024,Zach Gibson,Georgia State,1,10,0,-0.4404078956667625,0,1,0,0,0
2024,Zach Gibson,Georgia State,1,10,9,1.3846699650971743,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,0,-0.997770018980635,0,1,0,0,0
2024,Zach Gibson,Georgia State,2,25,7,0.1853263288785154,1,1,1,0,0
2024,Zach Gibson,Georgia State,3,18,7,0.25103595786845734,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,13,11,1.4899280994144757,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,11,5,0.033942843071097,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,21,1.7555753220056263,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,10,24,1.611632157772721,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,4,4,2.3338902404479605,1,1,1,0,1
2024,Zach Gibson,Georgia State,2,7,15,2.056291907469296,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,31,1.23696430348385,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,10,0.180209804991055,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,0,-1.1618692012952412,0,1,1,0,0
2024,Zach Gibson,Georgia State,2,10,0,-0.9098186366856273,0,1,0,0,0
2024,Zach Gibson,Georgia State,1,10,3,-0.2957674139440157,0,1,1,0,0
2024,Zach Gibson,Georgia State,2,8,29,1.2654084945703996,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,8,0,-0.279600631028688,0,1,0,0,0
2024,Zach Gibson,Georgia State,1,10,0,-0.3826565410356668,0,1,0,0,0
2024,Zach Gibson,Georgia State,2,10,8,0.27930032150682393,1,1,1,0,0
2024,Zach Gibson,Georgia State,4,12,0,0.3726371241038615,1,1,0,0,0
2024,Zach Gibson,Georgia State,1,10,5,0.0945451165334843,1,1,1,0,0
2024,Zach Gibson,Georgia State,3,3,0,-0.5139435334013278,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,6,4,-0.08114079933005858,0,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,7,0.604642460086338,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,14,0.4403541926654935,1,1,1,0,0
2024,Zach Gibson,Georgia State,3,5,7,2.789647271242838,1,1,1,0,1
2024,Zach Gibson,Georgia State,3,13,0,-0.6039382602387847,0,1,0,0,0
2024,Zach Gibson,Georgia State,1,10,6,0.3120620714803497,1,1,1,0,0
2024,Zach Gibson,Georgia State,3,3,5,1.0894055842885155,1,1,1,0,0
2024,Zach Gibson,Georgia State,3,6,11,1.107428608883218,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,10,0.180209804991055,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,19,0,-0.3982148462361403,0,1,0,0,0
2024,Zach Gibson,Georgia State,2,19,6,0.1290618285418753,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,10,0.9637399716298223,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,7,3,-0.4188337363807956,0,1,1,0,0
2024,Zach Gibson,Georgia State,3,4,20,-1.6848695709099974,0,1,0,1,0
2024,Zach Gibson,Georgia State,2,8,0,-0.4788075161366292,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,8,26,3.395964073913558,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,14,6,0.2761776835035938,1,1,1,0,0
2024,Zach Gibson,Georgia State,3,8,7,0.5386704814986452,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,0,-0.7519361608312708,0,1,0,0,0
2024,Zach Gibson,Georgia State,2,10,20,1.2234416895236,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,4,-0.0217352641607655,0,1,1,0,0
2024,Zach Gibson,Georgia State,2,10,0,-0.2792458253567104,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,10,7,0.162119182355713,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,9,7,0.1770956575206739,1,1,1,0,0
2024,Zach Gibson,Georgia State,3,2,-1,-0.28881078484014644,0,1,1,0,0
2024,Zach Gibson,Georgia State,2,20,9,0.0990721956965004,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,9,6,0.2905653823863519,1,1,1,0,0
2024,Zach Gibson,Georgia State,3,3,2,-0.536516941819774,0,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,0,-0.8947814664467213,0,1,0,0,0
2024,Zach Gibson,Georgia State,1,10,9,0.7571815371998136,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,2,0,-0.854701227650125,0,1,0,0,0
2024,Zach Gibson,Georgia State,2,2,0,-0.476893758740638,0,1,0,0,0
2024,Zach Gibson,Georgia State,2,10,0,-0.48647765014911126,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,10,0,-0.2338253757696238,0,1,0,0,0
2024,Zach Gibson,Georgia State,4,5,5,2.3052001809663993,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,8,1.004806098349837,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,9,0.9832760023277703,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,11,45,3.5870269682656626,1,1,1,0,0
2024,Zach Gibson,Georgia State,2,8,0,-0.7734170183439133,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,15,0,-0.13315889525431412,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,2,19,2.415488341530425,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,0,-0.7519361608312708,0,1,0,0,0
2024,Zach Gibson,Georgia State,3,8,-2,-1.4460928615674857,0,1,1,0,0
2024,Zach Gibson,Georgia State,2,11,36,3.6901953265996905,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,2,-0.4549295700351248,0,1,1,0,0
2024,Zach Gibson,Georgia State,2,8,9,0.8556775293743538,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,10,2,-0.285086032247587,0,1,1,0,0
2024,Zach Gibson,Georgia State,2,8,18,0.649149393199231,1,1,1,0,0
2024,Zach Gibson,Georgia State,1,9,9,2.424237823646468,1,1,1,0,1
