player_name,college_college,draft_year,final_season,draft_round,draft_pick,pass_attempts,completions,passing_yards,passing_tds,interceptions,games_played,opponents,leaf_name,college_nfl,nfl_team,round,pick,rookie_games,rookie_attempts,rookie_leaf_mean,rookie_leaf_final,rookie_leaf_std,rookie_leaf_min,rookie_leaf_max,rookie_epa_mean,rookie_cpoe_mean,college_games_played,competition_tier
Jameis Winston,Florida State,2015,2014,1,1,,,,,,14,,J.Winston,Florida St.,TAM,1,1,16,0.0,-0.0116285458922431,0.051797122694383,0.0742443535778879,-0.1495537869123131,0.0711684582746312,,,14,High
Marcus Mariota,Oregon,2015,2014,1,2,,,,,,15,,M.Mariota,Oregon,TEN,1,2,12,0.0,0.146068749741815,-0.1210482025371737,0.2321330128928809,-0.1210482025371737,0.7227518201400923,,,15,High
Sean Mannion,Oregon State,2015,2014,3,89,,,,,,12,,S.Mannion,Oregon St.,STL,3,89,1,0.0,-0.2030038375684063,-0.2030038375684063,,-0.2030038375684063,-0.2030038375684063,,,12,Medium
Jared Goff,California,2016,2015,1,1,,,,,,13,,J.Goff,California,LAR,1,1,7,0.0,-0.349221070892647,-0.4166481213427109,0.0426897973852568,-0.4166481213427109,-0.2956947894589649,,,13,High
Carson Wentz,North Dakota State,2016,2015,1,2,,,,,,15,,C.Wentz,North Dakota St.,PHI,1,2,16,0.0,0.0035298668547335,-0.1027187517532201,0.0892159508910542,-0.1027187517532201,0.1772849619698203,,,15,High
Paxton Lynch,Memphis,2016,2015,1,26,,,,,,13,,P.Lynch,Memphis,DEN,1,26,3,0.0,0.0623433125620617,-0.1180947771756119,0.1683727764627029,-0.1180947771756119,0.2152597551649654,,,13,High
Jacoby Brissett,NC State,2016,2015,3,91,,,,,,13,,J.Brissett,North Carolina St.,NWE,3,91,3,0.0,-0.1133930913547199,-0.1178587307236281,0.0363818881815341,-0.1473360278672522,-0.0749845154732795,,,13,High
Cody Kessler,USC,2016,2015,3,93,,,,,,14,,C.Kessler,USC,CLE,3,93,9,0.0,0.0269956447216944,-0.0226229105930739,0.0565238820060131,-0.0650652152528146,0.1029734395053259,,,14,High
Connor Cook,Michigan State,2016,2015,4,100,,,,,,14,,C.Cook,Michigan St.,OAK,4,100,2,0.0,-0.4177917797697064,-0.3835223208363981,0.0484643335986724,-0.4520612387030147,-0.3835223208363981,,,14,High
Dak Prescott,Mississippi State,2016,2015,4,135,,,,,,13,,D.Prescott,Mississippi St.,DAL,4,135,17,0.0,0.1465490259269362,0.1355817368327831,0.0694981890248542,-0.0439418212548599,0.237641058765541,,,13,High
Cardale Jones,Ohio State,2016,2015,4,139,,,,,,13,,C.Jones,Ohio St.,BUF,4,139,1,0.0,-0.7074195124284335,-0.7074195124284335,,-0.7074195124284335,-0.7074195124284335,,,13,High
Kevin Hogan,Stanford,2016,2015,5,162,,,,,,14,,K.Hogan,Stanford,KAN,5,162,2,0.0,-0.4857403031757431,-0.4928174177030167,0.0100085513469379,-0.4928174177030167,-0.4786631886484695,,,14,High
Mitchell Trubisky,North Carolina,2017,2016,1,2,,,,,,13,,M.Trubisky,North Carolina,CHI,1,2,12,0.0,-0.1842378169193229,-0.1375972803816052,0.0649240380348819,-0.28675546907035,-0.1096368938430264,,,13,High
Patrick Mahomes,Texas Tech,2017,2016,1,10,,,,,,12,,P.Mahomes,Texas Tech,KAN,1,10,1,0.0,0.1709549461816212,0.1709549461816212,,0.1709549461816212,0.1709549461816212,,,12,Medium
Deshaun Watson,Clemson,2017,2016,1,12,,,,,,15,,D.Watson,Clemson,HOU,1,12,7,0.0,-0.2608106912645114,-0.0377194517988557,0.2203037507578218,-0.5577790634694866,-0.0377194517988557,,,15,High
DeShone Kizer,Notre Dame,2017,2016,2,52,,,,,,12,,D.Kizer,Notre Dame,CLE,2,52,15,0.0,-0.3139972880677403,-0.266158252781785,0.0744626942655992,-0.3904062420357641,-0.0871561129209942,,,12,Medium
C.J. Beathard,Iowa,2017,2016,3,104,,,,,,13,,C.Beathard,Iowa,SFO,3,104,6,0.0,-0.1707394729089748,-0.1421995180177211,0.0925781443603888,-0.2710037087241078,-0.0353267278726682,,,13,High
Nathan Peterman,Pittsburgh,2017,2016,5,171,,,,,,13,,N.Peterman,Pittsburgh,BUF,5,171,5,0.0,-0.2360363846321031,-0.4349038702671576,0.3904219733205055,-0.4851653544901579,0.4541608110838406,,,13,High
Baker Mayfield,Oklahoma,2018,2017,1,1,,,,,,14,,B.Mayfield,Oklahoma,CLE,1,1,14,0.0,0.0164108364982542,0.0835732515220013,0.1067068518290007,-0.1271251622549421,0.2181074211181653,,,14,High
Sam Darnold,USC,2018,2017,1,3,,,,,,14,,S.Darnold,USC,NYJ,1,3,13,0.0,-0.0145699298979516,-0.0116952271717492,0.0710505328405933,-0.0923932098160991,0.193145238944397,,,14,High
Josh Allen,Wyoming,2018,2017,1,7,,,,,,13,,J.Allen,Wyoming,BUF,1,7,12,0.0,-0.1207762878778059,-0.1300433451152344,0.0654715080717807,-0.201921209045198,-0.0094065166967847,,,13,High
Josh Rosen,UCLA,2018,2017,1,10,,,,,,13,,J.Rosen,UCLA,ARI,1,10,14,0.0,-0.2298309272198516,-0.3393928136885026,0.0878790587509586,-0.3393928136885026,-0.0335074528349192,,,13,High
Lamar Jackson,Louisville,2018,2017,1,32,,,,,,13,,L.Jackson,Louisville,BAL,1,32,13,0.0,-0.144389732611673,-0.0523321520049558,0.1542428156961182,-0.4395976804649366,0.0516160532516103,,,13,High
Kyle Lauletta,Richmond,2018,2017,4,108,,,,,,11,,K.Lauletta,Richmond,NYG,4,108,1,0.0,-1.6374914912567635,-1.6374914912567635,,-1.6374914912567635,-1.6374914912567635,,,11,Medium
Kyler Murray,Oklahoma,2019,2018,1,1,,,,,,14,,K.Murray,Oklahoma,ARI,1,1,16,0.0,-0.0663593879443622,-0.041229474459503,0.0506904253965965,-0.1657309538797362,0.0104929579112106,,,14,High
Daniel Jones,Duke,2019,2018,1,6,,,,,,13,,D.Jones,Duke,NYG,1,6,13,0.0,-0.1519505766608283,-0.1427410977345314,0.0766208582168105,-0.22595400157964,-0.001318339298662,,,13,High
Dwayne Haskins,Ohio State,2019,2018,1,15,,,,,,14,,D.Haskins,Ohio St.,WAS,1,15,9,0.0,-0.575462035980848,-0.2757263444291308,0.2052020615869648,-0.9849196877223798,-0.2757263444291308,,,14,High
Drew Lock,Missouri,2019,2018,2,42,,,,,,13,,D.Lock,Missouri,DEN,2,42,5,0.0,0.116720299850732,0.1083338240710337,0.0981300959850462,-0.0281494052874783,0.2479354220940882,,,13,High
Will Grier,West Virginia,2019,2018,3,100,,,,,,12,,W.Grier,West Virginia,CAR,3,100,2,0.0,-0.625739677371351,-0.9735059951877916,0.4918158431925623,-0.9735059951877916,-0.2779733595549106,,,12,Medium
Ryan Finley,NC State,2019,2018,4,104,,,,,,13,,R.Finley,North Carolina St.,CIN,4,104,3,0.0,-0.5851547409654109,-0.5267350207556043,0.0512725168905534,-0.6226846495225791,-0.5267350207556043,,,13,High
Jarrett Stidham,Auburn,2019,2018,4,133,,,,,,13,,J.Stidham,Auburn,NWE,4,133,2,0.0,-1.2896721074958306,-1.2708448397878291,0.0266257773350847,-1.308499375203832,-1.2708448397878291,,,13,High
Gardner Minshew II,Washington St.,2019,2018,6,178,,,,,,0,,G.Minshew II,Washington St.,JAX,6,178,8,0.0,-0.0479133845616439,-0.0498829755443527,0.0177096351107951,-0.069217045744413,-0.017518591041713,,,0,
Joe Burrow,LSU,2020,2019,1,1,,,,,,15,,J.Burrow,LSU,CIN,1,1,10,0.0,0.0169876301729278,0.0464460312720899,0.067775605141711,-0.1403851028617896,0.0997647411521509,,,15,High
Tua Tagovailoa,Alabama,2020,2019,1,5,,,,,,13,,T.Tagovailoa,Alabama,MIA,1,5,10,0.0,-0.0473925558279531,-0.1221697905673052,0.0788629950726209,-0.1426406181034099,0.1227380834218906,,,13,High
Justin Herbert,Oregon,2020,2019,1,6,,,,,,14,,J.Herbert,Oregon,LAC,1,6,15,0.0,0.0573627447931921,0.0926148897445651,0.046222258811854,-0.0546888940679463,0.1065274389617231,,,14,High
Jalen Hurts,Oklahoma,2020,2019,2,53,,,,,,14,,J.Hurts,Oklahoma,PHI,2,53,9,0.0,0.1890527294635663,-0.0331057519562528,0.2678445290119487,-0.0331057519562528,0.8786838401820454,,,14,High
