player_name,draft_year,nfl_name_used,rookie_leaf,reached_85_starts,is_bust,is_elite,is_sustained_starter,total_starts,max_rolling_epa,min_rolling_epa
JaMarcus Russell,2007,J.Russell,-0.2507885412945641,0.0,1.0,0.0,0.0,29,-0.06698838953530817,-0.5606088970153156
Brady Quinn,2007,B.Quinn,0.07347414778011296,0.0,1.0,0.0,0.0,19,-0.13203714842675537,-0.3316830425026625
Kevin Kolb,2007,K.Kolb,-2.528683894837741,0.0,1.0,0.0,0.0,23,0.013404244029227208,-0.9496270698158925
John Beck,2007,J.Beck,-0.3447732235244372,0.0,1.0,0.0,0.0,8,,
Drew Stanton,2007,D.Stanton,,0.0,1.0,0.0,0.0,24,0.08554752231250126,-0.5449866920299178
Trent Edwards,2007,T.Edwards,-0.17478722227550192,0.0,1.0,0.0,0.0,33,0.07017840589156651,-0.38843570654816195
Isaiah Stanback,2007,,,,,,,0,,
Troy Smith,2007,T.Smith,0.031525464951075804,0.0,1.0,1.0,0.0,9,0.4772063103468084,-0.25158125140674936
Matt Ryan,2008,M.Ryan,0.12435466372821757,1.0,0.0,1.0,1.0,241,0.40663508207546595,-0.15052225164173488
Joe Flacco,2008,J.Flacco,-0.07862206897954965,1.0,0.0,1.0,1.0,217,0.2695110699870001,-0.24742051702443532
Brian Brohm,2008,B.Brohm,,0.0,1.0,0.0,0.0,2,,
Chad Henne,2008,C.Henne,0.26088193342244875,0.0,0.0,0.0,1.0,61,0.10553901419954319,-0.30409507254351864
John David Booty,2008,,,,,,,0,,
Dennis Dixon,2008,D.Dixon,-0.40896247047930956,0.0,1.0,0.0,0.0,2,,
Matthew Stafford,2009,M.Stafford,-0.19153596588741864,1.0,0.0,1.0,1.0,248,0.3301841311540065,-0.20153720888161802
Mark Sanchez,2009,M.Sanchez,-0.1452753747687295,0.0,0.0,1.0,1.0,82,0.18261641576104232,-0.2762694085160671
Josh Freeman,2009,J.Freeman,-0.18786383283611138,0.0,0.0,1.0,1.0,60,0.25334814536936534,-0.22578653695692852
Pat White,2009,P.White,-1.0054692454480876,0.0,1.0,0.0,0.0,0,,
Stephen McGee,2009,S.McGee,,0.0,1.0,0.0,0.0,3,,
Tom Brandstater,2009,T.Brandstater,,0.0,1.0,0.0,0.0,0,,
Rhett Bomar,2009,,,,,,,0,,
Sam Bradford,2010,S.Bradford,-0.08124924013065218,0.0,0.0,0.0,1.0,83,0.14239106231618776,-0.23794820419347817
Tim Tebow,2010,T.Tebow,0.12477052577081091,0.0,1.0,0.0,0.0,16,0.08828027921653725,-0.6769781478855822
Jimmy Clausen,2010,J.Clausen,-0.28094339260923573,0.0,1.0,0.0,0.0,17,-0.251966569589413,-0.34286128570787355
Colt McCoy,2010,C.McCoy,-0.039305571343654026,0.0,0.0,1.0,0.0,40,0.23441733199058062,-0.2255642087789635
Jonathan Crompton,2010,,,,,,,0,,
Tony Pike,2010,T.Pike,-0.12835619816323743,0.0,1.0,0.0,0.0,0,,
Dan LeFevour,2010,,,,,,,0,,
Cam Newton,2011,C.Newton,0.06046374162964987,1.0,0.0,1.0,1.0,152,0.2869521865726938,-0.3122784132014912
Jake Locker,2011,J.Locker,0.13185273440793965,0.0,1.0,0.0,0.0,26,-0.03348990629770213,-0.28189724662623994
Blaine Gabbert,2011,B.Gabbert,-0.24074511007318575,0.0,1.0,0.0,0.0,52,-0.03656689585465343,-0.3667041392652755
Christian Ponder,2011,C.Ponder,-0.19210462270923512,0.0,0.0,0.0,1.0,37,0.028345553033629255,-0.24717731749720598
Andy Dalton,2011,A.Dalton,-0.022120947131574868,1.0,0.0,1.0,1.0,174,0.3159282186286875,-0.26313546692421175
Colin Kaepernick,2011,C.Kaepernick,0.4217771166178863,0.0,0.0,1.0,1.0,65,0.2609629137538391,-0.31225380478054515
Ryan Mallett,2011,R.Mallett,,0.0,1.0,0.0,0.0,9,-0.07232652050330457,-0.37449254955751043
Ricky Stanzi,2011,,,,,,,0,,
Nathan Enderle,2011,,,,,,,0,,
Tyrod Taylor,2011,T.Taylor,-0.13374940738625204,0.0,0.0,1.0,1.0,66,0.30730478506573894,-0.3756421500374069
Andrew Luck,2012,A.Luck,0.006619384983983926,1.0,0.0,1.0,1.0,94,0.3110918798703758,-0.10052506433504697
Robert Griffin III,2012,,,,,,,0,,
Ryan Tannehill,2012,R.Tannehill,-0.06380729919935013,1.0,0.0,1.0,1.0,157,0.27143632176278426,-0.19387011890984107
Brandon Weeden,2012,B.Weeden,-0.06354753836160044,0.0,1.0,1.0,0.0,28,0.7109100539487349,-0.22389391524677588
Brock Osweiler,2012,B.Osweiler,-0.06669295455007496,0.0,0.0,1.0,0.0,36,0.2705115477558101,-0.21030135141294917
Russell Wilson,2012,R.Wilson,0.1906694138873345,1.0,0.0,1.0,1.0,219,0.42277110641079707,-0.400893723332543
Nick Foles,2012,N.Foles,-0.09960255347284959,0.0,0.0,1.0,1.0,68,0.39791164643559934,-0.4473919804630654
Kirk Cousins,2012,K.Cousins,0.11872963678216243,1.0,0.0,1.0,1.0,176,0.3421039131043654,-0.25373499821765916
Ryan Lindley,2012,R.Lindley,-0.4805572862860908,0.0,1.0,0.0,0.0,11,-0.3092451454538829,-0.426009306805139
EJ Manuel,2013,E.Manuel,-0.15516208817148328,0.0,1.0,0.0,0.0,19,-0.024909697506105034,-0.202026209649183
Geno Smith,2013,G.Smith,-0.13901124841088833,1.0,0.0,0.0,1.0,101,0.14616287300391,-0.6400632402231455
Mike Glennon,2013,M.Glennon,-0.07442150732998859,0.0,0.0,1.0,0.0,36,0.18278459248348086,-0.45980907244085467
Matt Barkley,2013,M.Barkley,-0.3012665552613236,0.0,1.0,0.0,0.0,13,-0.02101063138862917,-0.2579530967607124
Ryan Nassib,2013,R.Nassib,,0.0,1.0,0.0,0.0,0,,
Tyler Wilson,2013,,,,,,,0,,
Landry Jones,2013,L.Jones,,0.0,1.0,0.0,0.0,5,-0.49532773177309364,-0.6944269798499474
