play_id,play_type,down,distance,yards_to_goal,yard_line,ppa,scoring,home,away,offense_score,defense_score,period,clock_minutes,clock_seconds,week,opponent,season,team,player_name,draft_year
400756901101868403,Pass Reception,2,8,39,61,0.0764157402421297,False,NC State,Troy,0,0,1,13,15,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901101868401,Pass Reception,1,10,62,38,1.7124840147829712,False,NC State,Troy,0,0,1,13,15,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901101868407,Pass Reception,1,5,24,76,-0.522884878957163,False,NC State,Troy,0,0,1,13,15,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901101934910,Pass Reception,2,4,16,84,1.520236460621321,False,NC State,Troy,7,7,1,6,50,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901101934905,Pass Reception,2,7,72,28,1.4205188929858465,False,NC State,Troy,7,7,1,6,50,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901101984703,Pass Reception,3,4,64,36,2.871678387274857,False,NC State,Troy,14,7,1,1,52,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901101984701,Pass Reception,1,10,70,30,-0.716015480823808,False,NC State,Troy,14,7,1,1,52,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901102849908,Pass Reception,3,4,13,87,1.373917869368216,False,NC State,Troy,14,7,2,15,0,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901102849904,Pass Reception,4,3,38,62,2.1316637867021644,False,NC State,Troy,14,7,2,15,0,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901102906201,Pass Reception,1,10,64,36,-1.041155320344064,False,NC State,Troy,21,7,2,9,37,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901102906203,Pass Reception,3,9,63,37,3.0297337288818023,False,NC State,Troy,21,7,2,9,37,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901102966506,Pass Reception,2,2,57,43,1.4642474529054468,False,NC State,Troy,21,7,2,3,34,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901102966501,Pass Incompletion,1,10,90,10,-0.34929852451643395,False,NC State,Troy,21,7,2,3,34,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901102966509,Pass Incompletion,1,10,14,86,-0.3125697195395781,False,NC State,Troy,21,7,2,3,34,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901102966504,Pass Reception,2,9,79,21,1.612168682595625,False,NC State,Troy,21,7,2,3,34,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901102966507,Pass Reception,1,10,27,73,0.661453117654322,False,NC State,Troy,21,7,2,3,34,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901102997101,Passing Touchdown,2,10,14,86,2.8608528947186596,True,NC State,Troy,28,7,2,0,28,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901103849904,Pass Reception,2,11,62,38,0.0567459280034521,False,NC State,Troy,28,14,3,15,0,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901103897201,Pass Reception,1,10,33,67,-0.1975844330204505,False,NC State,Troy,28,14,3,10,27,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901103908104,Pass Incompletion,1,10,75,25,-0.7029700220436519,False,NC State,Troy,35,21,3,9,18,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901104876301,Passing Touchdown,3,1,1,99,2.45399822917955,True,NC State,Troy,49,21,4,12,36,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901103986601,Pass Reception,1,10,53,47,1.3540185921818217,False,NC State,Troy,42,21,3,1,33,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901104849901,Pass Reception,1,10,11,89,0.30254910822179,False,NC State,Troy,42,21,4,15,0,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901104894407,Pass Incompletion,1,10,40,60,-0.8457687366186873,False,NC State,Troy,49,21,4,10,55,1,Troy,2015,NC State,Jacoby Brissett,2016
400756901104956503,Pass Reception,3,14,64,36,-0.10195295445571606,False,NC State,Troy,49,21,4,4,34,1,Troy,2015,NC State,Jacoby Brissett,2016
400756914101867003,Pass Reception,2,28,64,36,0.1740354937744133,False,NC State,Eastern Kentucky,0,0,1,13,29,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914101867005,Pass Reception,1,10,36,64,0.40306460138266,False,NC State,Eastern Kentucky,0,0,1,13,29,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914101867004,Pass Reception,3,20,56,44,3.977811987255431,False,NC State,Eastern Kentucky,0,0,1,13,29,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914102849903,Pass Reception,2,7,31,69,0.7191684051155943,False,NC State,Eastern Kentucky,0,0,2,15,0,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914102874501,Passing Touchdown,2,5,5,95,2.43857769152992,True,NC State,Eastern Kentucky,7,0,2,12,54,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914101995206,Pass Incompletion,1,10,48,52,-1.0742999147475647,False,NC State,Eastern Kentucky,0,0,1,0,47,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914102849901,Pass Reception,3,6,44,56,1.9897774401058452,False,NC State,Eastern Kentucky,0,0,2,15,0,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914102905101,Pass Reception,1,10,75,25,1.7075723383420156,False,NC State,Eastern Kentucky,7,0,2,9,48,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914102905108,Pass Incompletion,2,9,23,77,-0.5359237345216901,False,NC State,Eastern Kentucky,7,0,2,9,48,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914102905109,Pass Reception,3,9,23,77,1.0207190078119162,False,NC State,Eastern Kentucky,7,0,2,9,48,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914102905103,Pass Reception,2,6,52,48,1.0569019586997488,False,NC State,Eastern Kentucky,7,0,2,9,48,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914103854503,Pass Reception,1,10,34,66,0.73596654934212,False,NC State,Eastern Kentucky,14,0,3,14,54,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914103854502,Pass Reception,2,5,65,35,2.6531415026641145,False,NC State,Eastern Kentucky,14,0,3,14,54,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914103879302,Pass Reception,1,10,59,41,-1.8327551994755824,False,NC State,Eastern Kentucky,21,0,3,12,6,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914103879304,Pass Reception,3,10,59,41,0.7139031727816123,False,NC State,Eastern Kentucky,21,0,3,12,6,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914103908703,Pass Incompletion,3,10,56,44,-0.5203815921674826,False,NC State,Eastern Kentucky,21,0,3,9,12,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914103908702,Pass Incompletion,2,10,56,44,-0.8812901257339192,False,NC State,Eastern Kentucky,21,0,3,9,12,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914103926504,Pass Reception,4,4,31,69,2.172665183355994,False,NC State,Eastern Kentucky,21,0,3,7,34,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914104849904,Pass Reception,1,10,32,68,0.6747647952617514,False,NC State,Eastern Kentucky,28,0,4,15,0,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914104849903,Pass Reception,2,3,36,64,-0.0056546131503604,False,NC State,Eastern Kentucky,28,0,4,15,0,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914104914706,Pass Reception,1,10,48,52,-0.3648977045566397,False,NC State,Eastern Kentucky,35,0,4,8,52,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914104914704,Pass Incompletion,2,9,63,37,-0.7156844087137806,False,NC State,Eastern Kentucky,35,0,4,8,52,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914104914716,Pass Incompletion,4,19,31,69,-0.835491636623753,False,NC State,Eastern Kentucky,35,0,4,8,52,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914104914710,Pass Incompletion,3,5,28,72,-0.85944428771484,False,NC State,Eastern Kentucky,35,0,4,8,52,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914104914713,Pass Reception,2,12,24,76,-0.9715752162010495,False,NC State,Eastern Kentucky,35,0,4,8,52,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914104914715,Pass Incompletion,3,19,31,69,-0.9193391800247293,False,NC State,Eastern Kentucky,35,0,4,8,52,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914104914705,Pass Reception,3,9,63,37,3.0297337288818023,False,NC State,Eastern Kentucky,35,0,4,8,52,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756914104914707,Pass Reception,2,7,45,55,1.1480567673346087,False,NC State,Eastern Kentucky,35,0,4,8,52,2,Eastern Kentucky,2015,NC State,Jacoby Brissett,2016
400756925101866810,Pass Reception,1,10,31,31,0.262043067288534,False,Old Dominion,NC State,0,0,1,13,31,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925101866804,Pass Reception,1,10,60,60,0.1106144250151839,False,Old Dominion,NC State,0,0,1,13,31,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925101866807,Pass Incompletion,1,10,43,43,-0.9391692565688832,False,Old Dominion,NC State,0,0,1,13,31,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925101866809,Pass Reception,3,9,42,42,2.2885866146344256,False,Old Dominion,NC State,0,0,1,13,31,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925101866806,Pass Reception,3,5,55,55,2.4626095545459847,False,Old Dominion,NC State,0,0,1,13,31,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925101866801,Pass Incompletion,1,10,73,73,-0.766047035673644,False,Old Dominion,NC State,0,0,1,13,31,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925101964502,Pass Reception,1,10,60,60,1.7843118203667194,False,Old Dominion,NC State,7,0,1,3,54,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925102856502,Pass Reception,1,10,51,51,0.1032144590601496,False,Old Dominion,NC State,7,7,2,14,34,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925102856501,Pass Reception,1,10,72,72,1.9322655083731133,False,Old Dominion,NC State,7,7,2,14,34,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925102885402,Pass Reception,2,13,68,68,0.03646434905545794,False,Old Dominion,NC State,14,7,2,11,45,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925102885403,Pass Incompletion,3,8,63,63,-0.4114761869190806,False,Old Dominion,NC State,14,7,2,11,45,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925102908505,Pass Reception,3,9,47,47,-0.3484250530496328,False,Old Dominion,NC State,14,7,2,9,14,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925102908503,Pass Reception,1,10,48,48,0.0988833853941654,False,Old Dominion,NC State,14,7,2,9,14,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925102959005,Pass Incompletion,2,8,35,35,-0.8845928617448975,False,Old Dominion,NC State,14,7,2,4,9,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925102995701,Passing Touchdown,3,2,10,10,2.640402832185558,True,Old Dominion,NC State,21,7,2,0,42,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925102988002,Pass Reception,1,10,18,18,-0.27260880361605,False,Old Dominion,NC State,14,7,2,1,19,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
400756925102959003,Pass Reception,3,8,49,49,2.615693224752299,False,Old Dominion,NC State,14,7,2,4,9,3,Old Dominion,2015,NC State,Jacoby Brissett,2016
