play_id,play_type,down,distance,yards_to_goal,yard_line,ppa,scoring,home,away,offense_score,defense_score,period,clock_minutes,clock_seconds,week,opponent,season,team,player_name,draft_year,opponent_normalized,team_normalized,opponent_defense_sp,team_offense_sp
4.005477621018769e+17,Pass Incompletion,1.0,10.0,37.0,37.0,-0.7519361608312708,False,Oklahoma State,Florida State,0.0,0.0,1,12,30,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621019072e+17,Pass Reception,3.0,3.0,19.0,19.0,-0.4279679751703595,False,Oklahoma State,Florida State,0.0,0.0,1,9,27,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621018959e+17,Pass Reception,3.0,7.0,34.0,34.0,1.4104372568040748,False,Oklahoma State,Florida State,0.0,0.0,1,10,40,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621018749e+17,Pass Reception,1.0,10.0,47.0,47.0,0.097373878655615,False,Oklahoma State,Florida State,0.0,0.0,1,12,50,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621018744e+17,Pass Reception,1.0,10.0,58.0,58.0,0.9485009707728856,False,Oklahoma State,Florida State,0.0,0.0,1,12,55,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621018969e+17,Pass Reception,2.0,12.0,28.0,28.0,0.5182892146516825,False,Oklahoma State,Florida State,0.0,0.0,1,10,30,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621019353e+17,Pass Reception,1.0,10.0,90.0,90.0,0.8283073066348914,False,Oklahoma State,Florida State,10.0,0.0,1,6,46,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621019591e+17,Pass Reception,2.0,10.0,67.0,67.0,0.908597199169141,False,Oklahoma State,Florida State,10.0,0.0,1,4,8,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621019365e+17,Pass Reception,2.0,1.0,81.0,81.0,-0.3064478558388091,False,Oklahoma State,Florida State,10.0,0.0,1,6,34,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.00547762102855e+17,Pass Incompletion,2.0,10.0,13.0,13.0,-0.3252599830349858,False,Oklahoma State,Florida State,10.0,0.0,2,14,49,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621019999e+17,Pass Reception,1.0,10.0,75.0,75.0,3.538825904675474,False,Oklahoma State,Florida State,10.0,0.0,1,0,0,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621028544e+17,Pass Incompletion,1.0,10.0,13.0,13.0,-0.3048472994988835,False,Oklahoma State,Florida State,10.0,0.0,2,14,55,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621028557e+17,Pass Interception Return,3.0,10.0,13.0,13.0,-3.830963502420284,False,Oklahoma State,Florida State,10.0,0.0,2,14,42,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621029068e+17,Pass Reception,2.0,10.0,81.0,81.0,1.1957971997992534,False,Oklahoma State,Florida State,10.0,0.0,2,9,31,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.00547762102889e+17,Pass Incompletion,1.0,10.0,94.0,94.0,-0.2935937291294204,False,Oklahoma State,Florida State,10.0,0.0,2,11,9,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621029093e+17,Pass Reception,1.0,10.0,71.0,71.0,3.1576891437232657,False,Oklahoma State,Florida State,10.0,0.0,2,9,6,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621029156e+17,Pass Reception,1.0,10.0,20.0,20.0,0.624840338247342,False,Oklahoma State,Florida State,10.0,0.0,2,8,43,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621029052e+17,Pass Incompletion,1.0,10.0,81.0,81.0,-0.5327945515514214,False,Oklahoma State,Florida State,10.0,0.0,2,9,47,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621028978e+17,Pass Reception,3.0,7.0,91.0,91.0,0.8041853436322546,False,Oklahoma State,Florida State,10.0,0.0,2,10,21,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.00547762102965e+17,Pass Reception,1.0,10.0,75.0,75.0,0.9104368550610652,False,Oklahoma State,Florida State,17.0,7.0,2,3,49,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621029766e+17,Pass Incompletion,3.0,9.0,74.0,74.0,-0.1887676823583159,False,Oklahoma State,Florida State,17.0,7.0,2,2,33,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.00547762102997e+17,Pass Interception Return,1.0,10.0,71.0,71.0,-1.2243831272450354,False,Oklahoma State,Florida State,17.0,7.0,2,0,29,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621038766e+17,Pass Incompletion,2.0,0.0,16.0,16.0,,False,Oklahoma State,Florida State,17.0,10.0,3,12,33,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621038584e+17,Pass Reception,2.0,8.0,73.0,73.0,1.5773551583638683,False,Oklahoma State,Florida State,17.0,10.0,3,14,15,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621038652e+17,Pass Reception,1.0,10.0,47.0,47.0,1.099375399016988,False,Oklahoma State,Florida State,17.0,10.0,3,13,47,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621038975e+17,Pass Reception,2.0,10.0,77.0,77.0,0.2876039933191796,False,Oklahoma State,Florida State,20.0,17.0,3,10,24,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621038964e+17,Pass Incompletion,1.0,10.0,77.0,77.0,-0.6425305871127751,False,Oklahoma State,Florida State,20.0,17.0,3,10,35,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621039056e+17,Pass Incompletion,3.0,3.0,70.0,70.0,-0.4649201051918652,False,Oklahoma State,Florida State,20.0,17.0,3,9,43,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621039245e+17,Pass Incompletion,1.0,10.0,56.0,56.0,-1.1612466882658818,False,Oklahoma State,Florida State,20.0,17.0,3,7,54,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621039358e+17,Pass Reception,2.0,11.0,43.0,43.0,-1.052222351415418,False,Oklahoma State,Florida State,20.0,17.0,3,6,41,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621039889e+17,Pass Incompletion,1.0,10.0,71.0,71.0,-0.8305196050291288,False,Oklahoma State,Florida State,27.0,17.0,3,1,10,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.00547762103997e+17,Pass Reception,3.0,5.0,66.0,66.0,-0.0823080051218099,False,Oklahoma State,Florida State,27.0,17.0,3,0,29,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621039894e+17,Pass Reception,2.0,10.0,71.0,71.0,0.0494777229908996,False,Oklahoma State,Florida State,27.0,17.0,3,1,5,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621048975e+17,Pass Reception,3.0,5.0,66.0,66.0,2.280045517476829,False,Oklahoma State,Florida State,27.0,24.0,4,10,24,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621048861e+17,Pass Reception,1.0,10.0,71.0,71.0,0.366045681425021,False,Oklahoma State,Florida State,27.0,24.0,4,11,38,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621049454e+17,Pass Reception,3.0,19.0,33.0,33.0,1.62920381108016,False,Oklahoma State,Florida State,27.0,24.0,4,5,45,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621049344e+17,Pass Reception,1.0,10.0,45.0,45.0,0.795076136460093,False,Oklahoma State,Florida State,27.0,24.0,4,6,55,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621049371e+17,Pass Incompletion,1.0,20.0,34.0,34.0,-0.8671658574622878,False,Oklahoma State,Florida State,27.0,24.0,4,6,28,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621049641e+17,Passing Touchdown,2.0,8.0,50.0,50.0,4.663363790440567,True,Oklahoma State,Florida State,37.0,24.0,4,3,58,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477621049999e+17,Pass Incompletion,4.0,9.0,35.0,35.0,-1.5105190174105836,False,Oklahoma State,Florida State,37.0,31.0,4,0,0,1,Oklahoma State,2014,Florida State,Jameis Winston,2015,Oklahoma State,Florida State,24.0,45.0
4.005477631018874e+17,Pass Reception,1.0,10.0,28.0,72.0,0.342802009978914,False,Florida State,The Citadel,0.0,0.0,1,11,25,2,The Citadel,2014,Florida State,Jameis Winston,2015,The Citadel,Florida State,,45.0
4.005477631019656e+17,Passing Touchdown,2.0,1.0,12.0,88.0,2.004024816101417,True,Florida State,The Citadel,14.0,0.0,1,3,43,2,The Citadel,2014,Florida State,Jameis Winston,2015,The Citadel,Florida State,,45.0
4.005477631019474e+17,Pass Reception,1.0,10.0,80.0,20.0,1.2388651878297718,False,Florida State,The Citadel,7.0,0.0,1,5,25,2,The Citadel,2014,Florida State,Jameis Winston,2015,The Citadel,Florida State,,45.0
4.005477631019494e+17,Pass Reception,1.0,10.0,64.0,36.0,1.670678522708263,False,Florida State,The Citadel,7.0,0.0,1,5,5,2,The Citadel,2014,Florida State,Jameis Winston,2015,The Citadel,Florida State,,45.0
