player_name,draft_year,draft_pick,career_starts,reached_85_starts
Jameis Winston,2015,1,89,True
Marcus Mariota,2015,2,84,False
Sean Mannion,2015,89,8,False
Jared Goff,2016,1,126,True
Carson Wentz,2016,2,95,True
Paxton Lynch,2016,26,5,False
Jacoby Brissett,2016,91,64,False
Cody Kessler,2016,93,17,False
Connor Cook,2016,100,2,False
Dak Prescott,2016,135,121,True
Cardale Jones,2016,139,2,False
Kevin Hogan,2016,162,6,False
Mitchell Trubisky,2017,2,68,False
Patrick Mahomes,2017,10,114,True
Deshaun Watson,2017,12,69,False
DeShone Kizer,2017,52,17,False
C.J. Beathard,2017,104,25,False
Nathan Peterman,2017,171,14,False
Baker Mayfield,2018,1,93,True
Sam Darnold,2018,3,62,False
Josh Allen,2018,7,100,True
Josh Rosen,2018,10,22,False
Lamar Jackson,2018,32,88,True
Kyle Lauletta,2018,108,1,False
Kyler Murray,2019,1,66,False
Daniel Jones,2019,6,62,False
Dwayne Haskins,2019,15,16,False
Drew Lock,2019,42,28,False
Will Grier,2019,100,2,False
Ryan Finley,2019,104,7,False
Jarrett Stidham,2019,133,12,False
Gardner Minshew II,2019,178,0,False
Joe Burrow,2020,1,59,False
Tua Tagovailoa,2020,5,54,False
Justin Herbert,2020,6,63,False
Jalen Hurts,2020,53,61,False
Jake Luton,2020,189,3,False
Ben DiNucci,2020,231,2,False
Trevor Lawrence,2021,1,52,False
Zach Wilson,2021,2,34,False
Trey Lance,2021,3,6,False
Justin Fields,2021,11,40,False
Mac Jones,2021,15,43,False
Kellen Mond,2021,66,1,False
Davis Mills,2021,67,34,False
Ian Book,2021,133,1,False
Kenny Pickett,2022,20,25,False
Desmond Ridder,2022,74,19,False
Malik Willis,2022,86,7,False
Bailey Zappe,2022,137,14,False
Sam Howell,2022,144,18,False
Skylar Thompson,2022,247,8,False
Brock Purdy,2022,262,29,False
Bryce Young,2023,1,16,False
C.J. Stroud,2023,2,17,False
Anthony Richardson,2023,4,4,False
Will Levis,2023,33,9,False
Aidan O'Connell,2023,135,11,False
Clayton Tune,2023,139,2,False
Dorian Thompson-Robinson,2023,140,6,False
Sean Clifford,2023,149,1,False
Jaren Hall,2023,164,3,False
