player_name,draft_year,nfl_team,l1_team_pass_epa_prev,l2_hc_new,l3_qb_churn3
Brady Quinn,2007,CLE,-0.2001393407175382,0.0,3.0
Drew Stanton,2007,DET,-0.05187546236936583,0.0,2.0
Isaiah Stanback,2007,DAL,0.1362484776157139,1.0,3.0
JaMarcus Russell,2007,LV,-0.2625879671487615,1.0,2.0
John Beck,2007,MIA,-0.10149970194146285,1.0,3.0
Kevin Kolb,2007,PHI,0.11052360334442124,0.0,1.0
Trent Edwards,2007,BUF,-0.05813256749249814,0.0,3.0
Troy Smith,2007,BAL,0.07645204274288,0.0,2.0
Brian Brohm,2008,GB,0.2125014630186514,0.0,1.0
Chad Henne,2008,MIA,-0.09958161408122727,1.0,3.0
Dennis Dixon,2008,PIT,0.1487650807303398,0.0,1.0
Joe Flacco,2008,BAL,-0.1077983589820975,1.0,2.0
John David Booty,2008,MIN,-0.019521649941808328,0.0,2.0
Matt Ryan,2008,ATL,-0.13806383969124203,1.0,2.0
Josh Freeman,2009,TB,0.03348176346504743,1.0,2.0
Mark Sanchez,2009,NYJ,0.027425295732200917,1.0,2.0
Matthew Stafford,2009,DET,-0.19489726752162187,1.0,2.0
Pat White,2009,MIA,0.150810284826684,0.0,3.0
Rhett Bomar,2009,NYG,0.0789506826716155,0.0,1.0
Stephen McGee,2009,DAL,0.03327108488169534,0.0,1.0
Tom Brandstater,2009,DEN,0.2018256861979186,1.0,2.0
Colt McCoy,2010,CLE,-0.2633919262726461,0.0,2.0
Dan LeFevour,2010,CHI,-0.09292695434327469,0.0,3.0
Jimmy Clausen,2010,CAR,-0.09288299808114059,0.0,2.0
Jonathan Crompton,2010,LAC,0.3019175065397549,0.0,1.0
Sam Bradford,2010,LA,-0.2588235074515536,0.0,1.0
Tim Tebow,2010,DEN,0.011274183115429064,0.0,2.0
Tony Pike,2010,CAR,-0.09288299808114059,0.0,2.0
Andy Dalton,2011,CIN,0.055035539796977305,0.0,2.0
Blaine Gabbert,2011,JAX,-0.006820650439408211,0.0,1.0
Christian Ponder,2011,MIN,-0.14892981599470276,0.0,2.0
Colin Kaepernick,2011,SF,-0.04661816166119541,1.0,2.0
Jake Locker,2011,TEN,0.05596034351065363,1.0,2.0
Nathan Enderle,2011,CHI,-0.08732161166837406,0.0,2.0
Ricky Stanzi,2011,KC,0.06835478608710348,0.0,2.0
Ryan Mallett,2011,NE,0.25341263184870855,0.0,2.0
Tyrod Taylor,2011,BAL,0.08279064922058965,0.0,1.0
