draft_year,round,pick,player_name,college
1980,1,15,Marc Wilson,BYU
1980,1,28,Mark Malone,Arizona St.
1980,2,37,Gene Bradley,Arkansas St.
1980,4,85,Eric Hipple,Utah St.
1980,4,89,Rusty Lisch,Notre Dame
1980,4,101,Ed Luther,San Jose St.
1980,4,109,Paul McDonald,USC
1980,5,133,Gary Hogeboom,Central Michigan
1980,6,145,Scott Brunner,Delaware
1980,7,182,Craig Bradshaw,Utah St.
1980,8,202,Todd Krueger,Northern Michigan
1980,8,214,David Woodley,LSU
1980,9,237,Dan Hartwig,California Lutheran
1980,9,242,Turk Schonert,Stanford
1980,12,308,Mike Wright,Vanderbilt
1980,12,320,Jimmy Jordan,Florida St.
1980,12,332,Kevin Scanlon,Arkansas
1981,1,6,Rich Campbell,California
1981,2,33,Neil Lomax,Portland St.
1981,4,90,Tom Flick,Washington
1981,4,96,Brad Wright,New Mexico
1981,4,98,Mark Herrmann,Purdue
1981,8,207,Mark Reed,Moorhead State (MN)
1981,8,210,Wade Wilson,Texas A&M-Commerce
1981,9,228,Mike Ford,SMU
1981,10,255,Nickie Hall,Tulane
1981,10,257,Phil Kessel,Northern Michigan
1981,10,260,Tim Clifford,Indiana
1981,11,292,Rick Trocano,Pittsburgh
1981,11,295,Brian Buckley,Harvard
1981,12,312,Mark O'Connell,Ball St.
1981,12,319,Bob Gagliano,Utah St.
1981,12,322,Joe Adams,Tennessee St.
1982,1,4,Art Schlichter,Ohio St.
1982,1,5,Jim McMahon,BYU
1982,2,44,Oliver Luck,West Virginia
1982,2,48,Matt Kofler,San Diego St.
1982,4,84,Mike Pagel,Arizona St.
1982,6,149,Mike Kelley,Georgia Tech
1982,6,154,Mike Machurek,Idaho St.
1982,8,218,Luc Tousignant,Fairmont St.
1982,9,242,Bob Lane,La-Monroe
1982,9,251,Bryan Clark,Michigan St.
1982,10,261,Ron Reeves,Texas Tech
1982,11,282,Steve Michuta,Grand Valley St.
1982,11,291,Bob Holly,Princeton
1982,11,296,Steve Sandon,Northern Iowa
1982,12,333,Dan Feraday,Toronto
1983,1,1,John Elway,Stanford
1983,1,7,Todd Blackledge,Penn St.
1983,1,14,Jim Kelly,Miami (FL)
1983,1,15,Tony Eason,Illinois
1983,1,24,Ken O'Brien,UC Davis
1983,1,27,Dan Marino,Pittsburgh
1983,5,137,Jeff Christensen,Eastern Illinois
1983,6,162,Reggie Collier,Southern Miss
1983,6,168,Babe Laufenberg,Indiana
1983,8,197,Gary Kubiak,Texas A&M
1983,10,267,Tom Ramsey,UCLA
1983,10,272,Bruce Mathison,Nebraska
1983,11,280,Jim Bob Taylor,Georgia Tech
1983,12,311,Clete Casper,Washington St.
1983,12,312,David Mangrum,Baylor
1983,12,333,Scott Lindquist,Northern Arizona
1984,2,38,Boomer Esiason,Maryland
1984,3,59,Jeff Hostetler,West Virginia
1984,3,80,Rick McIvor,Texas
1984,3,83,Jay Schroeder,UCLA
1984,5,113,Steve Pelluer,Washington
1984,5,138,Dean May,Louisville
1984,6,148,Ben Bennett,Duke
1984,6,153,Randy Wright,Wisconsin
1984,6,158,Terry Nugent,Colorado St.
1984,6,160,John Witkowski,Columbia
1984,7,191,Scott Campbell,Purdue
1984,9,244,Mark Casale,Montclair St.
1984,11,281,Blair Kiel,Notre Dame
1984,11,296,Kyle Mackey,Texas A&M-Commerce
1984,12,336,Randy Essington,Colorado
1985,2,37,Randall Cunningham,UNLV
1985,3,57,Frank Reich,Maryland
1985,6,142,Steve Bono,UCLA
1985,6,143,Rusty Hilger,Oklahoma St.
1985,6,168,Scott Barry,UC Davis
1985,9,232,Steve Calabria,Colgate
1985,9,234,Paul Berner,Pacific
1985,10,269,Buddy Funck,New Mexico
1985,10,277,John Conner,Arizona
1985,11,285,Doug Flutie,Boston Col.
1985,11,294,Joe Shield,Trinity (CT)
1986,1,3,Jim Everett,Purdue
1986,1,12,Chuck Long,Iowa
1986,2,47,Jack Trudeau,Illinois
1986,3,67,Bubby Brister,La-Monroe
1986,3,71,Hugh Millen,Washington
1986,3,72,Robbie Bosco,BYU
1986,4,99,Doug Gaynor,Long Beach St.
1986,6,146,Mark Rypien,Washington St.
1986,6,150,Stan Gelbaugh,Maryland
1986,7,174,Mike Norseth,Kansas
1986,10,274,Jeff Wickersham,LSU
1986,11,280,Chris Hegg,Truman St.
1986,11,291,David Norrie,UCLA
1986,12,312,Kent Austin,Mississippi
1986,12,313,Brian McClure,Bowling Green
1986,12,316,Steve Bradley,Indiana
1987,1,1,Vinny Testaverde,Miami (FL)
1987,1,6,Kelly Stouffer,Colorado St.
1987,1,13,Chris Miller,Oregon
1987,1,26,Jim Harbaugh,Michigan
1987,3,64,Cody Carlson,Baylor
1987,4,88,Mark Vlasic,Iowa
1987,4,98,Rich Gannon,Delaware
1987,4,110,Steve Beuerlein,Notre Dame
1987,7,180,Kevin Sweeney,Fresno St.
1987,7,186,Doug Hudson,Nicholls St.
1987,8,216,Sammy Garza,Texas-El Paso
1987,9,232,Ken Lambiotte,William & Mary
1987,10,255,Don Majkowski,Virginia
1987,10,275,John Paye,Stanford
1987,11,295,Brent Pease,Montana
1987,11,307,Dave Walter,Michigan Tech
1987,12,313,Mike Shula,Alabama
1987,12,322,Jim Karsatos,Ohio St.
1987,12,327,Bill Ransdell,Kentucky
1988,3,68,Tom Tupa,Ohio St.
1988,3,76,Chris Chandler,Washington
1988,6,149,Don McPherson,Syracuse
1988,6,151,Scott Secules,Virginia
1988,6,159,Stan Humphries,La-Monroe
1988,7,175,Mike Perez,San Jose St.
1988,7,180,Kerwin Bell,Florida
1988,10,256,Bud Keyes,Wisconsin
1988,10,274,Todd Santos,San Diego St.
1988,11,281,Danny McCoin,Cincinnati
1988,11,282,Danny McManus,Florida St.
1988,11,283,David Weber,
1988,12,328,Steve Slayden,Duke
1989,1,1,Troy Aikman,UCLA
1989,2,32,Mike Elkins,Wake Forest
1989,2,51,Billy Joe Tolliver,Texas Tech
1989,3,74,Anthony Dilweg,Duke
1989,3,83,Erik Wilhelm,Oregon St.
1989,4,87,Jeff Graham,Long Beach St.
1989,4,102,Jeff Carlson,Weber St.
1989,6,140,Jeff Francis,Tennessee
1989,6,141,Rodney Peete,USC
1989,7,192,Brent Snyder,Utah St.
1989,7,195,Terrence Jones,Tulane
1989,8,202,Paul Singer,Western Illinois
1989,10,278,Bob Jean,New Hampshire
1989,11,296,Wayne Johnson,Georgia
1989,12,323,Steve Taylor,Nebraska
1989,12,325,Chuck Hartlieb,Iowa
1990,1,1,Jeff George,Illinois
1990,1,7,Andre Ware,Houston
1990,3,59,Tom Hodson,LSU
1990,3,63,Peter Tom Willis,Florida St.
1990,3,70,Neil O'Donnell,Maryland
1990,4,84,Troy Taylor,California
1990,4,86,Cary Conklin,Washington
1990,4,93,Scott Mitchell,Utah
1990,5,135,Craig Kupp,Pacific Lutheran
1990,6,138,John Friesz,Idaho
1990,6,156,Mike Buck,Maine
1990,8,207,Gerry Gdowski,Nebraska
1990,9,242,Kirk Baumgartner,Wisconsin–Stevens Point
1990,9,247,Todd Ellis,South Carolina
1990,11,296,Clemente Gordon,Grambling St.
1990,12,307,Todd Hammel,S.F. Austin
1990,12,311,Gene Benhart,Western Illinois
1990,12,312,John Gromos,Vanderbilt
1990,12,317,Major Harris,West Virginia
1990,12,321,Reggie Slack,Auburn
1991,1,16,Dan McGwire,San Diego St.
1991,1,24,Todd Marinovich,USC
1991,2,33,Brett Favre,Southern Miss
1991,2,34,Browning Nagle,Louisville
1991,4,84,Scott Zolak,Maryland
1991,4,99,Donald Hollas,Rice
1991,4,106,Bill Musgrave,Oregon
1991,5,131,Craig Erickson,Miami (FL)
1991,7,190,Paul Justin,Arizona St.
1991,10,260,Pat O'Hara,USC
1991,11,284,Shawn Moore,Virginia
1991,12,309,Jeff Bridewell,UC Davis
1991,12,334,Larry Wanke,John Carroll
1992,1,6,David Klingler,Houston
1992,1,25,Tommy Maddox,UCLA
1992,2,40,Matt Blundin,Virginia
1992,2,46,Tony Sacca,Penn St.
1992,4,86,Craig Erickson,Miami (FL)
1992,4,102,Casey Weldon,Florida St.
1992,4,107,Will Furrer,Virginia Tech
1992,4,112,Chris Hakel,William & Mary
1992,6,166,Jeff Blake,East Carolina
1992,8,198,Ricky Jones,Alabama St.
1992,8,211,Kent Graham,Ohio St.
1992,8,220,Bucky Richardson,Texas A&M
1992,8,222,Mike Pawlawski,California
1992,9,227,Brad Johnson,Florida St.
1992,9,228,T.J. Rubley,Tulsa
1992,9,230,Ty Detmer,BYU
1992,9,242,Darian Hagan,Colorado
1992,11,296,Mark Barsotti,Fresno St.
1992,12,316,Keithen McCant,Nebraska
1992,12,318,Cornelius Benton,Connecticut
1992,12,335,Matt Rodgers,Iowa
1993,1,1,Drew Bledsoe,Washington St.
1993,1,2,Rick Mirer,Notre Dame
1993,3,58,Billy Joe Hobert,Washington
1993,5,118,Mark Brunell,Washington
1993,7,192,Gino Torretta,Miami (FL)
1993,8,216,Alex Van Pelt,Pittsburgh
1993,8,219,Elvis Grbac,Michigan
1993,8,222,Trent Green,Indiana
1994,1,3,Heath Shuler,Tennessee
1994,1,6,Trent Dilfer,Fresno St.
1994,4,111,Perry Klein,C.W. Post
1994,4,116,Doug Nussmeier,Idaho
1994,6,178,Jim Miller,Michigan St.
1994,7,197,Gus Frerotte,Tulsa
1994,7,198,Jay Walker,Howard
1994,7,199,Steve Matthews,Memphis
1994,7,208,Glenn Foley,Boston Col.
1995,1,3,Steve McNair,Alcorn St.
1995,1,5,Kerry Collins,Penn St.
1995,2,45,Todd Collins,Michigan
1995,2,60,Kordell Stewart,Colorado
1995,3,80,Stoney Case,New Mexico
1995,3,84,Eric Zeier,Georgia
1995,4,99,Rob Johnson,USC
1995,4,111,Chad May,Kansas St.
1995,4,119,Dave Barr,California
1995,4,134,Steve Stenstrom,Stanford
1995,5,160,Jay Barker,Alabama
1995,6,191,Jerry Colquitt,Tennessee
1995,6,197,Craig Whelihan,Pacific
1995,7,213,John Walsh,BYU
1996,2,42,Tony Banks,Michigan St.
1996,3,85,Bobby Hoying,Ohio St.
1996,4,100,Jeff Lewis,Northern Arizona
1996,4,130,Danny Kanell,Florida St.
1996,6,203,Spence Fischer,Duke
1996,6,205,Mike Cawley,James Madison
1996,7,238,Jon Stark,
1996,7,240,Kyle Wachholtz,USC
1997,1,26,Jim Druckenmiller,Virginia Tech
1997,2,42,Jake Plummer,Arizona St.
1997,4,99,Danny Wuerffel,Florida
1997,4,110,Pat Barnes,California
1997,6,171,Mike Cherry,Murray St.
1997,6,191,Chuck Clements,Houston
1997,7,204,Tony Graziani,Oregon
1997,7,207,Koy Detmer,Colorado
1997,7,234,Wally Richardson,Penn St.
1997,7,237,Tony Corbin,Sacramento St.
1997,7,240,Ron McAda,Army
1998,1,1,Peyton Manning,Tennessee
1998,1,2,Ryan Leaf,Washington St.
1998,2,60,Charlie Batch,Eastern Michigan
1998,3,86,Jonathan Quinn,Middle Tenn. St.
1998,3,91,Brian Griese,Michigan
1998,6,172,John Dutton,Nevada
1998,6,187,Matt Hasselbeck,Boston Col.
1998,7,232,Moses Moreno,Colorado St.
1999,1,1,Tim Couch,Kentucky
1999,1,2,Donovan McNabb,Syracuse
1999,1,3,Akili Smith,Oregon
1999,1,11,Daunte Culpepper,Central Florida
1999,1,12,Cade McNown,UCLA
1999,2,50,Shaun King,Tulane
1999,3,77,Brock Huard,Washington
1999,4,101,Joe Germaine,Ohio St.
1999,4,131,Aaron Brooks,Virginia
1999,5,151,Kevin Daft,UC Davis
1999,7,227,Michael Bishop,Kansas St.
1999,7,239,Chris Greisen,NW Missouri St.
1999,7,245,Scott Covington,Miami (FL)
2000,1,18,Chad Pennington,Marshall
2000,3,65,Giovanni Carmazzi,Hofstra
2000,3,75,Chris Redman,Louisville
2000,5,163,Tee Martin,Tennessee
2000,6,168,Marc Bulger,West Virginia
2000,6,183,Spergon Wynn,Texas St.
2000,6,199,Tom Brady,Michigan
2000,6,202,Todd Husak,Stanford
2000,6,205,JaJuan Seider,Florida A&M
2000,7,212,Tim Rattay,Louisiana Tech
2000,7,214,Jarious Jackson,Notre Dame
2000,7,234,Joe Hamilton,Georgia Tech
2001,1,1,Michael Vick,Virginia Tech
2001,2,32,Drew Brees,Purdue
2001,2,53,Quincy Carter,Georgia
2001,2,59,Marques Tuiasosopo,Washington
2001,4,106,Chris Weinke,Florida St.
2001,4,109,Sage Rosenfels,Iowa St.
2001,4,125,Jesse Palmer,Florida
2001,5,149,Mike McMahon,Rutgers
2001,5,155,A.J. Feeley,Oregon
2001,6,172,Josh Booty,LSU
2001,6,177,Josh Heupel,Oklahoma
2002,1,1,David Carr,Fresno St.
2002,1,3,Joey Harrington,Oregon
2002,1,32,Patrick Ramsey,Tulane
2002,3,81,Josh McCown,Sam Houston St.
2002,4,108,David Garrard,East Carolina
2002,4,117,Rohan Davey,LSU
2002,5,137,Randy Fasani,Stanford
2002,5,158,Kurt Kittner,Illinois
2002,5,163,Brandon Doman,BYU
2002,5,164,Craig Nall,LSU
2002,6,186,J.T. O'Sullivan,UC Davis
2002,6,205,Steve Bellisari,Ohio St.
2002,7,216,Seth Burford,Cal Poly-San Luis Obispo
2002,7,232,Jeff Kelly,Southern Miss
2002,7,236,Wes Pate,S.F. Austin
