draft_year,round,pick,nfl_team,player_name,cfb_id,pfr_id,position,age,college
2015,1,1,TAM,Jameis Winston,jameis-winston-1,WinsJa00,QB,21.0,Florida St.
2015,1,2,TEN,Marcus Mariota,marcus-mariota-1,MariMa01,QB,21.0,Oregon
2015,3,75,NOR,Garrett Grayson,garrett-grayson-1,GrayGa00,QB,24.0,Colorado St.
2015,3,89,STL,Sean Mannion,sean-mannion-1,MannSe00,QB,23.0,Oregon St.
2015,4,103,NYJ,Bryce Petty,bryce-petty-1,PettBr01,QB,24.0,Baylor
2015,5,147,GNB,Brett Hundley,brett-hundley-1,HundBr00,QB,22.0,UCLA
2015,7,250,DEN,Trevor Siemian,trevor-siemian-1,SiemTr00,QB,23.0,Northwestern
2016,1,1,LAR,Jared Goff,jared-goff-1,GoffJa00,QB,21.0,California
2016,1,2,PHI,Carson Wentz,carson-wentz-1,WentCa00,QB,23.0,North Dakota St.
2016,1,26,DEN,Paxton Lynch,paxton-lynch-1,LyncPa00,QB,22.0,Memphis
2016,2,51,NYJ,Christian Hackenberg,christian-hackenberg-1,HackCh01,QB,21.0,Penn St.
2016,3,91,NWE,Jacoby Brissett,jacoby-brissett-2,BrisJa00,QB,23.0,North Carolina St.
2016,3,93,CLE,Cody Kessler,cody-kessler-1,KessCo00,QB,23.0,USC
2016,4,100,OAK,Connor Cook,connor-cook-1,CookCo00,QB,23.0,Michigan St.
2016,4,135,DAL,Dak Prescott,dak-prescott-1,PresDa01,QB,23.0,Mississippi St.
2016,4,139,BUF,Cardale Jones,cardale-jones-1,JoneCa01,QB,23.0,Ohio St.
2016,5,162,KAN,Kevin Hogan,kevin-hogan-2,HogaKe00,QB,23.0,Stanford
2016,6,187,WAS,Nate Sudfeld,nate-sudfeld-1,SudfNa00,QB,22.0,Indiana
2016,6,191,DET,Jake Rudock,jake-rudock-1,RudoJa00,QB,23.0,Michigan
2016,6,201,JAX,Brandon Allen,brandon-allen-2,AlleBr00,QB,24.0,Arkansas
2016,6,207,SFO,Jeff Driskel,jeff-driskel-1,DrisJe00,QB,23.0,Louisiana Tech
2016,7,223,MIA,Brandon Doughty,brandon-doughty-1,DougBr00,QB,24.0,Western Kentucky
2017,1,2,CHI,Mitchell Trubisky,mitch-trubisky-1,TrubMi00,QB,23.0,North Carolina
2017,1,10,KAN,Patrick Mahomes,patrick-mahomes-1,MahoPa00,QB,21.0,Texas Tech
2017,1,12,HOU,Deshaun Watson,deshaun-watson-1,WatsDe00,QB,21.0,Clemson
2017,2,52,CLE,DeShone Kizer,deshone-kizer-1,KizeDe00,QB,21.0,Notre Dame
2017,3,87,NYG,Davis Webb,davis-webb-1,WebbDa00,QB,22.0,California
2017,3,104,SFO,C.J. Beathard,cj-beathard-1,BeatC.00,QB,23.0,Iowa
2017,4,135,PIT,Joshua Dobbs,joshua-dobbs-1,DobbJo00,QB,22.0,Tennessee
2017,5,171,BUF,Nathan Peterman,nathan-peterman-1,PeteNa00,QB,23.0,Pittsburgh
2017,6,215,DET,Brad Kaaya,brad-kaaya-1,KaayBr00,QB,22.0,Miami (FL)
2017,7,253,DEN,Chad Kelly,chad-kelly-1,KellCh00,QB,23.0,Mississippi
2018,1,1,CLE,Baker Mayfield,baker-mayfield-1,MayfBa00,QB,23.0,Oklahoma
2018,1,3,NYJ,Sam Darnold,sam-darnold-1,DarnSa00,QB,21.0,USC
2018,1,7,BUF,Josh Allen,josh-allen-7,AlleJo02,QB,22.0,Wyoming
2018,1,10,ARI,Josh Rosen,josh-rosen-1,RoseJo01,QB,21.0,UCLA
2018,1,32,BAL,Lamar Jackson,lamar-jackson-1,JackLa00,QB,21.0,Louisville
2018,3,76,PIT,Mason Rudolph,mason-rudolph-1,RudoMa00,QB,23.0,Oklahoma St.
