player_name,team,conference,attempts,completions,comp_pct,yards,tds,ints,draft_year
Paxton DeLaurent,Southeast Missouri State,Big South-OVC,617,367,59.5,4065,33,15,2026
Kyle McCord,Syracuse,ACC,592,391,66.0,4779,34,12,2025
Garrett Nussmeier,LSU,SEC,524,336,64.1,4039,29,12,2025
Chandler Morris,North Texas,American Athletic,509,322,63.3,3774,31,12,2026
Zach Calzada,Incarnate Word,Southland,508,334,65.7,3614,33,9,2026
Maverick McIvor,Abilene Christian,UAC,496,312,62.9,3847,30,7,2026
Miles Hastings,UC Davis,Big Sky,493,350,71.0,4319,36,12,2026
Cade Klubnik,Clemson,ACC,486,308,63.4,3639,36,6,2025
Shedeur Sanders,Colorado,Big 12,477,353,74.0,4134,37,10,2025
Seth Henigan,Memphis,American Athletic,477,309,64.8,3502,25,6,2026
Josh Hoover,TCU,Big 12,471,313,66.5,3949,27,11,2026
Owen McCown,UTSA,American Athletic,467,294,63.0,3424,25,10,2026
Behren Morton,Texas Tech,Big 12,463,293,63.3,3300,27,8,2026
Rocco Becht,Iowa State,Big 12,457,272,59.5,3505,25,9,2026
Cameron Ward,Miami,ACC,454,305,67.2,4313,39,7,2025
Carson Beck,Georgia,SEC,448,290,64.7,3485,28,12,2025
Dillon Gabriel,Oregon,Big Ten,447,326,72.9,3857,30,6,2025
Quinn Ewers,Texas,SEC,445,293,65.8,3472,31,12,2025
E.J. Warner,Rice,American Athletic,438,271,61.9,2710,17,13,2026
Derek Robertson,Monmouth,CAA,434,283,65.2,3937,31,6,2026
Noah Fifita,Arizona,Big 12,430,260,60.5,2958,18,12,2026
Kobe Tracy,Idaho State,Big Sky,429,258,60.1,3011,24,10,2026
Kadin Semonza,Ball State,Mid-American,427,275,64.4,2900,25,10,2026
Will Howard,Ohio State,Big Ten,423,309,73.0,4010,35,10,2025
Maalik Murphy,Duke,ACC,421,254,60.3,2932,26,12,2026
Billy Edwards,Maryland,Big Ten,420,273,65.0,2881,15,9,2026
Jaylen Raynor,Arkansas State,Sun Belt,420,259,61.7,2783,16,10,2026
Nick Vattiato,Middle Tennessee,Conference USA,418,269,64.4,3092,16,10,2026
JC French,Georgia Southern,Sun Belt,410,269,65.6,2831,17,11,2026
Dylan Raiola,Nebraska,Big Ten,409,274,67.0,2806,13,11,2026
Draylen Ellis,Tennessee State,Big South-OVC,408,253,62.0,2996,21,8,2026
Carson Conklin,Sacramento State,Big Sky,406,255,62.8,2759,27,8,2026
Pierce Holley,Eastern Illinois,Big South-OVC,405,249,61.5,3125,18,13,2026
Brayden Schager,Hawai'i,Mountain West,404,233,57.7,2591,19,13,2026
Max Brosmer,Minnesota,Big Ten,403,268,66.5,2829,18,6,2026
Riley Leonard,Notre Dame,FBS Independents,403,269,66.7,2861,21,8,2025
Connor Bazelak,Bowling Green,Mid-American,402,269,66.9,3044,18,5,2026
Nate Lamb,Western Illinois,Big South-OVC,402,262,65.2,3372,21,8,2026
Cole Snyder,Eastern Michigan,Mid-American,402,239,59.5,2676,15,9,2026
Jaxson Dart,Ole Miss,SEC,398,276,69.3,4279,29,6,2025
Maddux Madsen,Boise State,Mountain West,396,247,62.4,3018,23,6,2026
Athan Kaliakmanis,Rutgers,Big Ten,395,213,53.9,2696,18,7,2026
Drew Allar,Penn State,Big Ten,394,262,66.5,3327,24,8,2025
Quincy Crittendon,Samford,Southern,394,277,70.3,2684,18,12,2026
