game_id,game_date,season,season_type,week,passer_player_id,passer_player_name,posteam,defteam,plays,epa,cpoe,success,age,log_pick,def_rating,adj_epa,b1_expanding,b2_prev_season,b3_ewma,b4_last12,k_epa,k_adj_epa,k_adj_epa_var,k_cpoe,k_success,k_informed,k_informed_pre,k_informed_var,leaf_v34,leaf_v34_pre,leaf_v34_unrestricted
2006_01_MIA_PIT,2006-09-07,2006,REG,1,00-0000865,C.Batch,PIT,MIA,28,0.387517,-2.250993,0.392857,31.756331,4.094345,0.000000,0.387517,,,,,0.004201,0.004201,0.004424,-1.082605,0.416637,-0.012372,-0.068917,0.004424,0.033455,0.014339,0.012582
2006_01_MIA_PIT,2006-09-07,2006,REG,1,00-0003739,D.Culpepper,MIA,PIT,40,-0.224020,-9.401914,0.400000,29.607118,2.397895,0.000000,-0.224020,,,,,-0.079245,-0.079245,0.004201,-1.770748,0.416639,-0.083395,-0.054988,0.004201,0.001637,0.019441,-0.017284
2006_01_ATL_CAR,2006-09-10,2006,REG,1,00-0004161,J.Delhomme,CAR,ATL,43,-0.384855,-6.003301,0.348837,31.665982,5.572154,0.000000,-0.384855,,,,,-0.109741,-0.109741,0.004149,-1.490029,0.407304,-0.135251,-0.081050,0.004149,-0.017499,0.009894,-0.040864
2006_01_ATL_CAR,2006-09-10,2006,REG,1,00-0020245,M.Vick,ATL,CAR,23,0.183232,-8.161228,0.391304,26.206708,0.000000,0.000000,0.183232,,,,,-0.025729,-0.025729,0.004524,-1.393061,0.417014,-0.012560,-0.035301,0.004524,0.030871,0.026654,0.010930
2006_01_BAL_TB,2006-09-10,2006,REG,1,00-0011024,S.McNair,BAL,TB,27,0.260412,13.871144,0.481481,33.568789,1.098612,0.000000,0.260412,,,,,-0.012754,-0.012754,0.004444,-0.050867,0.427377,-0.008538,-0.045210,0.004444,0.046437,0.023024,0.027484
2006_01_BAL_TB,2006-09-10,2006,REG,1,00-0022005,C.Simms,TB,BAL,31,-0.898101,10.953908,0.322581,26.031485,4.574711,0.000000,-0.898101,,,,,-0.164799,-0.164799,0.004366,-0.132232,0.406813,-0.184565,-0.072861,0.004366,-0.024252,0.012894,-0.051044
2006_01_BAL_TB,2006-09-10,2006,REG,1,00-0024408,B.Gradkowski,TB,BAL,6,-0.683348,-16.406929,0.000000,23.619439,5.267858,0.000000,-0.683348,,,,,-0.068626,-0.068626,0.004901,-1.229932,0.407648,-0.095439,-0.077626,0.004901,-0.000629,0.011148,-0.024631
2006_01_BUF_NE,2006-09-10,2006,REG,1,00-0019596,T.Brady,NE,BUF,26,-0.163998,-6.189466,0.384615,29.103354,5.293305,0.000000,-0.163998,,,,,-0.063231,-0.063231,0.004464,-1.319700,0.415893,-0.088653,-0.078760,0.004464,0.003312,0.010733,-0.017029
2006_01_BUF_NE,2006-09-10,2006,REG,1,00-0022912,J.Losman,BUF,NE,26,0.027881,14.732922,0.307692,25.497604,3.091042,0.000000,0.027881,,,,,-0.040961,-0.040961,0.004464,-0.030764,0.406965,-0.050401,-0.060679,0.004464,0.025794,0.017357,-0.001633
2006_01_CHI_GB,2006-09-10,2006,REG,1,00-0005106,B.Favre,GB,CHI,32,-0.301625,-6.816816,0.312500,36.917180,3.496508,0.000000,-0.301625,,,,,-0.085006,-0.085006,0.004347,-1.434862,0.405045,-0.097830,-0.064897,0.004347,-0.003931,0.015811,-0.028506
