game_id,game_date,season,season_type,week,passer_player_id,passer_player_name,posteam,defteam,qb_epa_mean,qb_epa_sum,qb_epa_count,cpoe_mean,success_mean,attempts
2006_01_ATL_CAR,2006-09-10,2006,REG,1,00-0004161,J.Delhomme,CAR,ATL,-0.384855,-16.548755,43,-6.003301,0.348837,43.000000
2006_01_ATL_CAR,2006-09-10,2006,REG,1,00-0020245,M.Vick,ATL,CAR,0.183232,4.214338,23,-8.161228,0.391304,23.000000
2006_01_BAL_TB,2006-09-10,2006,REG,1,00-0011024,S.McNair,BAL,TB,0.260412,7.031124,27,13.871144,0.481481,27.000000
2006_01_BAL_TB,2006-09-10,2006,REG,1,00-0022005,C.Simms,TB,BAL,-0.898101,-27.841119,31,10.953908,0.322581,31.000000
2006_01_BAL_TB,2006-09-10,2006,REG,1,00-0024408,B.Gradkowski,TB,BAL,-0.683348,-4.100086,6,-16.406929,0.000000,6.000000
2006_01_BUF_NE,2006-09-10,2006,REG,1,00-0019596,T.Brady,NE,BUF,-0.163998,-4.263944,26,-6.189466,0.384615,26.000000
2006_01_BUF_NE,2006-09-10,2006,REG,1,00-0022912,J.Losman,BUF,NE,0.027881,0.724899,26,14.732922,0.307692,26.000000
2006_01_CHI_GB,2006-09-10,2006,REG,1,00-0005106,B.Favre,GB,CHI,-0.301625,-9.652009,32,-6.816816,0.312500,32.000000
2006_01_CHI_GB,2006-09-10,2006,REG,1,00-0022121,R.Grossman,CHI,GB,0.438671,11.844119,27,16.295139,0.592593,27.000000
2006_01_CIN_KC,2006-09-10,2006,REG,1,00-0006355,T.Green,KC,CIN,-0.256615,-4.619071,18,21.952258,0.333333,18.000000
2006_01_CIN_KC,2006-09-10,2006,REG,1,00-0007835,D.Huard,KC,CIN,-0.200000,-4.800004,24,22.763431,0.333333,24.000000
2006_01_CIN_KC,2006-09-10,2006,REG,1,00-0021429,C.Palmer,CIN,KC,-0.076437,-1.528732,20,1.411424,0.600000,20.000000
2006_01_DAL_JAX,2006-09-10,2006,REG,1,00-0001361,D.Bledsoe,DAL,JAX,-0.095276,-3.334673,35,-6.835709,0.428571,35.000000
2006_01_DAL_JAX,2006-09-10,2006,REG,1,00-0022177,B.Leftwich,JAX,DAL,0.153140,5.359910,35,8.104019,0.514286,35.000000
2006_01_DEN_STL,2006-09-10,2006,REG,1,00-0013042,J.Plummer,DEN,LA,-0.792051,-23.761524,30,-10.584630,0.366667,30.000000
2006_01_DEN_STL,2006-09-10,2006,REG,1,00-0019599,M.Bulger,LA,DEN,-0.262467,-9.711296,37,-11.169795,0.324324,37.000000
2006_01_IND_NYG,2006-09-10,2006,REG,1,00-0010346,P.Manning,IND,NYG,0.334053,14.030224,42,1.988130,0.500000,42.000000
2006_01_IND_NYG,2006-09-10,2006,REG,1,00-0022803,E.Manning,NYG,IND,0.269878,9.175850,34,-2.179892,0.558824,34.000000
2006_01_MIA_PIT,2006-09-07,2006,REG,1,00-0000865,C.Batch,PIT,MIA,0.387517,10.850476,28,-2.250993,0.392857,28.000000
2006_01_MIA_PIT,2006-09-07,2006,REG,1,00-0003739,D.Culpepper,MIA,PIT,-0.224020,-8.960802,40,-9.401914,0.400000,40.000000
2006_01_MIN_WAS,2006-09-11,2006,REG,1,00-0002110,M.Brunell,WAS,MIN,0.010847,0.303703,28,-1.882584,0.392857,28.000000
2006_01_MIN_WAS,2006-09-11,2006,REG,1,00-0008442,B.Johnson,MIN,WAS,0.397872,12.334045,31,-2.512507,0.419355,31.000000
2006_01_NO_CLE,2006-09-10,2006,REG,1,00-0020531,D.Brees,NO,CLE,0.119282,3.697747,31,-2.326433,0.483871,31.000000
2006_01_NO_CLE,2006-09-10,2006,REG,1,00-0023502,C.Frye,CLE,NO,-0.332845,-10.651029,32,2.416794,0.406250,32.000000
2006_01_NYJ_TEN,2006-09-10,2006,REG,1,00-0003292,K.Collins,TEN,NYJ,-0.287444,-11.785212,41,-9.515506,0.341463,41.000000
2006_01_NYJ_TEN,2006-09-10,2006,REG,1,00-0019559,C.Pennington,NYJ,TEN,0.479329,16.776517,35,15.705594,0.571429,35.000000
2006_01_NYJ_TEN,2006-09-10,2006,REG,1,00-0024218,V.Young,TEN,NYJ,-0.221895,-0.887579,4,18.562296,0.750000,4.000000
2006_01_PHI_HOU,2006-09-10,2006,REG,1,00-0011022,D.McNabb,PHI,HOU,0.442784,15.940211,36,5.319583,0.527778,36.000000
2006_01_PHI_HOU,2006-09-10,2006,REG,1,00-0020608,D.Carr,HOU,PHI,-0.146616,-4.691725,32,11.983247,0.406250,32.000000
2006_01_SD_OAK,2006-09-11,2006,REG,1,00-0001823,A.Brooks,LV,LAC,-0.686841,-14.423655,21,-15.923791,0.238095,21.000000
2006_01_SD_OAK,2006-09-11,2006,REG,1,00-0022942,P.Rivers,LAC,LV,0.740705,8.147750,11,12.621037,0.636364,11.000000
