season,reason,position,plays,players
2006,non_qb_passer,FB,1,1
2006,non_qb_passer,K,2,2
2006,non_qb_passer,P,7,7
2006,non_qb_passer,RB,12,9
2006,non_qb_passer,TE,1,1
2006,non_qb_passer,WR,17,14
2006,postseason,QB,797,13
2007,non_qb_passer,K,1,1
2007,non_qb_passer,P,3,3
2007,non_qb_passer,RB,11,10
2007,non_qb_passer,WR,15,12
2007,postseason,QB,782,13
2008,non_qb_passer,P,7,6
2008,non_qb_passer,RB,13,8
2008,non_qb_passer,TE,1,1
2008,non_qb_passer,WR,26,15
2008,postseason,QB,791,13
2009,non_qb_passer,FB,1,1
2009,non_qb_passer,K,2,2
2009,non_qb_passer,P,11,8
2009,non_qb_passer,RB,18,12
2009,non_qb_passer,WR,16,12
2009,postseason,QB,785,14
2010,non_qb_passer,FB,1,1
2010,non_qb_passer,P,2,2
2010,non_qb_passer,RB,12,9
2010,non_qb_passer,WR,22,14
2010,postseason,QB,791,14
2011,non_qb_passer,K,1,1
2011,non_qb_passer,P,7,5
2011,non_qb_passer,RB,7,6
2011,non_qb_passer,WR,14,13
2011,postseason,QB,878,12
2012,non_qb_passer,K,2,2
2012,non_qb_passer,P,8,5
2012,non_qb_passer,RB,2,2
2012,non_qb_passer,WR,44,13
2012,postseason,QB,822,13
2013,non_qb_passer,CB,2,1
2013,non_qb_passer,FB,1,1
2013,non_qb_passer,FS,1,1
2013,non_qb_passer,P,6,5
2013,non_qb_passer,RB,6,6
2013,non_qb_passer,WR,314,10
2013,postseason,QB,768,13
2014,non_qb_passer,FS,2,2
2014,non_qb_passer,P,15,11
2014,non_qb_passer,RB,6,6
2014,non_qb_passer,TE,11,1
2014,non_qb_passer,WR,17,12
2014,postseason,QB,838,13
2015,non_qb_passer,K,1,1
2015,non_qb_passer,P,6,3
2015,non_qb_passer,RB,4,4
2015,non_qb_passer,WR,13,12
2015,postseason,QB,870,13
2016,non_qb_passer,DT,1,1
2016,non_qb_passer,K,1,1
2016,non_qb_passer,P,7,6
2016,non_qb_passer,RB,5,4
2016,non_qb_passer,WR,25,16
2016,postseason,QB,872,12
2017,non_qb_passer,FS,1,1
2017,non_qb_passer,P,13,9
2017,non_qb_passer,RB,3,2
2017,non_qb_passer,TE,3,3
2017,non_qb_passer,WR,13,12
2017,postseason,QB,892,14
2018,non_qb_passer,FS,1,1
2018,non_qb_passer,K,2,2
2018,non_qb_passer,P,14,10
2018,non_qb_passer,RB,6,4
2018,non_qb_passer,TE,11,3
2018,non_qb_passer,WR,25,20
2018,postseason,QB,854,12
2019,non_qb_passer,FB,1,1
2019,non_qb_passer,K,1,1
2019,non_qb_passer,P,19,11
2019,non_qb_passer,RB,13,8
2019,non_qb_passer,TE,8,1
2019,non_qb_passer,WR,27,20
2019,postseason,QB,760,14
2020,non_qb_passer,DB,1,1
2020,non_qb_passer,P,12,10
2020,non_qb_passer,RB,1,1
2020,non_qb_passer,TE,139,3
2020,non_qb_passer,WR,45,26
2020,postseason,QB,1022,18
2021,non_qb_passer,DB,2,2
2021,non_qb_passer,K,1,1
2021,non_qb_passer,P,12,9
2021,non_qb_passer,RB,8,8
2021,non_qb_passer,TE,145,5
2021,non_qb_passer,WR,41,25
2021,postseason,QB,1007,14
2022,non_qb_passer,P,10,7
2022,non_qb_passer,RB,9,7
2022,non_qb_passer,TE,22,2
2022,non_qb_passer,WR,18,15
2022,postseason,QB,998,16
2023,non_qb_passer,FB,1,1
2023,non_qb_passer,LB,1,1
2023,non_qb_passer,P,6,6
2023,non_qb_passer,RB,10,8
2023,non_qb_passer,TE,16,4
2023,non_qb_passer,WR,26,22
2023,postseason,QB,987,15
2024,non_qb_passer,OT,1,1
2024,non_qb_passer,P,11,8
2024,non_qb_passer,RB,5,4
2024,non_qb_passer,SAF,1,1
2024,non_qb_passer,TE,4,1
2024,non_qb_passer,WR,23,21
2024,postseason,QB,849,17
2025,non_qb_passer,LB,1,1
2025,non_qb_passer,P,4,4
2025,non_qb_passer,RB,10,8
2025,non_qb_passer,TE,8,3
2025,non_qb_passer,WR,11,10
2025,postseason,QB,994,17
