column,dtype,non_null_pct
pass,float32,1.0
rush,float32,1.0
special,float32,1.0
play,float32,1.0
away_coach,object,1.0
stadium_id,object,1.0
game_stadium,object,1.0
aborted_play,float32,1.0
spread_line,float32,1.0
total_line,float32,1.0
div_game,int32,1.0
roof,object,1.0
surface,object,1.0
home_coach,object,1.0
away_score,int32,1.0
home_score,int32,1.0
location,object,1.0
result,int32,1.0
total,int32,1.0
total_away_score,float32,1.0
no_score_prob,float32,1.0
total_home_score,float32,1.0
home_timeouts_remaining,float32,1.0
away_timeouts_remaining,float32,1.0
qb_kneel,float32,1.0
qb_spike,float32,1.0
qb_scramble,float32,1.0
fixed_drive,float32,1.0
nfl_api_id,object,1.0
play_clock,object,1.0
play_deleted,float32,1.0
play_type_nfl,object,1.0
special_teams_play,float32,1.0
series,float32,1.0
series_success,float32,1.0
order_sequence,float32,1.0
start_time,object,1.0
stadium,object,1.0
total_home_raw_air_epa,float32,1.0
total_away_raw_air_epa,float32,1.0
total_home_raw_yac_epa,float32,1.0
total_away_raw_yac_epa,float32,1.0
home_wp,float32,1.0
away_wp,float32,1.0
total_home_comp_air_epa,float32,1.0
total_away_comp_air_epa,float32,1.0
total_home_comp_yac_epa,float32,1.0
total_away_comp_yac_epa,float32,1.0
total_home_epa,float32,1.0
total_away_epa,float32,1.0
total_home_rush_epa,float32,1.0
total_away_rush_epa,float32,1.0
total_home_pass_epa,float32,1.0
total_away_pass_epa,float32,1.0
opp_fg_prob,float32,1.0
opp_safety_prob,float32,1.0
opp_td_prob,float32,1.0
fg_prob,float32,1.0
safety_prob,float32,1.0
td_prob,float32,1.0
extra_point_prob,float32,1.0
two_point_conversion_prob,float32,1.0
season,int64,1.0
replay_or_challenge,float32,1.0
touchback,float32,1.0
total_away_comp_air_wpa,float32,1.0
total_home_comp_yac_wpa,float32,1.0
total_away_comp_yac_wpa,float32,1.0
total_home_raw_air_wpa,float32,1.0
total_away_raw_air_wpa,float32,1.0
total_home_raw_yac_wpa,float32,1.0
total_away_raw_yac_wpa,float32,1.0
total_away_rush_wpa,float32,1.0
total_home_pass_wpa,float32,1.0
total_away_pass_wpa,float32,1.0
total_home_comp_air_wpa,float32,1.0
vegas_home_wp,float32,1.0
total_home_rush_wpa,float32,1.0
out_of_bounds,float32,1.0
home_opening_kickoff,float32,1.0
ydstogo,float32,1.0
desc,object,1.0
shotgun,float32,1.0
no_huddle,float32,1.0
game_half,object,1.0
quarter_end,float32,1.0
sp,float32,1.0
qtr,float32,1.0
goal_to_go,int32,1.0
game_date,object,1.0
play_id,float32,1.0
game_id,object,1.0
old_game_id_x,object,1.0
home_team,object,1.0
away_team,object,1.0
season_type,object,1.0
week,int32,1.0
fixed_drive_result,object,0.9999596599332372
series_result,object,0.9999596599332372
game_seconds_remaining,float32,0.999899149833093
half_seconds_remaining,float32,0.999899149833093
time,object,0.999899149833093
quarter_seconds_remaining,float32,0.999899149833093
vegas_home_wpa,float32,0.9942515404862995
wp,float32,0.9942515404862995
vegas_wp,float32,0.9942515404862995
def_wp,float32,0.9942515404862995
yrdln,object,0.9929505733331989
ydsnet,float32,0.9886039311395061
drive_play_id_started,float32,0.9886039311395061
drive_play_id_ended,float32,0.9886039311395061
drive_play_count,float32,0.9886039311395061
drive_quarter_start,float32,0.9886039311395061
drive_ended_with_score,float32,0.9886039311395061
drive_real_start_time,object,0.9886039311395061
drive,float32,0.9886039311395061
drive_first_downs,float32,0.9886039311395061
drive_inside20,float32,0.9886039311395061
drive_time_of_possession,object,0.9886039311395061
drive_yards_penalized,float32,0.9886039311395061
drive_game_clock_start,object,0.9886039311395061
drive_game_clock_end,object,0.9886039311395061
drive_end_transition,object,0.9886039311395061
drive_quarter_end,float32,0.9886039311395061
drive_start_transition,object,0.9886039311395061
ep,float32,0.988503080972599
success,float32,0.988503080972599
qb_epa,float32,0.988503080972599
epa,float32,0.988503080972599
drive_start_yard_line,object,0.9876256845205079
drive_end_yard_line,object,0.9876256845205079
vegas_wpa,float32,0.9852456205815021
wpa,float32,0.9852456205815021
time_of_day,object,0.9706727714634368
