team,epa_allowed,attempts_faced,rank
PHI,-0.11667602508205142,765,1
HOU,-0.0804415865902544,669,2
LA,-0.046955806992596306,659,3
MIN,-0.04089057521318355,717,4
DEN,-0.03723605867506798,699,5
LAC,-0.03650422677364591,649,6
SEA,-0.014655640271169102,615,7
GB,-0.01385541336126878,633,8
DET,-0.002381386605099345,680,9
NO,-0.0007839391623355001,632,10
SF,0.005541834218108735,554,11
PIT,0.005622980552947715,649,12
BAL,0.008536923954845819,741,13
DAL,0.010391493468109608,564,14
CLE,0.024317692220405848,548,15
ARI,0.035056128166372984,579,16
CHI,0.04952444055815222,546,17
KC,0.05391488476204341,704,18
LV,0.06197160860422593,595,19
BUF,0.06726851104796244,698,20
MIA,0.06867631802793518,603,21
TEN,0.08369515015144736,505,22
WAS,0.0929612244795479,637,23
NYJ,0.09611110133763741,567,24
TB,0.1076716089314923,709,25
NYG,0.11717158745156894,549,26
ATL,0.12107229811779704,608,27
IND,0.13239375997553604,581,28
NE,0.13249691566397256,563,29
CIN,0.13820393275588091,607,30
CAR,0.1389401768978265,563,31
JAX,0.2258004712426881,618,32
